type,properties/Id,properties/Nombre,properties/Direccion,properties/Tipo,properties/macro_ante,properties/distrito,properties/zona,properties/mostrar,properties/fecha_prop,properties/fecha_crea,properties/Afiche,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,0,Sánchez Lima,C. Canónigo Ayllón,Mercado,Cotahuma,6,BELLO HORIZONTE,si,,,,Point,-68.1367900901089,-16.507953939589058
Feature,0,4 de Abril,"Av. Marcelo Quiroga Santa Cruz, entre C. 14 de Junio y C. Héroes del Chaco",Mercado,Cotahuma,4,PASANKERI,si,,,,Point,-68.14581987831588,-16.522132344557217
Feature,0,Kilómetro 7,Av. Quiroga Santa Cruz Esq. C. 6 de Agosto,Mercado,Cotahuma,4,PASANKERI,si,,,,Point,-68.14329643530733,-16.52297656234673
Feature,0,Bolívar,Av. Jaime Freyre Esq. C. Alberto Ostria,Mercado,Cotahuma,4,TEMBLADERANI,si,,,,Point,-68.14112783720701,-16.51390619311338
Feature,0,Stronguest,Av. Víctor Agustín Ugarte,Mercado,Cotahuma,4,COTAHUMA,si,,,,Point,-68.13988842528893,-16.515895564085756
Feature,0,Las Rosas Cotahuma,"Pza. De la Democracia, C. Machicao",Mercado,Cotahuma,5,COTAHUMA,si,,,,Point,-68.14400008825449,-16.51559973634231
Feature,0,Raúl Salmón,Av. Mario Mercado Vaca Guzmán Esq. C. 5-Quiswaras,Mercado,Cotahuma,4,BAJO LLOJETA,si,,,,Point,-68.123479035366,-16.528134494582336
Feature,0,El Rosal,Av. Mario Mercado,Mercado,Cotahuma,4,LLOJETA,si,,,,Point,-68.13345780614168,-16.534852319922596
Feature,0,Vergel Llojeta,Av. Buenos Aires,Mercado,Cotahuma,4,LLOJETA,si,,,,Point,-68.14029828632198,-16.534229876857697
Feature,0,Las Lomas,Av. Buenos Aires,Mercado,Cotahuma,4,LAS LOMAS,si,,,,Point,-68.13890724952329,-16.52261103419583
Feature,0,Popular Pura Pura,C. Daniel Salamanca,Mercado,Max Paredes,10,PURA PURA,si,,,,Point,-68.15084740854958,-16.487778742953232
Feature,0,21 de Enero,C. 3,Mercado,Max Paredes,10,CIUDADELA FERROVIARIA,si,,,,Point,-68.1495658328015,-16.456727091812528
Feature,0,Haití,C. Haití Esq. C. Trinidad Tobago,Mercado,Centro,2,MIRAFLORES,si,,,,Point,-68.1226057611891,-16.490875747002367
Feature,0,Miraflores,C. Díaz Romero,Mercado,Centro,2,MIRAFLORES,si,,,,Point,-68.12177620384503,-16.50127524063057
Feature,8,Ketal S.A.,Av. Busch # 1994,Supermercado,Centro,2,MIRAFLORES SUR,si,,,,Point,-68.12114385423153,-16.502543070831077
Feature,23,Fidalga,Av. Saavedra # 1963,Supermercado,Centro,2,MIRAFLORES SUR,si,,,,Point,-68.12246130417812,-16.5019027450792
Feature,0,San José de Mallasilla,Av. Altamirano,Mercado,Mallasa,20,MALLASILLA,si,,,,Point,-68.10068094614411,-16.56680922158861
Feature,0,Mallasa,Av. Florida,Mercado,Mallasa,20,MALLASA,si,,,,Point,-68.08693489915022,-16.572214785737884
Feature,0,La Portada,C. Justo Germán Esq. C. Yapacani,Mercado,Max Paredes,9,LA PORTADA,si,,,,Point,-68.1669592037699,-16.489303694848093
Feature,0,Santiago de Munaypata,Av. Desaguadero Esq. C. Río Calvario,Mercado,Max Paredes,9,MUNAYPATA,si,,,,Point,-68.1563297094848,-16.489926155468485
Feature,0,San José de Munaypata,C. Cristo Vencedor Esq. C. San José,Mercado,Max Paredes,8,MUNAYPATA,si,,,,Point,-68.15861901482779,-16.489139354148445
Feature,0,El Carmen,Av. Entre Ríos Esq. C. Damas de Cotagaita,Mercado,Max Paredes,8,EL TEJAR,si,,,,Point,-68.15609425166218,-16.497277713152435
Feature,0,El Tejar,C. José María Asín Esq. Av. Kollasuyo,Mercado,Max Paredes,8,EL TEJAR,si,,,,Point,-68.15204422615516,-16.495325483996268
Feature,0,Las Nieves,Av. Utapulpera Esq. C. Echazu,Mercado,Max Paredes,8,EL TEJAR,si,,,,Point,-68.15740277357303,-16.49714811176838
Feature,0,Villa Victoria,C. Virrey Toledo,Mercado,Max Paredes,8,VILLA VICTORIA,si,,,,Point,-68.15159510733665,-16.490340924756325
Feature,0,Alto Mariscal Santa Cruz,Av. Entre Ríos,Mercado,Max Paredes,8,MARISCAL SANTA CRUZ,si,,,,Point,-68.16052123228982,-16.493118495297086
Feature,0,Bajo Mariscal Santa Cruz,Av. Alcides Arguedas Esq. C. Yacuma,Mercado,Max Paredes,8,MARISCAL SANTA CRUZ,si,,,,Point,-68.15834684490754,-16.4926372743883
Feature,0,Las Flores,Av. Bautista Esq. C. Baltazar Alquiza,Mercado,Max Paredes,8,CALLAMPAYA,si,,,,Point,-68.15110063737046,-16.495342467851167
Feature,0,Vicente Ochoa,Av. Buenos Aires Esq. C. Vicente Ochoa,Mercado,Max Paredes,7,GRAN PODER,si,,,,Point,-68.1442811362226,-16.498026027222604
Feature,0,Uruguay,Av. Max Paredes Esq. C. Graneros,Mercado,Max Paredes,7,14 DE SEPTIEMBRE,si,,,,Point,-68.14367172766275,-16.497217963821676
Feature,0,Calatayud,C. Calatayud Esq. Av. Baptista,Mercado,Max Paredes,7,14 DE SEPTIEMBRE,si,,,,Point,-68.14760744603973,-16.495483174515748
Feature,0,Los Andes,C. Manuel Cosio Esq. Av. Los Andes,Mercado,Max Paredes,7,LOS ANDES,si,,,,Point,-68.1483020743437,-16.498750519895825
Feature,0,Obispo Indaburo,Av. Buenos Aires Esq. C. Antonio Gallardo,Mercado,Max Paredes,7,OBISPO INDABURO,si,,,,Point,-68.1455345468247,-16.501121090674765
Feature,0,Francisco Cernadas,C. Benigno Loza Esq. C. Juan de la Cruz Monje,Mercado,Periferica,12,MIRAFLORES ALTO,si,,,,Point,-68.12544057248421,-16.48373902118671
Feature,7,Ketal S.A.,Av. Arce # 2588 Esq. C. Pinilla,Supermercado,Centro,1,SAN JORGE,si,,,,Point,-68.12340978117605,-16.510455275092692
Feature,24,Fidalga,C. Capitán Ravel # 2441,Supermercado,Centro,1,SAN JORGE,si,,,,Point,-68.12418954263553,-16.50776135020938
Feature,31,Fidalga,C. Colón # 570,Supermercado,Centro,1,CENTRAL,si,,,,Point,-68.13248613705365,-16.496686468118185
Feature,0,Modelo Yungas,C. Yungas Esq. C. Uchumayo,Mercado,Centro,1,CENTRAL,si,,,,Point,-68.12929843184328,-16.497050627384084
