type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Administracion,properties/IdTipo,properties/Tipo,properties/Macrodistrito,properties/CodDistrito,properties/IdCategoria,properties/Categoria,properties/Zona,properties/Codigo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,camposdeportivos.1,Point,-68.1251261,-16.49569987,geom,Bajo San Juan,C. Geronimo de Soria,DIRECCION DE DEPORTES,14,POLIFUNCIONAL,CENTRO,2,3,C,Miraflores,2,2,,juan.alba,2016-06-07T02:26:50.640Z,
Feature,camposdeportivos.2,Point,-68.12169222,-16.5147307,geom,Clavijo,C. Clavijo,JUNTA VECINAL - SIN REGULACIÓN,14,POLIFUNCIONAL,CENTRO,1,3,C,SAN JORGE,1,1,,carlos.medrano,2016-06-13T23:18:31.157Z,
Feature,camposdeportivos.3,Point,-68.11534754,-16.50299724,geom,Los Guindales,"Psj. Guindal, detrás del Jardín Botánico",DIRECCION DE DEPORTES,14,POLIFUNCIONAL,CENTRO,2,3,C,MIRAFLORES BAJO,3,2,,gustavo.nao,2018-09-12T21:56:07.810Z,
Feature,camposdeportivos.4,Point,-68.11517718,-16.50353815,geom,Los Guindales,"Psj. Guindal, detrás del Jardín Botánico",DIRECCION DE DEPORTES,14,POLIFUNCIONAL,CENTRO,2,3,C,MIRAFLORES BAJO,4,2,,gustavo.nao,2018-09-12T21:56:01.610Z,
Feature,camposdeportivos.5,Point,-68.11520973,-16.50387996,geom,Los Guindales,"Psj. Guindal, detrás del Jardín Botánico",DIRECCION DE DEPORTES,14,POLIFUNCIONAL,CENTRO,2,3,C,MIRAFLORES BAJO,5,2,,gustavo.nao,2018-09-12T21:55:55.443Z,
Feature,camposdeportivos.6,Point,-68.11528449,-16.50417133,geom,Los Guindales,"Psj. Guindal, detrás del Jardín Botánico",DIRECCION DE DEPORTES,14,POLIFUNCIONAL,CENTRO,2,3,C,MIRAFLORES BAJO,6,2,,gustavo.nao,2018-09-12T21:55:50.067Z,
Feature,camposdeportivos.7,Point,-68.11925788,-16.49384161,geom,Polifuncional Orkojahuira,C. Paraguay,JUNTA VECINAL - SIN REGULACION,14,POLIFUNCIONAL,CENTRO,2,3,C,MIRAFLORES,7,2,,gustavo.nao,2018-09-12T21:53:31.193Z,
Feature,camposdeportivos.8,Point,-68.12745991,-16.49653202,geom,"Sindicato de trabajadores municipales de La Paz ""servicios públicos""",Av. Saavedra,SINDICATO DE TRABAJDORES MUNICIPALES DE LA PAZ,14,POLIFUNCIONAL,CENTRO,2,3,C,MIRAFLORES,8,2,,clara.revollo,2016-07-26T13:44:49.310Z,
Feature,camposdeportivos.9,Point,-68.11857564,-16.4958209,geom,Orkojahuira,Av. Pasos Kanki ,DIRECCION DE DEPORTES,13,PISCINA,CENTRO,2,2,B,MIRAFLORES,9,2,,juan.alba,2016-06-07T02:23:23.750Z,
Feature,camposdeportivos.10,Point,-68.12521303,-16.50519649,geom,Av. del Poeta,Av. del Poeta,DIRECCION MUNICIPAL DE DEPORTES,10,FUTBOL SALA,CENTRO,1,3,C,CANCHA ZAPATA,10,2,,gustavo.nao,2018-09-12T15:02:43.253Z,
Feature,camposdeportivos.11,Point,-68.12487789,-16.50563294,geom,Av. del Poeta,Av. del Poeta,DIRECCION MUNICIPAL DE DEPORTES,10,FUTBOL SALA,CENTRO,1,3,C,CANCHA ZAPATA,12,2,,gustavo.nao,2018-09-12T15:03:01.790Z,
Feature,camposdeportivos.12,Point,-68.12466202,-16.50579908,geom,Av. del Poeta,Av. del Poeta,DIRECCION MUNICIPAL DE DEPORTES,10,FUTBOL SALA,CENTRO,1,3,C,CANCHA ZAPATA,13,2,,gustavo.nao,2018-09-12T15:03:09.920Z,
Feature,camposdeportivos.13,Point,-68.12442507,-16.50598537,geom,Av. del Poeta,Av. del Poeta,DIRECCION MUNICIPAL DE DEPORTES,10,FUTBOL SALA,CENTRO,1,3,C,CANCHA ZAPATA,14,2,,gustavo.nao,2018-09-12T15:03:20.910Z,
Feature,camposdeportivos.14,Point,-68.1241829,-16.50616406,geom,Av. del Poeta,Av. del Poeta,DIRECCION MUNICIPAL DE DEPORTES,10,FUTBOL SALA,CENTRO,1,3,C,CANCHA ZAPATA,15,2,,gustavo.nao,2018-09-12T15:03:30.567Z,
Feature,camposdeportivos.15,Point,-68.12507561,-16.50541864,geom,Av. del Poeta,Av. del Poeta,DIRECCION MUNICIPAL DE DEPORTES,10,FUTBOL SALA,CENTRO,1,3,C,CANCHA ZAPATA,11,2,,gustavo.nao,2018-09-12T15:02:53.887Z,
Feature,camposdeportivos.16,Point,-68.12389858,-16.50638306,geom,Av. del Poeta,Av. del Poeta,DIRECCION MUNICIPAL DE DEPORTES,10,FUTBOL SALA,CENTRO,1,3,C,CANCHA ZAPATA,16,2,,gustavo.nao,2018-09-12T15:03:40.960Z,
Feature,camposdeportivos.17,Point,-68.12826486,-16.5027452,geom,Parque Urbano Central,Av. del Ejercito y del Poeta – Parque Urbano Central,DIRECCION MUNICIPAL DE DEPORTES,8,FUTBOL,CENTRO,1,2,B,CANCHA ZAPATA,17,2,,gustavo.nao,2018-09-12T15:01:13.093Z,
Feature,camposdeportivos.18,Point,-68.12701448,-16.5031095,geom,Parque Urbano Central,Av. del Ejercito y del Poeta – Parque Urbano Central,DIRECCION MUNICIPAL DE DEPORTES,12,MINI FUTBOL,CENTRO,1,3,C,CANCHA ZAPATA,18,2,,gustavo.nao,2018-09-12T15:01:56.910Z,
Feature,camposdeportivos.19,Point,-68.12675414,-16.50324761,geom,Parque Urbano Central,Av. del Ejercito y del Poeta – Parque Urbano Central,DIRECCION MUNICIPAL DE DEPORTES,10,FUTBOL SALA,CENTRO,1,3,C,CANCHA ZAPATA,19,2,,gustavo.nao,2018-09-12T15:02:05.333Z,
Feature,camposdeportivos.20,Point,-68.1275579,-16.50244106,geom,Parque Urbano Central,Av. del Ejercito y del Poeta – Parque Urbano Central,DIRECCION MUNICIPAL DE DEPORTES,10,FUTBOL SALA,CENTRO,1,3,C,CANCHA ZAPATA,20,2,,gustavo.nao,2018-09-12T15:01:01.123Z,
