type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/IdTipo,properties/Tipo,properties/Zona,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,cementerios.1,Point,-68.10272443,-16.56160988,geom,Mallasilla,Mallasilla - Providencia,1,Clandestino,Mallasilla,20,,clara.revollo,2016-06-01T23:46:52.833Z,
Feature,cementerios.2,Point,-68.08867272,-16.56595676,geom,Mallasa,C. 2 y final C. Las Flores.,1,Clandestino,Mallasa,20,,clara.revollo,2016-06-01T23:46:59.883Z,
Feature,cementerios.3,Point,-68.07613636,-16.5883725,geom,Jupapina,"Jupapina, Carretera Río Abajo.",1,Clandestino,Jupapina,20,,clara.revollo,2016-06-01T23:47:17.037Z,
Feature,cementerios.4,Point,-68.05848886,-16.55736417,geom,Chiaraque,"Huairapata - Alto Calacoto C. Los Rosales , sector Muela del Diablo",1,Clandestino,Chiaraque,20,,clara.revollo,2016-06-01T23:37:25.197Z,
Feature,cementerios.5,Point,-68.04043139,-16.53552724,geom,Ovejuyo,"Av. 14 de Septiembre, entre C.60 y Av. Litoral.",1,Clandestino,Ovejuyo,19,,clara.revollo,2016-06-01T23:38:24.393Z,
Feature,cementerios.6,Point,-68.09477238,-16.5233858,geom,Huanu Huanuni - Bella Vista,Final C. 5.,2,Clandestino en Prop. Mcpal.,Bella Vista,21,,clara.revollo,2016-06-01T23:37:56.377Z,
Feature,cementerios.7,Point,-68.05488621,-16.55154038,geom,El Pedregal,Final C. A.,1,Clandestino,Pedregal,19,,clara.revollo,2016-06-01T23:39:00.733Z,
Feature,cementerios.8,Point,-68.06986337,-16.54150737,geom,Cota Cota,C.Rosendo Reyes Romero y C. 26.,1,Clandestino,Cota Cota,18,,clara.revollo,2016-06-01T23:39:39.837Z,
Feature,cementerios.9,Point,-68.11218651,-16.52791592,geom,Celestial,"Av. Los Sargentos, entre C. 3 y 5",4,Privado,Los Sargentos,21,,clara.revollo,2016-06-01T23:40:09.300Z,
Feature,cementerios.10,Point,-68.0959746,-16.49294224,geom,Ciudad del Niño,Av. Luis Cardenas,1,Clandestino,Ciudad del Niño (Villa Salome),16,,clara.revollo,2016-06-01T23:40:31.610Z,
Feature,cementerios.12,Point,-68.11219631,-16.49695371,geom,Israelita,C.Raul Salmón y Psj. Israelita,4,Privado,Villa San Antonio,15,,clara.revollo,2016-06-01T23:43:18.207Z,
Feature,cementerios.13,Point,-68.11683471,-16.48622244,geom,Alemán,"C. Bernando Monteagudo, Jose Maria Santivañez e Isac Sebastián",4,Privado,Villa Copacabana,14,,clara.revollo,2016-06-01T23:43:45.007Z,
Feature,cementerios.14,Point,-68.13046686,-16.48599529,geom,La Llamita,"27 de Mayo, Av. Juan José Torrez",2,Clandestino en Prop. Mcpal.,Agua de la Vida Norte,12,,clara.revollo,2016-06-01T23:44:14.083Z,
Feature,cementerios.15,Point,-68.10638157,-16.46211972,geom,Ballivián,Ballivián Chuquiaguillo. Entre carretera Av. LaPaz Cotapata y C.Quiquibey 3-A,2,Clandestino en Prop. Mcpal.,Chuquiaguillo,13,,clara.revollo,2016-06-01T23:44:38.470Z,
Feature,cementerios.16,Point,-68.15131937,-16.49669749,geom,General,"Av. Mariano Baptista , Picada Chaco y Lino Monastrios",3,GAMLP,Callampaya,8,,clara.revollo,2016-06-01T23:44:50.727Z,
Feature,cementerios.17,Point,-68.1275963,-16.53481307,geom,Los Pinos,"Bajo Llojeta, parte superior de la urbanización Kentoni cerca de la Av. Los Sargentos.",1,Clandestino,Alpacoma,4,,clara.revollo,2016-06-01T23:45:07.167Z,
Feature,cementerios.18,Point,-68.11840246,-16.52271823,geom,Jardín,"Av. Mario Mercado , Los Sargentos",4,Privado,Bajo Llojeta,21,,clara.revollo,2016-06-01T23:45:17.237Z,
Feature,cementerios.19,Point,-68.14228417,-16.53553588,geom,Alpacoma Valle de Las Flores,Av. Jarañapampa y C. Tres de Mayo,2,Clandestino en Prop. Mcpal.,Alto Llojeta,4,,nhuanquiri,2017-05-31T21:45:43.390Z,
Feature,cementerios.20,Point,-68.11361027,-16.52624324,geom,Los Angeles,Costanera y Mario Mercado.,4,Privado,Obrajes,21,,clara.revollo,2016-06-01T23:45:49.007Z,
Feature,cementerios.21,Point,-68.04397236,-16.50753469,geom,Kellumani Chijipata,"Sector Huallani-Alto Chijipata , a dos cuadras de la Av. Chijipata.(Meseta de Achumani)",1,Clandestino,Kellumani,18,,clara.revollo,2016-06-01T23:46:09.720Z,
Feature,cementerios.22,Point,-68.04502197,-16.53302547,geom,Wilacota,Playa Kokeni - Wilacota Entre C. Reyes y Av. Wilacota.,1,Clandestino,Coqueni,19,,clara.revollo,2016-06-01T23:46:32.427Z,
