type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Zona,properties/Direccion,properties/Descripcion,properties/IdTipo,properties/Tipo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,centrosdesarrollosocial.1,Point,-68.1412239,-16.51743914,geom,Escuela de Familia AJAYU Cotahuma,Cotahuma,"Av. Huallparimachi, esc. C. Sudán #11",El Centro funciona en la Casa Comunal Obispo Bosque,4,CENTROS DE REHABILITACION,4,,rosio.quisbert,2018-05-10T22:59:46.813Z,,
Feature,centrosdesarrollosocial.2,Point,-68.1332691,-16.4972405,geom,Escuela de Familia AJAYU,zona central,calle potosi - calle colon Edificio Tobias planta baja,El Centro funciona en la Casa Comunal Urbanización Los Llanos,4,CENTROS DE REHABILITACION,1,,rosio.quisbert,2018-05-10T22:58:17.820Z,,
Feature,centrosdesarrollosocial.3,Point,-68.1304236,-16.4984315,geom,VIRGEN DE GUADALUPE,Cancha Zapata,"Av. Simón Bolívar, Esc. Federico Suazo","Av.Simón Bolívar, casi esquina Federico Suazo.",6,ESPACIOS COMUNALES DEL ADULTO MAYOR,1,,rosio.quisbert,2018-05-14T13:36:47.363Z,ATENCIÓN LOS DÍAS MARTES,
Feature,centrosdesarrollosocial.4,Point,-68.12855513,-16.50387806,geom,NUESTRA VIDA (Magisterio),Zona Santa Bárbara,"Avenida del Ejercito, Parada del Bus Pumakatari a villa salome","Sede social junta vecinos,  lado Retén Policial",6,ESPACIOS COMUNALES DEL ADULTO MAYOR,1,,rosio.quisbert,2018-05-11T14:04:08.697Z,ATENCION LOS DIAS VIERNES,
Feature,centrosdesarrollosocial.5,Point,-68.13044651,-16.49847616,geom,PROMOCIÓN 2014,Central,"Calle Castro, entre Illimani y Obispo Cardenas",Auditorio  de la iglesia San Francisco ,6,ESPACIOS COMUNALES DEL ADULTO MAYOR,1,,rosio.quisbert,2018-05-11T14:16:03.293Z,ATENCION LOS DIAS MARTES,
Feature,centrosdesarrollosocial.7,Point,-68.13602181,-16.49272146,geom,EXTERNAS QUEVEDO,Zona Centro,"C. Indaburo, C. Jaén",Auditorio del Hogar Quevedo,6,ESPACIOS COMUNALES DEL ADULTO MAYOR,1,,rosio.quisbert,2018-05-11T14:23:48.150Z,ATENCIÓN LOS DÍAS VIERNES,
Feature,centrosdesarrollosocial.8,Point,-68.14384081,-16.52570348,geom,BOQUERON CENTRAL,PSANKERI,CALLE MARCELO QUIROGA SANTA CRUZ Y ROMA,Auditorio Casa Comunal de Barrios y Comunidades de Verdad,6,ESPACIOS COMUNALES DEL ADULTO MAYOR,4,,rosio.quisbert,2018-05-11T21:21:04.483Z,ATENCION DIAS MIERCOLES,
Feature,centrosdesarrollosocial.9,Point,-68.13424904,-16.5107711,geom,SAN LUIS,Zona cristo rey,"C. Chaco, C. General Lanza",auditorio  de la parroquia  ,6,ESPACIOS COMUNALES DEL ADULTO MAYOR,3,,rosio.quisbert,2018-05-11T20:26:02.017Z,ATENCION DIAS MIERCOLES,
Feature,centrosdesarrollosocial.11,,,,geom,Villa Nueva Potosí,Villa  Nueva  Potosí ,C. 3 de mayo,Auditorio Centro  de  Salud  Villa  Nueva  Potosí ,6,ESPACIOS COMUNALES DEL ADULTO MAYOR,,,,,,
Feature,centrosdesarrollosocial.16,Point,-68.1073173,-16.49077921,geom,ALTO ESCOBAR URIA,Alto Escobar  Uría,"Av. Circunvalación y calle ""E"" #300, casa comunal",Casa comunal Barrios de Verdad.,6,ESPACIOS COMUNALES DEL ADULTO MAYOR,15,,rosio.quisbert,2018-05-14T13:26:48.510Z,atencion miercoles,
Feature,centrosdesarrollosocial.17,Point,-68.1056189,-16.52343733,geom,DIVINO MAESTRO,"Zona Alto Obrajes,",C. Elodia de Lijeron, Auditorio  de la Iglesia   Divino Maestro  ,6,ESPACIOS COMUNALES DEL ADULTO MAYOR,21,,rosio.quisbert,2018-05-14T13:34:07.040Z,ATENCIÓN JUEVES,
Feature,centrosdesarrollosocial.20,Point,-68.06741392,-16.5222208,geom,HOGAR SAN RAMON,Zona de  Achumani,AVENIDA THE STRONGUEST C. 27,Hogar San Ramón,6,ESPACIOS COMUNALES DEL ADULTO MAYOR,18,,rosio.quisbert,2018-05-14T13:26:26.380Z,,
Feature,centrosdesarrollosocial.22,,,,geom,Chinchaya,Chinchaya,Av. Ciudad del Niño,Sede de adultos mayores,6,ESPACIOS COMUNALES DEL ADULTO MAYOR,,,,,,
Feature,centrosdesarrollosocial.23,,,,geom,Valle Hermoso,Villa Copacabana,Av. Litoral,Sede Social de Barrios de Verdad,6,ESPACIOS COMUNALES DEL ADULTO MAYOR,,,,,,
Feature,centrosdesarrollosocial.24,Point,-68.14090404,-16.48805401,geom,PRIMERO DE MAYO,Zona de Callampaya,Av. Perú esq. Beni,Auditorio  Sede Choferes Primero de Mayo ,6,ESPACIOS COMUNALES DEL ADULTO MAYOR,11,,rosio.quisbert,2018-05-14T13:35:55.673Z,atencion dias martes,
Feature,centrosdesarrollosocial.25,Point,-68.14903157,-16.47542802,geom,ACHACHICALA,Achachicala,ANTONIO DE LA CALANCHA Y PEDRO MARBAN,Auditorio Biblioteca Municipal,6,ESPACIOS COMUNALES DEL ADULTO MAYOR,11,,rosio.quisbert,2018-05-11T21:48:33.457Z,ATENCION DIAS LUNES,
Feature,centrosdesarrollosocial.26,Point,-68.15840205,-16.49241248,geom,UNIVERSIDAD DEL ADULTO MAYOR,KOLLASUYO,calle 26 de mayo y Guadarquivir,"Edif. Renacimiento, piso 7",6,ESPACIOS COMUNALES DEL ADULTO MAYOR,8,,rosio.quisbert,2018-05-14T13:45:36.030Z,,
