type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Tipo
Feature,centrosreligiosos.1,Point,-68.14252302,-16.4999552,Shape,Iglesia Señor Jesús del Gran Poder,Iglesia
Feature,centrosreligiosos.2,Point,-68.07449669,-16.58919224,Shape,Iglesia Adventista del Séptimo Día,Templos
Feature,centrosreligiosos.3,Point,-68.09070044,-16.56940176,Shape,Iglesia Evangélica de Adoración,Iglesia
Feature,centrosreligiosos.4,Point,-68.05303117,-16.53887963,Shape,Iglesia Bautista del Sur,Iglesia
Feature,centrosreligiosos.5,Point,-68.05279269,-16.53825035,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.6,Point,-68.05915353,-16.54015727,Shape,Iglesia Nazareno,Iglesia
Feature,centrosreligiosos.7,Point,-68.09487164,-16.54498258,Shape,Iglesia Evangélica Boliviana Coreana,Iglesia
Feature,centrosreligiosos.8,Point,-68.07908233,-16.53859237,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.9,Point,-68.08819981,-16.5414878,Shape,Iglesia Evangélica La Comunidad,Iglesia
Feature,centrosreligiosos.10,Point,-68.09368153,-16.53985586,Shape,Iglesia Bautista La Lumbrera,Iglesia
Feature,centrosreligiosos.11,Point,-68.06469946,-16.51993087,Shape,Iglesia Evangélica Coreana,Iglesia
Feature,centrosreligiosos.12,Point,-68.08214638,-16.52038486,Shape,Iglesia Adventista del Séptimo Día,Iglesia
Feature,centrosreligiosos.13,Point,-68.10502107,-16.52729242,Shape,Iglesia Evangélica Metodista,Iglesia
Feature,centrosreligiosos.14,Point,-68.11081212,-16.52678798,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.15,Point,-68.08991838,-16.5202935,Shape,Misión de la Fé Evangélica,Templos
Feature,centrosreligiosos.16,Point,-68.13098315,-16.53255253,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.17,Point,-68.13776337,-16.53237472,Shape,Iglesia Evangélica Casa de Oración,Iglesia
Feature,centrosreligiosos.18,Point,-68.14039571,-16.53364089,Shape,Iglesia Evangélica Eklesia,Iglesia
Feature,centrosreligiosos.19,Point,-68.14291399,-16.52486956,Shape,Iglesia Adventista del Séptimo Día,Iglesia
Feature,centrosreligiosos.20,Point,-68.14473623,-16.52272109,Shape,Iglesia Evangélica Ministerio del Nuevo,Iglesia
Feature,centrosreligiosos.21,Point,-68.14605013,-16.52224828,Shape,Iglesia Evangélica Pentecostes,Iglesia
Feature,centrosreligiosos.22,Point,-68.15163507,-16.51002792,Shape,Iglesia Evangélica León de Judá,Iglesia
Feature,centrosreligiosos.23,Point,-68.14185224,-16.51195627,Shape,Iglesia Evangélica Pentecostal Movimient,Iglesia
Feature,centrosreligiosos.24,Point,-68.12553738,-16.51137408,Shape,Iglesia Evangélica Metodista,Iglesia
Feature,centrosreligiosos.25,Point,-68.13984382,-16.51462599,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.26,Point,-68.11296405,-16.51605501,Shape,Iglesia Jesucristo de los Ultimos Dias,Iglesia
Feature,centrosreligiosos.27,Point,-68.11147127,-16.51562353,Shape,Salon del Reino de Los Testigos de Jehová,Templos
Feature,centrosreligiosos.28,Point,-68.09721235,-16.51195582,Shape,Iglesia Evangélica Amigos Central,Iglesia
Feature,centrosreligiosos.29,Point,-68.10095212,-16.50941794,Shape,Congregación Evangélica Bautista,Templos
Feature,centrosreligiosos.30,Point,-68.10067597,-16.50920613,Shape,Iglesia Cristiana Getsemani,Iglesia
Feature,centrosreligiosos.31,Point,-68.10274572,-16.50862492,Shape,Iglesia Adventista del Séptimo Día,Iglesia
Feature,centrosreligiosos.32,Point,-68.10341132,-16.51082428,Shape,Iglesia Pentecostes Unida Internacional,Iglesia
Feature,centrosreligiosos.33,Point,-68.1062,-16.51023955,Shape,Iglesia Asamblea de Dios,Iglesia
Feature,centrosreligiosos.34,Point,-68.10884272,-16.50954371,Shape,Iglesia Jesucristo de los Snt de los Ultimos Dias,Iglesia
Feature,centrosreligiosos.35,Point,-68.10279648,-16.50677387,Shape,Iglesia del Nazareno,Iglesia
Feature,centrosreligiosos.36,Point,-68.10256016,-16.5060162,Shape,Iglesia Misiones Mundiales,Iglesia
Feature,centrosreligiosos.37,Point,-68.10058582,-16.50096556,Shape,Iglesia Metodista Buenas Nuevas,Iglesia
Feature,centrosreligiosos.38,Point,-68.1050342,-16.50222287,Shape,Eklesia,Templos
Feature,centrosreligiosos.39,Point,-68.10543727,-16.50284135,Shape,Iglesia Dios Santidad,Iglesia
Feature,centrosreligiosos.40,Point,-68.10166264,-16.49858562,Shape,Iglesia Evangelica Boliviana de Santidad Olivos,Iglesia
Feature,centrosreligiosos.41,Point,-68.10493933,-16.49614747,Shape,Iglesia de los Santos de los Ultimos Dias,Iglesia
Feature,centrosreligiosos.42,Point,-68.10508863,-16.49572878,Shape,Iglesia Adventista del Séptimo Día,Iglesia
Feature,centrosreligiosos.43,Point,-68.10454722,-16.48937431,Shape,Iglesia Comunidad Cristiana Shalom,Iglesia
Feature,centrosreligiosos.44,Point,-68.11404505,-16.46952289,Shape,Salon del Reino de Los Testigos de Jehová,Templos
Feature,centrosreligiosos.45,Point,-68.1145389,-16.46954896,Shape,Iglesia Evangélica El Nazareno,Iglesia
Feature,centrosreligiosos.46,Point,-68.11734441,-16.46879139,Shape,Iglesia Bautista Sinaí,Iglesia
Feature,centrosreligiosos.47,Point,-68.11932259,-16.46964694,Shape,Ejercito de Salvación Cuerpo Fátima,Templos
Feature,centrosreligiosos.48,Point,-68.12182078,-16.47035715,Shape,Iglesia del Nazareno Santidad,Iglesia
Feature,centrosreligiosos.49,Point,-68.1023312,-16.45925053,Shape,Iglesia Evangélica Santidad de Amigos,Iglesia
Feature,centrosreligiosos.50,Point,-68.10303421,-16.46058995,Shape,Iglesia Adventista del Séptimo Día,Iglesia
Feature,centrosreligiosos.51,Point,-68.1087226,-16.46320272,Shape,Iglesia Evangelica Unión Boliviana,Iglesia
Feature,centrosreligiosos.52,Point,-68.11288493,-16.46374022,Shape,Iglesia Evangélica Pentecostal Vida Nuev,Iglesia
Feature,centrosreligiosos.53,Point,-68.11567005,-16.46496327,Shape,Iglesia Evangélica ELAD,Iglesia
Feature,centrosreligiosos.54,Point,-68.11856591,-16.46459577,Shape,Iglesia Evangélica Cristo el León de Judá,Iglesia
