type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/OBJECTID_1,properties/OBJECTID,properties/LAYER,properties/Nombre,properties/Direccion,properties/Zona,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,edificios.31,Point,-68.13389504,-16.50385737,geom,321,347,EDIFICIOS,Edificio Duchén,,,6,,clara.revollo,2016-07-26T01:01:57.493Z,,
Feature,edificios.32,Point,-68.13179391,-16.50466299,geom,322,348,EDIFICIOS,Edificio Franz Tamayo,,,6,,,,,
Feature,edificios.33,Point,-68.13270813,-16.5039972,geom,323,349,EDIFICIOS,Edificio Canada Stronguest,,,6,,,,,
Feature,edificios.34,Point,-68.13281207,-16.50403027,geom,324,350,EDIFICIOS,Edificio Adelita,,,6,,,,,
Feature,edificios.35,Point,-68.13305242,-16.50541452,geom,325,351,EDIFICIOS,Edificio Sarmiento,,,6,,,,,
Feature,edificios.36,Point,-68.13548508,-16.49744057,geom,326,352,EDIFICIOS,Edificio Hansa Parqueo,,,1,,,,,
Feature,edificios.37,Point,-68.13474247,-16.49788537,geom,327,353,EDIFICIOS,Edificio Entel,,,1,,,,,
Feature,edificios.38,Point,-68.13492432,-16.49744987,geom,328,354,EDIFICIOS,Edificio Lui,,,1,,,,,
Feature,edificios.39,Point,-68.13581574,-16.49971086,geom,329,355,EDIFICIOS,Edificio Oruro,,,6,,,,,
Feature,edificios.40,Point,-68.13669962,-16.49915461,geom,330,356,EDIFICIOS,Edificio Murillo,,,6,,,,,
Feature,edificios.41,Point,-68.13721796,-16.49960792,geom,331,357,EDIFICIOS,Edificio Claros,,,6,,,,,
Feature,edificios.42,Point,-68.13633647,-16.5003157,geom,332,358,EDIFICIOS,Edificio Rodriguez,,,6,,,,,
Feature,edificios.43,Point,-68.14463005,-16.4842302,geom,333,359,EDIFICIOS,Edificio Condominio Chacaltaya,,,11,,,,,
Feature,edificios.44,Point,-68.12097206,-16.49199791,geom,334,360,EDIFICIOS,Edificio Jamaica,,,2,,,,,
Feature,edificios.45,Point,-68.12113797,-16.49262168,geom,335,361,EDIFICIOS,Edificio El Sauce,,,2,,,,,
Feature,edificios.46,Point,-68.12151678,-16.49633149,geom,336,362,EDIFICIOS,Edificio Panamá,,,2,,clara.revollo,2016-07-25T23:36:41.580Z,,
Feature,edificios.47,Point,-68.12087003,-16.49887609,geom,337,364,EDIFICIOS,Edificio Londres,,,2,,,,,
Feature,edificios.48,Point,-68.12085765,-16.49868528,geom,338,365,EDIFICIOS,Edificio Río Esmeralda,,,2,,clara.revollo,2016-07-25T23:36:53.733Z,,
Feature,edificios.49,Point,-68.12037858,-16.49799691,geom,339,366,EDIFICIOS,Edificio Campanini,,,2,,,,,
Feature,edificios.50,Point,-68.12091455,-16.49351924,geom,340,367,EDIFICIOS,Edificio Edgar,,,2,,,,,
Feature,edificios.51,Point,-68.12096639,-16.4932565,geom,341,368,EDIFICIOS,Edificio Las Retamas,,,2,,,,,
