type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/CodMacro,properties/CodDistrito,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,properties/IdTipo,properties/Nombreback
Feature,educacionprivada.1,Point,-68.09277203,-16.55960902,geom,Aranjuez,C. Los Manzanos,Nazareno,6,,20,,clara.revollo,2016-06-02T18:55:54.210Z,,12,Unidad Educativa Aranjuez
Feature,educacionprivada.2,Point,-68.03769934,-16.0921583,geom,Esperanza,Municipio de Zongo,,0,,23,,clara.revollo,2016-06-22T13:01:35.080Z,,5,Escuela Esperanza
Feature,educacionprivada.5,Point,-68.11434323,-16.51908962,geom,Los Andes,Av. Los Leones,Obrajes,5,,21,,clara.revollo,2016-07-01T19:45:16.930Z,,5,Escuela de Negocios Los Andes
Feature,educacionprivada.6,Point,-68.10755057,-16.52881527,geom,Risas y Sonrisas,C. 11,Obrajes,5,,21,,clara.revollo,2016-07-01T19:47:07.633Z,,8,Guardería risas y sorisas
Feature,educacionprivada.7,Point,-68.10307256,-16.527706,geom,Rosa Gatorno hijas de Santa Ana,Av. 14 de Septiembre,Obrajes,5,,21,,clara.revollo,2016-06-06T19:02:25.740Z,,4,Colegio Rosa Gatorno hijas de Santa Ana
Feature,educacionprivada.8,Point,-68.09308784,-16.53021543,geom,Jean Piaget,Av. Los Alamos # 100,Bella Vista,5,,21,,clara.revollo,2016-06-11T21:07:09.967Z,,12,Unidad Educativa Jean Piaget
Feature,educacionprivada.9,Point,-68.04598992,-16.53722862,geom,Montserrat,C. 53 Chasquipampa,CHASQUIPAMPA,5,,19,,clara.revollo,2016-06-06T20:26:56.300Z,,4,Colegio Montserrat
Feature,educacionprivada.10,Point,-68.04515551,-16.53735854,geom,Boliviano de Técnica Agropecuaria,C. 53 Chasquipampa,CHASQUIPAMPA,5,,19,,clara.revollo,2016-06-06T20:28:06.977Z,,9,Instituto Boliviano de Técnica Agropecuaria
Feature,educacionprivada.11,Point,-68.06846502,-16.53817725,geom,Facultad de Investigación Física,Av. Andres Bello Campus Universitario UMSA,COTA COTA,5,,18,,clara.revollo,2016-07-01T19:45:52.413Z,,9,Instituto de Investigación Física
Feature,educacionprivada.12,Point,-68.06785071,-16.53820529,geom,Facultad de Investigación Geológica,Av. Andres Bello Campus Universitario UMSA,COTA COTA,5,,18,,clara.revollo,2016-07-01T19:46:05.800Z,,9,Instituto de Investigación Geológica
Feature,educacionprivada.13,Point,-68.06816033,-16.53818371,geom,Facultad de Investigación Química,Av. Andres Bello Campus Universitario UMSA,COTA COTA,5,,18,,clara.revollo,2016-07-01T19:46:14.393Z,,9,Instituto de Investigación Química
Feature,educacionprivada.14,Point,-68.07608366,-16.54194201,geom,Educativo Los Pinos,C. 23 de Calacato,LOS PINOS,5,,18,,clara.revollo,2016-06-06T20:29:38.887Z,,9,Instituto Educativo Los Pinos
Feature,educacionprivada.15,Point,-68.0775097,-16.53246836,geom,Franco Boliviano,Av. Circuvalación,ACHUMANI,5,,18,,clara.revollo,2016-06-22T13:05:11.180Z,,4,Colegio Franco Boliviano
Feature,educacionprivada.16,Point,-68.07868055,-16.54575004,geom,Loretto,Av. Mariscal de Montenegro,San Miguel,5,,18,,clara.revollo,2016-06-06T15:27:12.340Z,,4,Colegio Loretto 
Feature,educacionprivada.17,Point,-68.08937075,-16.54702328,geom,América,C. Benito Juarez,LA RINCONADA,5,,18,,clara.revollo,2016-06-13T12:57:18.363Z,,11,Kinder América
Feature,educacionprivada.18,Point,-68.08679624,-16.54949752,geom,Saint Andrews,Av. Las Retamas,CALACOTO,5,,18,,clara.revollo,2016-06-22T13:05:29.437Z,,4,Colegio Saint Andrews
Feature,educacionprivada.19,Point,-68.08166721,-16.50568836,geom,Colesol Saint Germain,C. Las Palmeras # 8,IRPAVI 2,5,,18,,clara.revollo,2017-04-17T14:54:36.640Z,,4,Colesol Saint Germain
Feature,educacionprivada.22,Point,-68.11181918,-16.52275214,geom,Católica Boliviana,Av. 14 de Septiembre,OBRAJES,5,,21,,clara.revollo,2016-06-06T15:30:19.983Z,,13,Universidad Católica Boliviana
Feature,educacionprivada.24,Point,-68.1054332,-16.5288178,geom,Colesur,Av. Hector Ormachea,OBRAJES,5,,21,,clara.revollo,2016-06-22T13:06:00.503Z,,4,Colesur
Feature,educacionprivada.27,Point,-68.09848051,-16.5370222,geom,San Ignacio,Av. Hugo Ernest,OBRAJES,5,,21,,clara.revollo,2016-06-06T15:21:54.987Z,,4,Colegio San Ignacio
Feature,educacionprivada.28,Point,-68.09719327,-16.54124226,geom,Academia Nacional de Policias,Av. Hugo Ernest V. HUGO ERNEST,OBRAJES,5,,21,,clara.revollo,2016-06-06T19:26:28.600Z,,1,Academia Nacional de Policias
Feature,educacionprivada.29,Point,-68.08938434,-16.54290602,geom,Calvert,Av. Sanchez Bustamante,CALACOTO,5,,18,,clara.revollo,2016-06-06T15:31:27.950Z,,4,Colegio Calvert
Feature,educacionprivada.30,Point,-68.09521897,-16.54581006,geom,Vida y Verdad,Av. Hugo Ernest Rivera,SEGUENCOMA,5,,21,,clara.revollo,2016-06-22T13:06:45.277Z,,4,Colegio Vida y Verdad
Feature,educacionprivada.31,Point,-68.08628705,-16.53600553,geom,Unidad Educativa del Ejercito,Av. Rafael Pavón,CALACOTO,5,,18,,clara.revollo,2017-04-17T14:54:25.680Z,,12,Unidad Educativa del Ejercito
Feature,educacionprivada.32,Point,-68.08175513,-16.52998043,geom,Escuela Militar de Ingeniería,Av. Los Sauces,IRPAVI,5,,18,,nhuanquiri,2016-07-01T22:53:34.230Z,,5,Escuela Militar de Ingeniería
Feature,educacionprivada.33,Point,-68.06973767,-16.54730446,geom,Montessori,Av. Costanera,AUQUISAMAÑA,5,,18,,clara.revollo,2016-06-08T16:05:55.100Z,,4,Colegio Montessori
Feature,educacionprivada.34,Point,-68.06635835,-16.53880451,geom,UMSA - Ciencias Puras,Av. Andres Bello Campus Universitario UMSA,COTA COTA,5,,18,,clara.revollo,2016-06-06T19:20:08.133Z,,13,Ciencias Puras - UMSA
Feature,educacionprivada.36,Point,-68.06746736,-16.52861027,geom,Alemán Mariscal Braun,Av. Alexander #100,ACHUMANI,5,,18,,clara.revollo,2016-06-22T13:07:25.463Z,,4,Colegio Alemán Mariscal Braun
Feature,educacionprivada.37,Point,-68.09646674,-16.52596412,geom,Las Américas,Av. Gral. Gonzales # 100,ALTO OBRAJES,5,,21,,clara.revollo,2016-06-11T23:07:03.793Z,,4,Colegio Las Américas
Feature,educacionprivada.38,Point,-68.10313639,-16.52523913,geom,Arcoiris,C. 14 Obrajes,OBRAJES,5,,21,,clara.revollo,2016-06-06T19:28:26.817Z,,7,Fundación Arcoiris
Feature,educacionprivada.39,Point,-68.10383618,-16.53502978,geom,Juan Pablo II,C. 5,SEGÜENCOMA,5,,21,,clara.revollo,2016-06-13T13:06:29.773Z,,0,Juan Pablo II
Feature,educacionprivada.40,Point,-68.15044353,-16.46856807,geom,América,Av. Alonso Ramos Gavilán,ACHACHICALA,3,,11,,clara.revollo,2016-06-13T13:10:10.560Z,,12,Unidad Educativa América
Feature,educacionprivada.41,Point,-68.1193284,-16.47534259,geom,UMSA - Facultad de Investigaciones Metalúrgicas,C. Santa Rosa,VILLA FATIMA,3,,13,,clara.revollo,2016-07-01T21:33:20.667Z,,9,Instituto de Investigaciones Metalurgicas
Feature,educacionprivada.42,Point,-68.12032847,-16.47597907,geom,Centro de Terapia de Mujeres,C. Santa Rosa,VILLA FÁTIMA,3,,13,,clara.revollo,2016-07-01T20:43:52.253Z,,3, de Terapia de Mujeres
