type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Telefono,properties/Zona,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,educacionsuperior.1,Point,-68.12299162,-16.5114691,geom,Escuela Militar de Ingenieria - EMI,Av. Arce,2432266,SAN JORGE,1,,clara.revollo,2016-06-13T19:14:04.903Z,
Feature,educacionsuperior.2,Point,-68.12658859,-16.5054211,geom,Universidad de Aquino Bolivia - UDABOL,C. Capitan Ravelo,2441044,CENTRAL,1,,clara.revollo,2016-06-13T19:14:24.707Z,
Feature,educacionsuperior.3,Point,-68.12952098,-16.5045626,geom,Universidad Mayor de San Andres,Av. Villazón #1995,2441118,CENTRAL,1,,clara.revollo,2016-06-13T19:15:02.503Z,
Feature,educacionsuperior.4,Point,-68.12814522,-16.51174527,geom,Universidad Nuestra Señora de La Paz,C. Presbitero Medina,24222323,SOPOCACHI,3,,clara.revollo,2016-06-13T19:15:51.943Z,
Feature,educacionsuperior.5,Point,-68.12648775,-16.50985533,geom,Universidad San Francisco de Asis,Av. 20 de Octubre Esq. C. Belisario Salinas,,SOPOCACHI,3,,clara.revollo,2016-06-20T23:15:00.103Z,
Feature,educacionsuperior.6,Point,-68.12441492,-16.50822202,geom,Universidad Real,C. Heriberto Gutierrez,,SOPOCACHI,1,,clara.revollo,2016-06-13T19:18:08.067Z,
Feature,educacionsuperior.7,Point,-68.1200189,-16.50343472,geom,Universidad Privada del Valle - UNIVALLE,Av. Argentina Miraflores,,MIRAFLORES,2,,clara.revollo,2016-06-13T19:18:41.970Z,
Feature,educacionsuperior.8,Point,-68.12108348,-16.4927631,geom,Universidad Loyola,Av. German Busch,,MIRAFLORES,2,,clara.revollo,2016-06-13T19:19:00.253Z,
Feature,educacionsuperior.9,Point,-68.13259387,-16.50584475,geom,Universidad Privada Franz Tamayo - UPFT,Av. Héroes del Acre Esq. C. Landaeta,,SAN PEDRO,6,,clara.revollo,2016-06-20T23:15:09.893Z,
Feature,educacionsuperior.10,Point,-68.09168936,-16.52441786,geom,Universidad La Salle,Av. Jorge Carrasco,,BOLOGNIA,21,,clara.revollo,2016-06-13T19:20:50.857Z,
Feature,educacionsuperior.11,Point,-68.13437061,-16.50059719,geom,Universidad Tecnológica Boliviana - UTB,C. Colombia,,CENTRAL,6,,clara.revollo,2016-06-13T19:21:35.113Z,
Feature,educacionsuperior.12,Point,-68.12694789,-16.57518552,geom,Universidad Privada Boliviana - UPB,ACHOCALLA,,ACHOCALLA,0,,clara.revollo,2016-06-13T19:22:43.730Z,
Feature,educacionsuperior.13,Point,-68.11208429,-16.52268576,geom,Universidad Católica Boliviana - UCB,Av. 14 de Septiembre,,OBRAJES,21,,clara.revollo,2016-06-13T19:23:23.997Z,
Feature,educacionsuperior.14,Point,-68.11852789,-16.4980608,geom,Universidad Central - UNICEN,Av. Brasil #1661,2782222,MIRAFLORES,2,,clara.revollo,2016-06-13T19:23:42.563Z,
Feature,educacionsuperior.15,Point,-68.14971749,-16.47742298,geom,Universidad Salesiana,Av. Chacaltaya,,ACHACHICALA,11,,clara.revollo,2016-06-13T19:24:16.600Z,
Feature,educacionsuperior.16,Point,-68.12913034,-16.51459182,geom,Universidad NUR,C. Victor Sanjines,,SOPOCACHI,3,,clara.revollo,2016-06-13T19:24:48.933Z,
Feature,educacionsuperior.17,Point,-68.12247215,-16.4944189,geom,Universidad Andina Simón Bolivar,C. San Salvador,,MIRAFLORES,2,,clara.revollo,2016-06-13T19:25:32.537Z,
Feature,educacionsuperior.18,Point,-68.11452946,-16.52174864,geom,UMSA - Facultad de Artes,Av. Hernando Siles,,OBRAJES,21,,clara.revollo,2016-07-01T20:52:23.750Z,Hernando Siles
Feature,educacionsuperior.19,Point,-68.14205801,-16.48641427,geom,UMSA - Facultad de Comunicación Social,C. Omasuyos,,Challapampa,11,,clara.revollo,2016-06-06T15:33:46.973Z,
Feature,educacionsuperior.20,Point,-68.12630033,-16.50923855,geom,UMSA - Facultad de Ciencias Sociales,Av. 6 de Agosto,,SOPOCACHI,3,,clara.revollo,2016-07-01T20:52:43.020Z,
