type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/tipo_ofi,properties/Direccion
Feature,entidadesfinancieras.1,Point,-68.13412215,-16.49903475,geom,Banco Nacional de Bolivia S.A.,Oficina Externa,"AV. CAMACHO Nº 1312, ESQ. COLON, ZONA CENTRAL"
Feature,entidadesfinancieras.2,Point,-68.14136944,-16.49975556,geom,Banco Nacional de Bolivia S.A.,Agencia Fija,"CALLE SEBASTIAN SEGUROLA Nº 1050, ZONA GRAN PODER"
Feature,entidadesfinancieras.3,Point,-68.13432349,-16.49895817,geom,Banco Nacional de Bolivia S.A.,Oficina Central,"AV. CAMACHO Nº 1296, ESQ. COLON, ZONA CENTRAL"
Feature,entidadesfinancieras.4,Point,-68.13446516,-16.49892206,geom,Banco Nacional de Bolivia S.A.,Sucursal,"AV. CAMACHO Nº 1296, ESQ. COLON, ZONA CENTRAL"
Feature,entidadesfinancieras.5,Point,-68.1295694,-16.50713309,geom,Banco Nacional de Bolivia S.A.,Agencia Fija,"AV. 20 DE OCTUBRE Nº 2095, ESQ. ASPIAZU, ZONA SOPOCACHI"
Feature,entidadesfinancieras.6,Point,-68.07467883,-16.53372686,geom,Banco Nacional de Bolivia S.A.,Agencia Fija,"AV. GARCI�A LANZA Nº 1484, ESQ. CALLE 13, ZONA ACHUMANI"
Feature,entidadesfinancieras.7,Point,-68.14435513,-16.49550446,geom,Banco Nacional de Bolivia S.A.,Agencia Fija,"CALLE TUMUSLA Nº 705, ESQ. AV. BUENOS AIRES, ZONA 14 DE SEPTIEMBRE"
Feature,entidadesfinancieras.8,Point,-68.13412771,-16.49902919,geom,Banco Nacional de Bolivia S.A.,Agencia Fija,"AV. CAMACHO Nº 1312, ESQ. COLON, ZONA CENTRAL"
Feature,entidadesfinancieras.9,Point,-68.08720278,-16.53200278,geom,Banco Nacional de Bolivia S.A.,Agencia Fija,"AV. RAFAEL PABON, COMPLEJO MEGA CENTER, ZONA IRPAVI"
Feature,entidadesfinancieras.10,Point,-68.12235154,-16.49536653,geom,Banco Nacional de Bolivia S.A.,Agencia Fija,"AV. HEROES DEL PACI�FICO Nº 1384, CASI ESQ. EE.UU., ZONA MIRAFLORES"
Feature,entidadesfinancieras.11,Point,-68.13740661,-16.49316974,geom,Banco Nacional de Bolivia S.A.,Agencia Fija,"AV. MONTES Nº 744, ESQ. JOSE MARIA SERRANO, ZONA CENTRAL
"
Feature,entidadesfinancieras.12,Point,-68.07885556,-16.54051944,geom,Banco Nacional de Bolivia S.A.,Agencia Fija,"AV. MONTENEGRO N° 1420, EDIF. SAN MIGUEL ARCA�NGEL, ZONA SAN MIGUEL"
Feature,entidadesfinancieras.13,Point,-68.07447963,-16.533565,geom,Banco Nacional de Bolivia S.A.,Oficina Externa,"AV. GARCIA LANZA N° 1484, ESQ. CALLE 13, ZONA ACHUMANI"
Feature,entidadesfinancieras.14,Point,-68.1277356,-16.51097593,geom,Banco Nacional de Bolivia S.A.,Oficina Externa,"CALLE BELISARIO SALINAS NÂº 525, ZONA SOPOCACHI"
