type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/CodMacro,properties/CodDistrito,properties/Macrodistrito
Feature,estacionesservicio.1,Point,-68.1311,-16.4957,Shape,GAS CENTRO,LOAYZA E INDABUROI,7,1,CENTRO
Feature,estacionesservicio.2,Point,-68.1165,-16.4981,Shape,RACING GAS SRL EXANGELITA,LA PAZ CALLE VENEZUELA N 22 ZONA VILLA SAN ANTONIO BAJO,4,15,SAN ANTONIO
Feature,estacionesservicio.3,Point,-68.1281,-16.4961,Shape,MOTORECO SRL MOTORIZACION ECOLOGICA SRL,CALLE SUCRE N 1597 ZONA CENTRAL,3,11,PERIFERICA
Feature,estacionesservicio.4,Point,-68.1455,-16.4829,Shape,CRISTO AUTOGAS SOCIEDAD DE RESPONSABILIDAD LIMITADA,AVENIDA CHACALTAYA NRO804 ZONA ACHACHICALA,3,11,PERIFERICA
Feature,estacionesservicio.5,Point,-68.138,-16.5153,Shape,ESTACION DE SERVICIO JAIMES FREYRE,LA PAZ C JAIMES FREYRE 840 ZONA COTAHUMA,1,4,COTAHUMA
Feature,estacionesservicio.6,Point,-68.0875,-16.539,Shape,AUTOMOVIL CLUB BOLIVIANO CALACOTO,CALACOTO CALLE 12 ESQ GRAL INOFUENTES N 7823,5,19,SUR
Feature,estacionesservicio.7,Point,-68.0571,-16.5397,Shape,ESTACION DE SERVICIO CHASQUIPAMPA SRL,COTACOTA AVMUOZ REYES ESQUINA CALLE 35 NSN,5,19,SUR
Feature,estacionesservicio.8,Point,-68.1199,-16.5151,Shape,AUTOMOVIL CLUB BOLIVIANO SAN JORGE,SAN JORGE AV 6 DE AGOSTO 2993,7,1,CENTRO
Feature,estacionesservicio.9,Point,-68.1006,-16.5294,Shape,CARBURANTES DEL SUR SOCIEDAD DE RESPONSABILIDAD LIMITADA,CALLE 17 DE OBRAJES ESQUINA AVENIDA 14 DE SEPTIEMBRE NÂº 40 - ZONA OBRAJES,5,21,SUR
Feature,estacionesservicio.10,Point,-68.071,-16.4292,Shape,ESTACION DE SERVICIO CHALY,LA PAZ AVENIDA RAMIRO CASTILLO N 20 ZONA URUJARA,3,13,PERIFERICA
Feature,estacionesservicio.11,Point,-68.079,-16.436,Shape,EESS MARANATHA,DIRECCION DE PRUEBA,3,13,PERIFERICA
Feature,estacionesservicio.12,Point,-68.095,-16.5627,Shape,SALIDA LTDA,LA PAZ AV ALTAMIRANO NRO3 UV SN MZNO SN ZONA MALLASILLA,6,20,MALLASA
Feature,estacionesservicio.13,Point,-68.0765,-16.545,Shape,ESUR GHS LTDA,LA PAZ 21 CALACOTO NO 8475 ZONA CALACOTO,5,19,SUR
Feature,estacionesservicio.14,Point,-68.1186,-16.4969,Shape,EMPRESA COMERCIALIZADORA SERVICIO A FULL SRL SERVIFULL SRL,LA PAZ PASOSKANKI PDO BRASIL N 1650 ZONA MIRAFLORES,7,2,CENTRO
Feature,estacionesservicio.15,Point,-68.1212,-16.5038,Shape,SIEMPRE A FULL MIRAFLORES SRL,PLAZA SAN MARTIN NO 1313 Z MIRAFLORES,7,2,CENTRO
Feature,estacionesservicio.16,Point,-68.1211,-16.4889,Shape,ESTACION DE SERVICIO KANTUTA,AVENIDA BUSCH ESQ CALLE HONDURAS N 885 ZONA MIRAFLORES,7,2,CENTRO
Feature,estacionesservicio.17,Point,-68.0704,-16.6009,Shape,SURTIDORES UNITOURS LTDA,LA PAZ AV PRINCIPAL NRO SN ZONA JUPAPINA,6,20,MALLASA
Feature,estacionesservicio.18,Point,-68.1058,-16.5004,Shape,SOCIEDAD INDUSTRIAL COMERCIALIZADORA Y EXPORTADORA GLPH LTDA,LA PAZ AV CIRCUNVALACION ESQUINA CALLE VARGAS N 51 ZONA PAMPAHASI,4,16,SAN ANTONIO
Feature,estacionesservicio.19,Point,-68.1118,-16.5268,Shape,ESTACION DE SERVICIO COSTANERA SRL,AVENIDA COSTANERITA CALLE N 5 N 333 ZONA OBRAJES,5,21,SUR
Feature,estacionesservicio.20,Point,-68.1401,-16.4913,Shape,ESTACION DE SERVICIOS VOLCAN SRL,AV MONTES ESQ PANDO NO 101 ZONA SAN SEBASTIAN,7,1,CENTRO
Feature,estacionesservicio.21,Point,-68.125,-16.514,Shape,EMPRESA COMERCIALIZADORA DE HIDROCARBUROS TUPAC KATARI S.R.L.,C/ SANCHEZ LIMA NÂº 100 Z/ SOPOCACHI,1,3,COTAHUMA
Feature,estacionesservicio.22,Point,-68.0358,-16.6534,Shape,TERRAGAS LASCARRERAS,MECAPACA KM 17 ZONA LAS CARRERAS,,,
Feature,estacionesservicio.23,Point,-68.1137,-16.4678,Shape,ESTACION DE SERVICIO JACHA INTI,LA PAZAVRAMIRO CASTILLO NO 40 ZONA VILLA EL CARMEN,3,13,PERIFERICA
Feature,estacionesservicio.24,Point,-68.0999,-16.4561,Shape,GASMAY SRL,LA PAZ AV LA PAZ CARRETERA A YUNGAS NRO 8 ZONA CHUQUIAGUILLO,3,13,PERIFERICA
Feature,estacionesservicio.25,Point,-68.1365,-16.5019,Shape,YUPANQUI QUISPE MARCOS,LA PAZGENERAL GONZALES NRO 1317 Z SAN PEDRO,1,6,COTAHUMA
Feature,estacionesservicio.26,Point,-68.1736,-16.5721,Shape,ESTACION DE SERVICIO LOS ROSALES,ACHOCALLA CARRETERA PRINCIPAL Nro 77 ZONA BOLIVAR,,,
Feature,estacionesservicio.27,Point,-68.115,-16.5219,Shape,EESS BASSAM,DIRECCION,5,21,SUR
Feature,estacionesservicio.28,Point,-68.1394,-16.491,Shape,YPFB URUGUAY,NORTE MONTES ESQ URUGUAY MONTES ESQ URUGUAY 539,3,11,PERIFERICA
Feature,estacionesservicio.29,Point,-68.1523,-16.4985,Shape,ENTRE RIOS YPFB,ENTRE RIOSTEJAR ENTRES RIOS MEJILLONES 1349,2,8,MAX PAREDES
Feature,estacionesservicio.30,Point,-68.1306,-16.4867,Shape,YPFB PERIFERICA,AV PERIFERICA ESQ CALLE LITORAL,3,12,PERIFERICA
Feature,estacionesservicio.31,Point,-68.1309,-16.4866,Shape,ESTACION DE SERVICIO GNV COSMOS 79,DIRECCION DE PRUEBA,3,12,PERIFERICA
Feature,estacionesservicio.32,Point,-68.134,-16.5043,Shape,YPFB SAN PEDRO LA PAZ,SAN PEDRO 20 DE OCTUBRE 20 DE OCTUBRE Y SANTOS MACHICADO 434,1,6,COTAHUMA
Feature,estacionesservicio.33,Point,-68.0751,-16.5394,Shape,CALACOTO YPFB,CALACOTO BALLIVIAN AV BALLIVIAN NRO 80 80,5,19,SUR
Feature,estacionesservicio.34,Point,-68.101,-16.5307,Shape,ESTACION DE SERVICIO SEGUENCOMA SRL,AV COSTANERA 100 BARRIO BAJO SEGUENCOMA,5,21,SUR
