type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Estacion,properties/Direccion,properties/Nombre
Feature,estacionesteleferico.12,Point,-68.20973029,-16.48993383,Shape,Estacion Azul,Av. Juan Pablo II y ruta a Laja,Estacion Rio Seco
Feature,estacionesteleferico.13,Point,-68.19328126,-16.48951447,Shape,Estacion Azul,Av. 16 de Julio entre Sucre A y B. Universidad Pública de El Alto,Estacion U.P.E.A.
Feature,estacionesteleferico.14,Point,-68.18320182,-16.49221364,Shape,Estacion Azul,Plaza La Paz,Estacion La Paz
Feature,estacionesteleferico.15,Point,-68.17357541,-16.49478766,Shape,Estacion Azul,Plaza Libertad,Estacion Plaza Libertad
Feature,estacionesteleferico.16,Point,-68.164385,-16.49764039,Shape,Estacion Azul,"16 de Julio, Av. Panoramica Norte,(lado de Bolivia TV)",Estacion 16 de Julio
Feature,estacionesteleferico.17,Point,-68.15282372,-16.49817296,Shape,Estacion Roja,"Cementerio, Av. Entre Rios y C. Mejillones, (detras del Cementerio General)",Estacion Cementerio
Feature,estacionesteleferico.18,Point,-68.14464691,-16.49129495,Shape,Estacion Roja,"Gran Estacion Central, Av. Manco Kapac entre Av. Republica y Av. Ismael Vasquez",Estacion Central
Feature,estacionesteleferico.19,Point,-68.15003547,-16.51841255,Shape,Estacion Amarilla,"Parque Mirador, Av. Panoramica Sur, colindante Barrio Tupac Amaru",Estacion Parque Mirador
Feature,estacionesteleferico.20,Point,-68.14410971,-16.5154199,Shape,Estacion Amarilla,"Buenos Aires, Av. Buenos Aires y C. Moxos",Estacion Buenos Aires
Feature,estacionesteleferico.21,Point,-68.13033864,-16.51473046,Shape,Estacion Amarilla,"Sopocachi, calle Miguel de Cervantes y calle Mendez Arcos",Estacion Sopocachi
Feature,estacionesteleferico.22,Point,-68.11611617,-16.51910946,Shape,Estacion Amarilla,"Ciudad Empresarial, Av. Libertador y Av. Los Leones (Curva de Holguin)",Estacion Libertador
Feature,estacionesteleferico.23,Point,-68.11602304,-16.51914494,Shape,Estacion Verde,"Ciudad Empresarial, Av. Libertador y Av. Los Leones (Curva de Holguin)",Estacion Libertador
Feature,estacionesteleferico.24,Point,-68.11042344,-16.52138686,Shape,Estacion Verde,"Alto Obrajes, Final Av. Costanera y Av. Del Maestro",Estacion Alto Obrajes
Feature,estacionesteleferico.25,Point,-68.10075286,-16.52682848,Shape,Estacion Verde,"Obrajes 17, Av. Max Portugal (altura Puente Esperanza)",Estacion Obrajes
Feature,estacionesteleferico.26,Point,-68.08725609,-16.53814359,Shape,Estacion Verde,"Irpavi, Av. Pabon Esq. Inofuentes",Estacion Irpavi
Feature,estacionesteleferico.27,Point,-68.12110186,-16.510765,Shape,Estacion Blanca,Avenida del Poeta,Estacion Jalsuri
Feature,estacionesteleferico.28,Point,-68.12087287,-16.50415565,Shape,Estacion Blanca,"Plaza Triangular, Avenida Busch",Estacion Kimsachaca
Feature,estacionesteleferico.29,Point,-68.12137713,-16.49373637,Shape,Estacion Blanca,"Cerca al Monumento Busch, Avenida Busch",Estacion Qhuirwa Uma
Feature,estacionesteleferico.30,Point,-68.12182351,-16.48451151,Shape,Estacion Blanca,Plaza Villarroel,Estacion Inalmama
Feature,estacionesteleferico.31,Point,-68.13681452,-16.49038738,Shape,Estacion Naranja,Plaza Villarroel,Estacion Inalmama
Feature,estacionesteleferico.32,Point,-68.13128913,-16.48650924,Shape,Estacion Naranja,"Cementerio de la Llamita, Avenida Periferica",Estacion Periferica
Feature,estacionesteleferico.33,Point,-68.1447094,-16.4921322,Shape,Estacion Naranja,"Avenida Armentia, cerca al mercado Calama",Estacion Armentia
Feature,estacionesteleferico.34,Point,-68.12185273,-16.48451809,Shape,Estacion Naranja,Ex Estacion de Ferrocarriles,Estacion Central
Feature,estacionesteleferico.35,Point,-68.16429691,-16.49764324,Shape,Estacion Roja,"El Alto, Avenida Panoramica Norte",Estacion 16 de julio
Feature,estacionesteleferico.36,Point,-68.132601,-16.50051003,Shape,Estacion Celeste,"A media cuadra de El Prado paceño, sobre la calle Bueno",Estacion Prado
Feature,estacionesteleferico.37,Point,-68.12607734,-16.50415636,Shape,Estacion Celeste,"En la rotonda Montevideo sobre la avenida Del Poeta, próxima al Teatro al Aire Libre",Estacion Cancha Zapata
Feature,estacionesteleferico.38,Point,-68.12021861,-16.51120567,Shape,Estacion Celeste,Avenida del poeta,Estación Jalsuri
Feature,estacionesteleferico.39,Point,-68.11607446,-16.51864277,Shape,Estacion Celeste,"Av. Libertador, a la altura de la Curva de Holguín (comienzo de la zona de Obrajes).",Estación Chuqui Apu
Feature,estacionesteleferico.40,Point,-68.16945524,-16.52261445,Shape,Estacion Morada,"Avenida 6 de marzo, al frente del Regimiento Ingavi",Estacion Jacha Thaki
Feature,estacionesteleferico.41,Point,-68.15365275,-16.51228621,Shape,Estacion Morada,"Faro Murillo, Avenida Cívica. Ciudad de El Alto",Estacion Tiquira
Feature,estacionesteleferico.42,Point,-68.13512749,-16.50001996,Shape,Estacion Morada,Calles Murillo y Almirante Grau,Estacion Utjawi
Feature,estacionesteleferico.43,Point,-68.16440773,-16.49841286,Shape,Estacion Plateada,"El Alto, Avenida Panoramica Norte",Estacion Jacha Qhatu
Feature,estacionesteleferico.44,Point,-68.15371738,-16.51227558,Shape,Estacion Plateada,"Faro Murillo, Avenida Cívica. Ciudad de El Alto",Estacion Tiquira
Feature,estacionesteleferico.45,Point,-68.15016996,-16.51829026,Shape,Estacion Plateada,"El Alto, Av. Panorámica. Zona Ciudad Satélite.",Estacion Qhana Pata
Feature,estacionesteleferico.46,Point,-68.12086217,-16.49382384,Shape,Estacion Cafe,"Cerca al Monumento a Busch, Avenida Busch, Zona Miraflores",Estacion Qhuirwa Uma
Feature,estacionesteleferico.47,Point,-68.11513393,-16.49773913,Shape,Estacion Cafe,"Avenida 31 de Octubre entre las calles 1 y 2, Zona Bajo San Antonio",Estacion Pallqa Thaki
