type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/ActividadEconomica,properties/MacroDistrito,properties/DistritoVarchar,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,farmacias_smde.1,Point,-68.1360016,-16.49480216,geom,Corporación Boliviana de Farmacias S.A.,C. Comercio # 866,CENTRAL,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 1,1,,gustavo.nao,2016-06-13T19:39:19.560Z,,
Feature,farmacias_smde.2,Point,-68.12449363,-16.51109692,geom,Farmacia Bolivia,Av. 6 de Agosto # 2628,SOPOCACHI BAJO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",COTAHUMA,DISTRITO 3,3,,nhuanquiri,2019-07-10T03:40:50.090Z,,
Feature,farmacias_smde.3,,,,geom,Farmacia Acuario,C. Sagarnaga # 432,ROSARIO,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 1,,,,,,
Feature,farmacias_smde.4,Point,-68.15112921,-16.49850011,geom,Farmacia R y F,Av. Entre Ríos # 1203,CALLAMPAYA MAX PAREDES,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 8,0,,gustavo.nao,2016-06-09T20:35:04.850Z,,
Feature,farmacias_smde.5,,,,geom,Farmacia Luz de Fé,C. Mururata # 1368,VILLA FATIMA,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",PERIFERICA,DISTRITO 13,,,,,,
Feature,farmacias_smde.6,Point,-68.13655836,-16.50587283,geom,Farmacia Jaciel,Pza. Israel # 600,SAN PEDRO,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",COTAHUMA,DISTRITO 6,0,,gustavo.nao,2016-06-09T20:36:03.313Z,,
Feature,farmacias_smde.7,,,,geom,Distribución de Medicamentos,Av. Del Policía # 611,SEGUENCOMA ALTO,,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",SUR,DISTRITO 21,,,,,,
Feature,farmacias_smde.8,Point,-68.11656429,-16.46934125,geom,Farmacia San Expedito Milagroso,C. Mururata # 1370,VILLA EL CARMEN,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",PERIFERICA,DISTRITO 13,0,,gustavo.nao,2016-06-09T20:36:28.780Z,,
Feature,farmacias_smde.9,Point,-68.12345678,-16.48449477,geom,Farmacia Tejada Sorzano,Av. Tejada Sorzano # 574,MIRAFLORES ALTO (PERIFERICA),Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",PERIFERICA,DISTRITO 12,0,,gustavo.nao,2016-06-09T20:36:40.420Z,,
Feature,farmacias_smde.10,Point,-68.14455682,-16.49695532,geom,Farmacia Santa Clara,Av. Buenos Aires # 712,14 DE SEPTIEMBRE,Comercio y Servicios,"COMERC.ESP.P/MENOR DE PRODUC.FARMAC,MEDIC;FARMACIA",MAX PAREDES,DISTRITO 7,0,,gustavo.nao,2016-06-09T20:36:56.530Z,,
Feature,farmacias_smde.11,Point,-68.12136048,-16.50648829,geom,Venta por menor de productos Farmacéuticos Requilab,C. Víctor Eduardo # 2250,MIRAFLORES,Comercio y Servicios,"VENT.P/MENOR PROD.FARMAC,MEDICI,COSMET, DE TOCADOR",CENTRO,DISTRITO 2,0,,gustavo.nao,2016-06-09T20:37:58.337Z,,
