type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Zona,properties/Direccion,properties/Telefono,properties/Celular,properties/Fax,properties/Email,properties/PaginaWeb,properties/CategoriaActual,properties/Simple,properties/Doble,properties/Triple,properties/Fuente,properties/IdTipo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,hospedajes.1,Point,-68.14217168,-16.49232523,geom,America,Norte,c. Pucarani Nº 6989,2454704,,,,,,,,,amarillas,1,1,,jeanine.blanco,2019-11-25T16:16:03.693Z,,
Feature,hospedajes.2,Point,-68.1374596,-16.49021736,geom,Armentia,Norte,Av. Armentia Nº 553 esq. Pasaje Willca Zárate,2286092,77788180,,alojamientoarmetia@hotmail.com,,,,,,amarillas,1,11,,gustavo.nao,2019-06-19T15:20:29.807Z,,
Feature,hospedajes.3,Point,-68.14201616,-16.49370876,geom,Central,San Sebastián,Av. Maco Kapac Nº1384,2455127,,,,,,Bs. 20,Bs. 40,Bs. 60,empresa,1,1,,gustavo.nao,2019-06-19T15:29:09.743Z,,
Feature,hospedajes.4,Point,-68.14156347,-16.49202691,geom,Diamante,San Sebastián,c. Inquisivi Nº 400,2457035,,,,,,,,,amarillas,1,1,,gustavo.nao,2019-06-19T15:29:40.863Z,,
Feature,hospedajes.5,Point,-68.13255325,-16.49285501,geom,El Carretero,Norte,c. Catacora Nº 1056 entre Yanacocha y Junín,2285271,,,,,,,,,amarillas,1,11,,gustavo.nao,2019-06-19T15:31:53.537Z,,
Feature,hospedajes.6,Point,-68.14191255,-16.49200155,geom,Girasol,Norte,c. Pucarani Nº273,2455265,,,alogirasol@hotmail.com,,,,,,amarillas,1,1,,gustavo.nao,2019-06-19T15:33:17.650Z,,
Feature,hospedajes.7,Point,-68.14242382,-16.49496717,geom,Gran California,Rosario,Av. Tumusla Nº 551,2451176,,,,,,,,,empresa,1,1,,gustavo.nao,2019-06-19T15:33:38.400Z,,
Feature,hospedajes.8,Point,-68.15241599,-16.49540161,geom,Heroes del Pacífico,Bajo Tejar,Av. Heroes del Pacífico Nº 1402,2381831,,,,,,Bs. 30,Bs. 60,Bs. 90,empresa,1,0,,jeanine.blanco,2019-11-25T16:42:22.517Z,,
Feature,hospedajes.9,Point,-68.12769803,-16.49920435,geom,Illimani,Miraflores,Av. Illimani Nº1817,,,,,,,,,,amarillas,1,1,,jeanine.blanco,2019-11-25T16:46:54.240Z,,
Feature,hospedajes.10,Point,-68.13913481,-16.49653213,geom,Jimenez,Rosario,c. Jiménez Nº 812,2451418,,,,,,Bs. 40,Bs. 80,Bs.120,empresa,1,1,,jeanine.blanco,2019-11-25T16:49:22.390Z,,
Feature,hospedajes.11,Point,-68.1448277,-16.49648463,geom,Kollita,Gran Poder,C.Max Paredes # 466,2457245,,,,,,,,,amarillas,1,7,,jeanine.blanco,2019-11-25T16:49:45.160Z,,
Feature,hospedajes.12,Point,-68.13985131,-16.48854688,geom,La Casa de la Abuela,Norte,Av. Armentia Nº 359,2280722,,,,,,Bs. 40,Bs. 80,Bs. 120,empresa,1,11,,jeanine.blanco,2019-11-25T16:49:53.317Z,,
