type,id,geometry/type,geometry/coordinates/0/0,geometry/coordinates/0/1,geometry/coordinates/1/0,geometry/coordinates/1/1,geometry/coordinates/2/0,geometry/coordinates/2/1,geometry/coordinates/3/0,geometry/coordinates/3/1,geometry/coordinates/4/0,geometry/coordinates/4/1,geometry_name,properties/Nombre,properties/Color
Feature,lineasteleferico.7,LineString,-68.164385,-16.49764039,-68.17357541,-16.49478766,-68.18320182,-16.49221364,-68.19328126,-16.48951447,-68.20973029,-16.48993383,Shape,Línea Azul,Azul
Feature,lineasteleferico.8,LineString,-68.16429691,-16.49764324,-68.15282372,-16.49817296,-68.14464691,-16.49129495,,,,,Shape,Línea Roja,Roja
Feature,lineasteleferico.9,LineString,-68.15003547,-16.51841255,-68.14410971,-16.5154199,-68.13033864,-16.51473046,-68.11611617,-16.51910946,,,Shape,Línea Amarilla,Amarilla
Feature,lineasteleferico.10,LineString,-68.11602304,-16.51914494,-68.11042344,-16.52138686,-68.10075286,-16.52682848,-68.08725609,-16.53814359,,,Shape,Línea Verde,Verde
Feature,lineasteleferico.11,LineString,-68.12182351,-16.48451151,-68.12087287,-16.50415565,-68.12110186,-16.510765,,,,,Shape,Línea Blanca,Blanca
Feature,lineasteleferico.12,LineString,-68.1447094,-16.4921322,-68.13681452,-16.49038738,-68.13128913,-16.48650924,-68.12185273,-16.48451809,,,Shape,Línea Naranja,Naranja
Feature,lineasteleferico.13,LineString,-68.12099216,-16.49371739,-68.11504774,-16.49772441,,,,,,,Shape,Línea Cafe,Cafe
Feature,lineasteleferico.14,LineString,-68.13512749,-16.50001996,-68.15365275,-16.51228621,-68.16945524,-16.52261445,,,,,Shape,Línea Morada,Morada
Feature,lineasteleferico.15,LineString,-68.132601,-16.50051003,-68.12607734,-16.50415636,-68.12021861,-16.51120567,-68.11607446,-16.51864277,,,Shape,Línea Celeste,Celeste
Feature,lineasteleferico.16,LineString,-68.16440773,-16.49841286,-68.15371738,-16.51227558,-68.15366364,-16.51235152,-68.15016996,-16.51829026,,,Shape,Línea Plateada,Plateada
