type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Macrodistrito,properties/CodMacro,properties/CodDistrito,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,mercados.1,Point,-68.10444874,-16.50155993,geom,10 de Enero,Av. Circunvalación C. 12,Pampahasi,SAN ANTONIO,4,16,16,,clara.revollo,2016-06-02T00:07:48.343Z,
Feature,mercados.2,Point,-68.09954908,-16.52834014,geom,14 de Septiembre,Av. Monje Gutierrez,Bella Vista,SUR,5,21,21,,gustavo.nao,2016-06-02T21:39:09.627Z,
Feature,mercados.3,Point,-68.11819753,-16.47661604,geom,15 de Abril,"Av. 15 de Abril, entre C. Chulumani y C. Virgen del Carmen",Villa Fátima,PERIFERICA,3,12,13,,nhuanquiri,2020-04-13T16:03:28.927Z,
Feature,mercados.4,Point,-68.10246333,-16.52987416,geom,16 de julio,Av. Héctor Ormachea Zalles Esq. C. Carlos Sánchez Lopera,Obrajes,SUR,5,21,21,,nhuanquiri,2020-04-13T16:20:17.530Z,
Feature,mercados.5,Point,-68.14954836,-16.45682829,geom,21 de Enero,C. 3,,MAX PAREDES,2,10,10,,gustavo.nao,2017-10-03T21:48:34.760Z,
Feature,mercados.6,Point,-68.07248351,-16.54123821,geom,24 de Septiembre (Los Pinos),C. 25 - Arturo Fortunato,Los Pinos,SUR,5,19,18,,nhuanquiri,2020-04-13T16:45:11.900Z,
Feature,mercados.7,Point,-68.1458166,-16.52219796,geom,4 de Abril,"Av. Marcelo Quiroga Santa Cruz, entre C. 14 de Junio y C. Héroes del Chaco",,COTAHUMA,1,4,4,,gustavo.nao,2017-10-03T21:50:49.510Z,
Feature,mercados.8,Point,-68.11353236,-16.51694587,geom,8 de Septiembre,Av. Costanera,,SAN ANTONIO,5,21,17,,gustavo.nao,2017-10-03T21:52:26.047Z,
Feature,mercados.9,Point,-68.07352528,-16.53087994,geom,Modelo Achumani,Av. Manuel Víctor García Lanza Esq. C. 16,,SUR,5,18,18,,gustavo.nao,2016-06-07T18:59:25.250Z,
Feature,mercados.10,Point,-68.16052123,-16.4931185,geom,Alto Mariscal Santa Cruz,Av. Entre Ríos,,MAX PAREDES,2,8,8,,gustavo.nao,2016-06-13T23:17:58.033Z,
Feature,mercados.11,Point,-68.10422181,-16.53399873,geom,Alto Seguencoma,"Av. del Policía, entre C. 3-B y C. 3-C",,SUR,5,21,21,,gustavo.nao,2016-07-13T13:48:48.913Z,
Feature,mercados.12,Point,-68.13900776,-16.50067496,geom,Amapola,C. Zoilo Flores y Pedro Rodríguez,,COTAHUMA,1,6,6,,gustavo.nao,2016-06-06T23:38:59.383Z,
Feature,mercados.13,Point,-68.14036886,-16.48797229,geom,Antofagasta,Av. Chacaltaya Esq. C. Beni,,PERIFERICA,3,11,11,,gustavo.nao,2017-10-03T21:56:14.843Z,
Feature,mercados.14,Point,-68.11809032,-16.4710545,geom,Arapata (La Merced),C. Villa Aspiazu Esq. C. Pariguaya,,PERIFERICA,3,13,13,,gustavo.nao,2016-06-06T23:42:15.400Z,
Feature,mercados.15,Point,-68.15834684,-16.49263727,geom,Bajo Mariscal Santa Cruz,Av. Alcides Arguedas Esq. C. Yacuma,,MAX PAREDES,2,8,8,,gustavo.nao,2016-07-13T13:53:34.630Z,
Feature,mercados.16,Point,-68.13946385,-16.50079488,geom,Belén,C. Rodríguez y Zoilo Flores Pedro,,COTAHUMA,1,6,6,,gustavo.nao,2016-06-06T23:43:43.830Z,
