type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/CodMacro,properties/CodDistrito,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,miradores.1,Point,-68.12744382,-16.49525623,geom,K'illi K'illi,"Av. La Bandera, Av. Heroinas 16 de Julio",VILLA PABÓN,Mirador,0,0,11,,clara.revollo,2016-06-13T19:39:29.867Z,
Feature,miradores.2,Point,-68.13006211,-16.50036342,geom,Juan de la Riva,Av. Juan de la Riva,SANTA BARBARA,Mirador,0,0,1,,carlos.medrano,2016-06-16T20:20:32.023Z,
Feature,miradores.3,Point,-68.16182446,-16.48388167,geom,Jachïa Apacheta,C. Florida,Jachïa Apacheta,Mirador,2,9,9,,clara.revollo,2016-06-20T23:20:58.870Z,
Feature,miradores.4,Point,-68.15383718,-16.51089636,geom,Faro Murillo,Av. Panorámica (Final 9 de Abril),Faro Murillo,Mirador,0,0,5,,clara.revollo,2016-07-26T13:37:16.573Z,
Feature,miradores.5,Point,-68.14951634,-16.50961317,geom,Jacha Kollo,C. 3 de Mayo (Calvario),Jacho Kollo,Mirador,0,0,5,,carlos.medrano,2016-06-13T20:51:27.940Z,
Feature,miradores.6,Point,-68.12602147,-16.51490213,geom,Presbítero Medina,C. Presbítero Medina (Prolongación),Presbítero Medina,Mirador,0,0,3,,clara.revollo,2016-07-26T13:37:47.663Z,
Feature,miradores.7,Point,-68.13308074,-16.48186071,geom,27 de Mayo,Av. El Mirador,Alto 27 de Mayo,Mirador - Apacheta,0,0,12,,gmatta,2016-06-02T21:47:53.367Z,
Feature,miradores.8,Point,-68.10528209,-16.53352711,geom,Corazón de Jesús,C. 2 - A,Corazón de Jesús,Mirador,0,0,21,,clara.revollo,2016-06-03T22:10:20.960Z,
Feature,miradores.9,Point,-68.07251158,-16.52495983,geom,Santuario de Schoenst*,C. Julio Mendez,Santuario de Schoenst,Mirador,0,0,18,,clara.revollo,2016-06-03T22:10:27.740Z,
Feature,miradores.10,Point,-68.12426258,-16.46725455,geom,Av. del Libertador,Av. del Libertador,Marcelo Quiroga Santa Cruz,Mirador,0,0,13,,clara.revollo,2016-06-03T22:29:20.880Z,
Feature,miradores.11,Point,-68.09838938,-16.5384749,geom,Scout,Av. de Circunvalación,Scout,Mirador,0,0,21,,clara.revollo,2016-06-03T22:10:36.140Z,
