type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/IdTipo,properties/Macrodistrito,properties/CodDistrito,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,modulospoliciales.1,Point,-68.12683273,-16.51018481,geom,Plaza Avaroa,"Av. 20 de Octubre, Esq. C. Belisario Salinas (Plaza Eduardo Abaroa)",Sopocachi,MODULO POLICIAL,2,COTAHUMA,3,3,,carlos.medrano,2016-06-11T21:28:01.107Z,,
Feature,modulospoliciales.2,Point,-68.12781494,-16.5129278,geom,Montículo,"C. Andres Muñoz, Esq. C. Leonardo Soliz (Mirador Montículo)",Sopocachi,MODULO POLICIAL,2,COTAHUMA,3,3,,carlos.medrano,2016-06-11T21:28:37.577Z,,
Feature,modulospoliciales.3,Point,-68.14471682,-16.51530157,geom,Las Nieves,C. Moxos,Tembladerani,MODULO POLICIAL,2,COTAHUMA,4,4,,carlos.medrano,2016-06-11T21:28:58.440Z,,
Feature,modulospoliciales.4,Point,-68.14895702,-16.50992639,geom,Niño Kollo,"Av. Pablo Zárate Wilka, Esq. C. 12 de Abril",Alto Villa Nueva Potosi,MODULO POLICIAL,2,COTAHUMA,5,5,,carlos.medrano,2016-06-11T21:29:50.253Z,,
Feature,modulospoliciales.5,Point,-68.14704128,-16.50650362,geom,Villa Nuevo Potosi,"C. 4 de Mayo, Esq. C. Guaman Poma de Ayala",Villa Nueva Potosi,MODULO POLICIAL,2,COTAHUMA,5,5,,carlos.medrano,2016-06-11T21:30:37.340Z,,
Feature,modulospoliciales.6,Point,-68.14215766,-16.50324677,geom,Plaza Alarcón,"C. Rigoberto Paredes, C. Luis Lara (Plaza Abel Alarcon)",Alto San Pedro,MODULO POLICIAL,2,COTAHUMA,6,6,,carlos.medrano,2016-06-11T21:31:31.760Z,,
Feature,modulospoliciales.7,Point,-68.14080299,-16.53424691,geom,Inka Llojeta,"Av. Jarañapampa, Av. Buenos Aires",Inca LLojeta,MODULO POLICIAL,2,COTAHUMA,4,4,,carlos.medrano,2016-06-11T21:31:52.237Z,,
Feature,modulospoliciales.8,Point,-68.14361821,-16.52273109,geom,Pasankeri Kilómetro 7,"C. Kilometro 7, Esq. Av. Marcelo Quiroga Santa Cruz",Pasankeri,MODULO POLICIAL,2,COTAHUMA,4,4,,carlos.medrano,2016-06-11T21:32:21.483Z,,
Feature,modulospoliciales.9,Point,-68.13796291,-16.49842717,geom,Juan XXIII,"Psje. Juan XXIII, C. Jose Maria Linares y C. Viluyo (Plaza Gaston Velasco)",San Pedro,MODULO POLICIAL,2,COTAHUMA,6,6,,carlos.medrano,2016-06-11T21:32:37.797Z,,
Feature,modulospoliciales.12,Point,-68.13632716,-16.5116584,geom,San Luis,"C. Justo Avila, Esq. C, Carandaiti, Complejo Deportivo San Luis",Sopocachi,MODULO POLICIAL,2,COTAHUMA,3,3,,carlos.medrano,2016-06-11T21:42:21.610Z,,
