type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,museos.1,Point,-68.07073168,-16.53886511,geom,Nacional de Historia Natural,C. 26-Ovidio Suárez Morales Esq.  C. Andrés Bello,Cota Cota,19,,gustavo.nao,2016-06-15T15:48:45.400Z,
Feature,museos.2,Point,-68.08582337,-16.5376198,geom,Histórico Militar,Av. Clemente Inofuentes,Irpavi,18,,gustavo.nao,2016-07-01T15:48:32.010Z,
Feature,museos.3,Point,-68.12188341,-16.48376896,geom,Revolución Nacional,Pza. Gualberto Villarroel,Miraflores,0,,gustavo.nao,2016-06-15T15:46:06Z,
Feature,museos.4,Point,-68.125917,-16.50129663,geom,Interactivo Pipiripi,Av. Del Ejército,Santa Barbara,0,,gustavo.nao,2016-06-15T15:54:45.977Z,
Feature,museos.5,Point,-68.12006799,-16.49333201,geom,Textiles Andinos Bolivianos,Pza. Benito Juarez # 488,Miraflores,0,,gustavo.nao,2016-06-15T16:06:53.077Z,
Feature,museos.6,Point,-68.13123281,-16.51195756,geom,Cecilio Guzmán de Rojas,C. Abdón Saavedra # 2221,Cristo Rey,0,,gustavo.nao,2016-06-15T16:08:41.083Z,
Feature,museos.7,Point,-68.13087512,-16.50709257,geom,Marina Núñez del Prado,Av. Ecuador,Cristo Rey,3,,gustavo.nao,2016-06-15T20:12:42.330Z,
Feature,museos.8,Point,-68.1304057,-16.50240807,geom,Arqueología Tiahuanacu,C. Tiahuanacu Esq. Federico Zuazo,Casco Viejo,0,,gustavo.nao,2016-06-16T13:09:26.683Z,
Feature,museos.9,Point,-68.13222355,-16.50282323,geom,Arte Contemporáneo Plaza,Av. 16 de Julio,San Pedro,0,,gustavo.nao,2016-06-15T20:19:01.277Z,
Feature,museos.10,Point,-68.13509645,-16.4993747,geom,Postal Filatélico Dr. José Joaquín Lemoine,Av. Mariscal Santa Cruz # 1240  Edf. Palacio de Telecomunicaciones,Belén,0,,gustavo.nao,2016-06-15T20:24:46.170Z,
Feature,museos.11,Point,-68.13274055,-16.49708749,geom,Policial,C. Colón # 425,Casco Viejo,1,,nhuanquiri,2019-07-09T22:39:15.277Z,
Feature,museos.12,Point,-68.13436907,-16.49592729,geom,Nacional de Arte,C. Comercio Esq. C. Socabaya,Casco Viejo,1,,nhuanquiri,2019-07-09T22:39:27.030Z,
Feature,museos.13,Point,-68.13498277,-16.4945108,geom,Nacional de Etnografía y Folklore,C. Ingavi # 916 Esq. C. Genaro Sanjinés,Casco Viejo,0,,gustavo.nao,2016-06-16T13:03:39.027Z,
Feature,museos.14,Point,-68.13836987,-16.49772664,geom,De la Coca,C. José María Linares # 906,Belén,0,,gustavo.nao,2016-06-15T20:32:43.213Z,
Feature,museos.15,Point,-68.13796665,-16.49363846,geom,Tambo Quirquincho,Pza. Alonso de Mendoza Esq. C. Evaristo Valle,San Sebastián,0,,gustavo.nao,2016-06-16T13:04:12.573Z,
Feature,museos.16,Point,-68.13609388,-16.49260345,geom,Del Charango e Instrumentos Nativos,C. Jaén # 711,Casco Viejo,0,,gustavo.nao,2016-06-15T20:43:15.233Z,
Feature,museos.17,Point,-68.13589804,-16.4921889,geom,Metales Preciosos Precolombinos,C. Jaén,Casco Viejo,0,,gustavo.nao,2016-06-15T20:43:09.130Z,
Feature,museos.18,Point,-68.13564857,-16.49218567,geom,Casa de Murillo,C. Jaén # 790,Casco Viejo,0,,gustavo.nao,2016-06-15T20:43:04.223Z,
Feature,museos.19,Point,-68.13579771,-16.4920776,geom,Litoral Boliviano,C. Jaén,Casco Viejo,0,,gustavo.nao,2016-06-15T20:42:59.150Z,
Feature,museos.20,Point,-68.13572555,-16.49171838,geom,Costumbrista Juan de Vargas,Pza. Riosiñho Esq. C. Jaén,Casco Viejo,0,,gustavo.nao,2016-06-15T20:42:50.920Z,
Feature,museos.21,Point,-68.13328259,-16.49520314,geom,Academia Boliviana de Historia Militar,"Pza. Murillo, Lado Cine Plaza",Casco Viejo,0,,gustavo.nao,2016-06-15T20:46:58.163Z,
Feature,museos.22,Point,-68.1373756,-16.49610604,geom,San Francisco,Pza. San Francisco # 501,El Rosario,0,,gustavo.nao,2016-06-15T20:48:10.190Z,
Feature,museos.23,Point,-68.13690215,-16.48942981,geom,Militar Colorados de Bolivia,C. Calama - Cuartel de Colorados de Bolivia,Zona Norte,0,,gustavo.nao,2016-06-15T20:52:00.410Z,
Feature,museos.24,Point,-68.13422016,-16.4966151,geom,Arte Sacro,C. Socabaya Esq. C.  Potosí,Casco Viejo,0,,gustavo.nao,2016-06-15T21:14:29.203Z,
Feature,museos.25,Point,-68.12532632,-16.50273322,geom,Marcelo Quiroga Santa Cruz,Av. Del Ejército,,2,gustavo.nao,gustavo.nao,2016-06-15T15:59:13.840Z,
Feature,museos.26,Point,-68.12404362,-16.50196857,geom,David Crespo Gastelú,C. Manuel José Loza # 1911,,2,gustavo.nao,gustavo.nao,2016-06-16T13:06:52.990Z,
Feature,museos.27,Point,-68.12895139,-16.51016456,geom,Muñecas Elsa Paredes de Salazar,C. Rosendo Gutierrez # 550,,0,gustavo.nao,gustavo.nao,2016-06-15T21:01:26.377Z,
Feature,museos.28,Point,-68.12918057,-16.51259143,geom,Walter Solón Romero,Av. Ecuador,,0,gustavo.nao,gustavo.nao,2016-06-15T21:04:12.830Z,
Feature,museos.29,Point,-68.12935685,-16.50386981,geom,Planetario Max Schreier Física UMSA,C. Federico Suazo,,0,gustavo.nao,gustavo.nao,2016-06-15T21:06:45.130Z,
Feature,museos.30,Point,-68.13145578,-16.49850407,geom,Naval y Héroes de la Guerra del Chaco,C. Obispo Cárdenas Esq. C. Bueno,,0,gustavo.nao,gustavo.nao,2016-07-01T15:52:33.377Z,
Feature,museos.31,Point,-68.11957672,-16.50724274,geom,Historia de la Medicina,Av. Bautista Saavedra,,2,gustavo.nao,gustavo.nao,2016-07-01T15:44:13.330Z,
