type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Direccion,properties/Ruta
Feature,paradaspumakatari.1,Point,-68.03708495,-16.53362318,Shape,Calle 63 Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.2,Point,-68.03759898,-16.53389672,Shape,Calle 63 Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.3,Point,-68.04168832,-16.5345037,Shape,Calle 60 Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.4,Point,-68.04104984,-16.53457161,Shape,Calle 60 Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.5,Point,-68.04577672,-16.53639285,Shape,Calle 53 Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.6,Point,-68.04577732,-16.53673173,Shape,Calle 53 Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.7,Point,-68.05036022,-16.53836425,Shape,Calle 46 Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.8,Point,-68.05062679,-16.53859673,Shape,Calle 46 Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.9,Point,-68.05391345,-16.54009667,Shape,Calle 37 Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.10,Point,-68.05397472,-16.54018359,Shape,Calle 37 Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.11,Point,-68.05759146,-16.54103769,Shape,Calle 35 Del Escultor Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.12,Point,-68.056798,-16.54242542,Shape,Calle 35 Del Escultor Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.13,Point,-68.06210721,-16.54181234,Shape,Laguna Cota Cota Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.14,Point,-68.06240063,-16.54195846,Shape,Laguna Cota Cota Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.15,Point,-68.06582822,-16.54256948,Shape,Calle 28 Cota Cota Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.16,Point,-68.06596599,-16.54224004,Shape,Calle 28 Cota Cota Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.17,Point,-68.06439559,-16.54537635,Shape,Calle 28 Los Pinos Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.18,Point,-68.06378418,-16.54527427,Shape,Calle 28 Los Pinos Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.19,Point,-68.07067848,-16.54536272,Shape,Calle 25 Los Pinos Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.20,Point,-68.07100538,-16.54548024,Shape,Calle 25 Los Pinos Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.21,Point,-68.07620096,-16.54489983,Shape,Final Calle 21 Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.22,Point,-68.07655978,-16.54547203,Shape,Final Calle 21 Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.23,Point,-68.08269095,-16.54455451,Shape,Final Calle 15 Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.24,Point,-68.08284595,-16.54460016,Shape,Final Calle 15 Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.25,Point,-68.09061137,-16.54502378,Shape,Los Sauces Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.26,Point,-68.0907662,-16.54585288,Shape,Los Alamos Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.27,Point,-68.10013422,-16.53106672,Shape,ADESU Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.28,Point,-68.10323597,-16.5294258,Shape,Mdo. 16 de julio Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.29,Point,-68.10267122,-16.52975581,Shape,Mdo. 16 de julio Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.30,Point,-68.10594756,-16.5281107,Shape,Plza. de la Loba Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.31,Point,-68.10637589,-16.52801425,Shape,Plza. de la Loba Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.32,Point,-68.11101148,-16.52452547,Shape,Calle 4 Obrajes Ida,CHASQUIPAMPA - PUC
Feature,paradaspumakatari.33,Point,-68.110001,-16.52528158,Shape,Calle 6 Obrajes Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.34,Point,-68.0957336,-16.53787187,Shape,Campo Ferial Vuelta,PUC - CHASQUIPAMPA
Feature,paradaspumakatari.65,Point,-68.09365,-16.48517912,Shape,Cosmos 85 Ida,VILLA SALOME - PUC
Feature,paradaspumakatari.66,Point,-68.09435523,-16.48614447,Shape,Cosmos 85 Vuelta,PUC - VILLA SALOME
Feature,paradaspumakatari.67,Point,-68.09796359,-16.48868008,Shape,Los Graficos Ida,VILLA SALOME - PUC
Feature,paradaspumakatari.68,Point,-68.09775017,-16.48882446,Shape,Los Graficos Vuelta,PUC - VILLA SALOME
Feature,paradaspumakatari.69,Point,-68.10020015,-16.49042708,Shape,Antenas ENTEL Ida,VILLA SALOME - PUC
Feature,paradaspumakatari.70,Point,-68.09999333,-16.49057985,Shape,Antenas ENTEL Vuelta,PUC - VILLA SALOME
Feature,paradaspumakatari.71,Point,-68.10077071,-16.49468693,Shape,Pza. Ergueta Ida,VILLA SALOME - PUC
Feature,paradaspumakatari.72,Point,-68.10064854,-16.49476775,Shape,Pza. Ergueta Vuelta,PUC - VILLA SALOME
Feature,paradaspumakatari.73,Point,-68.10194879,-16.49620694,Shape,SAMAPA Ida,VILLA SALOME - PUC
Feature,paradaspumakatari.74,Point,-68.10190498,-16.49590037,Shape,SAMAPA Vuelta,PUC - VILLA SALOME
Feature,paradaspumakatari.75,Point,-68.10119217,-16.49902294,Shape,Circunvalacion Ida,VILLA SALOME - PUC
