type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Zona,properties/IdTipo,properties/Tipo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,plazasparques.1,Point,-68.13520853,-16.50244111,geom,Mcal. Sucre (San Pedro),San Pedro,1,Plaza,6,,clara.revollo,2016-06-10T14:13:44.463Z,
Feature,plazasparques.2,Point,-68.12349886,-16.51410509,geom,Primavera,Kantutani,2,Parque,3,,carlos.medrano,2016-06-13T21:01:26.043Z,
Feature,plazasparques.3,Point,-68.14211537,-16.50335739,geom,Abel Alarcon,San Pedro Alto,2,Parque,6,,clara.revollo,2016-06-09T16:07:15.033Z,
Feature,plazasparques.4,Point,-68.1355492,-16.5090058,geom,Condor,Bello Horizonte,1,Plaza,6,,clara.revollo,2016-06-09T16:07:21.150Z,
Feature,plazasparques.5,Point,-68.13660541,-16.50563064,geom,Israel,San Pedro,1,Plaza,6,,clara.revollo,2016-06-10T14:14:14.053Z,
Feature,plazasparques.6,Point,-68.13107689,-16.51428438,geom,Rotary,Sopocachi,2,Parque,3,,carlos.medrano,2016-06-13T20:58:51.840Z,
Feature,plazasparques.7,Point,-68.13491132,-16.50522591,geom,Gilberto Rojas,San Pedro,1,Plaza,6,,carlos.medrano,2016-06-13T20:26:23.343Z,
Feature,plazasparques.8,Point,-68.14101193,-16.51694128,geom,Obispo Bosque,Obispo Bosque,2,Parque,4,,carlos.medrano,2016-06-13T20:59:09.377Z,
Feature,plazasparques.9,Point,-68.13569124,-16.50682906,geom,José Marti,San Pedro,1,Plaza,6,,carlos.medrano,2016-06-13T20:26:03.063Z,
Feature,plazasparques.10,Point,-68.1258309,-16.5284457,geom,Cotapampa,Bajo Llojeta,2,Parque,4,,carlos.medrano,2016-06-13T20:59:34.153Z,
Feature,plazasparques.11,Point,-68.12614364,-16.51861622,geom,Inmaculada Concepción,Sopocachi Bajo,2,Parque,3,,carlos.medrano,2016-06-13T21:00:03.560Z,
Feature,plazasparques.12,Point,-68.12687541,-16.5107877,geom,Eduardo Abaroa,Sopocachi,1,Plaza,3,,carlos.medrano,2016-06-13T20:26:32.997Z,
Feature,plazasparques.13,Point,-68.14037537,-16.51396798,geom,Lourdes,Tembladerani,2,Parque,4,,carlos.medrano,2016-06-13T21:00:10.317Z,
Feature,plazasparques.14,Point,-68.12862061,-16.5144287,geom,España,Sopocachi,1,Plaza,3,,carlos.medrano,2016-06-13T20:26:41.787Z,
Feature,plazasparques.15,Point,-68.15132971,-16.50857701,geom,Final Alcoreza,Alto V. N. Potosí,2,Parque,5,,carlos.medrano,2016-06-13T21:00:27.733Z,
Feature,plazasparques.16,Point,-68.12828152,-16.51691304,geom,Andrés Bello,Sopocachi,1,Plaza,3,,carlos.medrano,2016-06-13T20:26:51.747Z,
Feature,plazasparques.17,Point,-68.13225194,-16.51992973,geom,De Las Cebras,Adela Zamudio,2,Parque,3,,carlos.medrano,2016-06-13T21:00:34.183Z,
Feature,plazasparques.18,Point,-68.12940953,-16.51793695,geom,Adela Zamudio,Adela Zamudio,1,Plaza,3,,carlos.medrano,2016-06-13T20:27:12.723Z,
Feature,plazasparques.19,Point,-68.16194137,-16.49243714,geom,5 de Agosto,Mariscal Santa Cruz,2,Parque,8,,clara.revollo,2016-06-13T20:08:36.393Z,
Feature,plazasparques.20,Point,-68.13175507,-16.51534596,geom,Andreu,Adela Zamudio,1,Plaza,3,,carlos.medrano,2016-06-13T20:25:33.013Z,
Feature,plazasparques.21,Point,-68.16581092,-16.49021089,geom,La Portada,La Portada,2,Parque,9,,gustavo.nao,2016-06-11T20:01:53.480Z,
Feature,plazasparques.22,Point,-68.1339809,-16.51292456,geom,Invalidos del Chaco,San Luis,1,Plaza,3,,carlos.medrano,2016-06-13T20:27:37.653Z,
Feature,plazasparques.23,Point,-68.15514068,-16.49000536,geom,Niño Heroe,Villa Victoria,2,Parque,8,,clara.revollo,2016-06-13T20:10:14.890Z,
Feature,plazasparques.24,Point,-68.13420392,-16.51352059,geom,Lira,Cristo Rey,1,Plaza,3,,clara.revollo,2016-06-09T19:40:34.243Z,
Feature,plazasparques.25,Point,-68.16578344,-16.48697743,geom,Naciones Unidas,La Portada,2,Parque,9,,clara.revollo,2016-06-13T20:10:19.877Z,
Feature,plazasparques.26,Point,-68.13418308,-16.5149225,geom,Juana Azurduy de Padilla,Cristo Rey,1,Plaza,3,,carlos.medrano,2016-06-13T20:27:54.927Z,
Feature,plazasparques.27,Point,-68.14970662,-16.49217986,geom,Los Tigres,Villa Victoria,2,Parque,8,,clara.revollo,2016-06-13T20:10:42.500Z,
Feature,plazasparques.28,Point,-68.13581431,-16.51076159,geom,De Las Américas San Luis,San Luis,1,Plaza,3,,carlos.medrano,2016-06-13T20:28:12.663Z,
Feature,plazasparques.29,Point,-68.14884059,-16.49339876,geom,Apumalla,Callampaya,2,Parque,8,,clara.revollo,2016-06-13T20:10:58.200Z,
Feature,plazasparques.30,Point,-68.12610908,-16.51487462,geom,OPS,Kantutani,1,Plaza,3,,carlos.medrano,2016-06-13T20:28:24.897Z,
