type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/ActividadEconomica,properties/MacroDistrito,properties/DistritoVarchar,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,supermercados.1,Point,-68.13632146,-16.4946219,geom,CECOM S.R.L.,C. Comercio # 830,CENTRAL,Comercio y Servicios,VENT.P/MAYOR DE VARIE.DE PROD.S/ESPECIAL.SUPERMER,CENTRO,DISTRITO 1,1,,nhuanquiri,2016-06-16T19:37:54.863Z,,
Feature,supermercados.2,Point,-68.08663115,-16.53356845,geom,Ketal S.A.,Av. Rafael Pabón,Irpavi,Comercio y Servicios,VENT.P/MAYOR DE VARIE.DE PROD.S/ESPECIAL.SUPERMER,SUR,DISTRITO 18,18,,gustavo.nao,2016-06-06T21:14:16.410Z,,
Feature,supermercados.3,Point,-68.07013005,-16.54577693,geom,Hipermaxi S.A.,Av. José María Aguirre Achá # 85,LOS PINOS,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),SUR,DISTRITO 19,19,,gustavo.nao,2016-06-13T23:16:37.907Z,,
Feature,supermercados.4,Point,-68.07822085,-16.54279094,geom,Andy´s,Av. Montenegro # 874,San Miguel,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),SUR,DISTRITO 19,19,,clara.revollo,2016-07-25T23:13:11.527Z,,
Feature,supermercados.5,Point,-68.07198423,-16.53450726,geom,Ketal S.A.,Av. Alexander # 108,Achumani,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),SUR,DISTRITO 18,18,,gustavo.nao,2017-10-04T18:51:10.720Z,,
Feature,supermercados.6,Point,-68.12788989,-16.50948379,geom,Hipermaxi S.A.,C. Rosendo Gutierrez # 469,Sopocachi,Comercio y Servicios,VENT.P/MAYOR DE VARIE.DE PROD.S/ESPECIAL.SUPERMER,COTAHUMA,DISTRITO 3,1,,gustavo.nao,2016-06-06T19:26:02.733Z,,
Feature,supermercados.7,Point,-68.12340978,-16.51045528,geom,Ketal S.A.,Av. Arce # 2588 Esq. C. Pinilla,Sopocachi,Comercio y Servicios,VENT.P/MAYOR DE VARIE.DE PROD.S/ESPECIAL.SUPERMER,CENTRO,DISTRITO 1,1,,gustavo.nao,2016-06-06T19:27:24.137Z,,
Feature,supermercados.8,Point,-68.12114385,-16.50254307,geom,Ketal S.A.,Av. Busch # 1994,Miraflores,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),CENTRO,DISTRITO 2,2,,gustavo.nao,2016-06-06T19:32:54.217Z,,
Feature,supermercados.9,Point,-68.129005,-16.51454482,geom,Ketal S.A.,Pza. España Esq. C. Méndez Arcos # 710,Sopocachi,Comercio y Servicios,VENT.P/MAYOR DE VARIE.DE PROD.S/ESPECIAL.SUPERMER,COTAHUMA,DISTRITO 3,3,,gustavo.nao,2016-06-06T19:34:47.277Z,,
Feature,supermercados.10,Point,-68.06210725,-16.51888244,geom,Hipermaxi S.A.,Av. Strongest # 100,ACHUMANI,Comercio y Servicios,VENTA POR MAYOR Y MENOR DE PRODUCTOS  (SUPERMERCADOS),SUR,DISTRITO 18,18,,nhuanquiri,2016-06-16T19:40:18.667Z,,
