type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/objectid,properties/featureid,properties/TextString,properties/nombalfa,properties/alias,properties/zona,properties/tipovia,properties/om,properties/descripcion
Feature,ubicacionvias2.914,Point,-68.04390808,-16.53062781,geom,3328,4021,C. 2,2,2,Wilacota,c., ,c. 2 (Wilacota)
Feature,ubicacionvias2.1,Point,-68.14310295,-16.44479396,geom,8338,3,Av. L,L,L,Limanipata,av., ,av. L (Limanipata)
Feature,ubicacionvias2.2,Point,-68.16123336,-16.46414815,geom,3472,23,Muñecas,Muñecas,Muñecas,Alto Pura Pura,c.,548/2009,c. Muñecas (Alto Pura Pura)
Feature,ubicacionvias2.3,Point,-68.15633896,-16.46681129,geom,2127,30,C. 18,18,18,Alto Pura Pura,c., ,c. 18 (Alto Pura Pura)
Feature,ubicacionvias2.4,Point,-68.15484834,-16.46947506,geom,3359,32,C. A,A,A,Pura Pura,c., ,c. A (Pura Pura)
Feature,ubicacionvias2.5,Point,-68.15089616,-16.47016161,geom,7887,33,"Montero, Lizardo","Montero, Lizardo",Lizardo Montero,Achachicala,c.,458/2013,c. Lizardo Montero (Achachicala)
Feature,ubicacionvias2.6,Point,-68.1503577,-16.46949673,geom,3529,34,5 de Agosto,5 de Agosto,5 de Agosto,Achachicala,c.,458/2013,c. 5 de Agosto (Achachicala)
Feature,ubicacionvias2.7,Point,-68.14697833,-16.46314839,geom,8581,37,"Gavilán, Ramos","Gavilán, Ramos",Ramos Gavilán,Achachicala,c., ,c. Ramos Gavilán (Achachicala)
Feature,ubicacionvias2.8,Point,-68.14882385,-16.46210981,geom,1852,39,"Peña, Rafael","Peña, Rafael",Rafael Peña,Achachicala,c., ,c. Rafael Peña (Achachicala)
Feature,ubicacionvias2.9,Point,-68.14691821,-16.47461071,geom,586,41,Cj. A,A,A,Alto Vino Tinto,cj., ,cj. A (Alto Vino Tinto)
Feature,ubicacionvias2.10,Point,-68.16640939,-16.47312047,geom,3062,51,C. 15,15,15,Unión Alianza,c., ,c. 15 (Unión Alianza)
Feature,ubicacionvias2.11,Point,-68.14841532,-16.47275059,geom,1517,64,"Apaza, Gregorio","Apaza, Gregorio",Gregorio Apaza,Achachicala,c.,458/2013,c. Gregorio Apaza (Achachicala)
Feature,ubicacionvias2.12,Point,-68.14968779,-16.46986826,geom,12839,64,"Apaza, Gregorio","Apaza, Gregorio",Gregorio Apaza,Achachicala,c.,458/2013,c. Gregorio Apaza (Achachicala)
Feature,ubicacionvias2.13,Point,-68.16147457,-16.46197,geom,1407,68,Camacho,Camacho,Camacho,Alto Pura Pura,c.,548/2009,c. Camacho (Alto Pura Pura)
Feature,ubicacionvias2.14,Point,-68.16167116,-16.4623251,geom,3371,69,Omasuyos,Omasuyos,Omasuyos,Alto Pura Pura,c.,548/2009,c. Omasuyos (Alto Pura Pura)
Feature,ubicacionvias2.15,Point,-68.16186522,-16.46270805,geom,1475,70,Comanche,Comanche,Comanche,Alto Pura Pura,c.,548/2009,c. Comanche (Alto Pura Pura)
Feature,ubicacionvias2.16,Point,-68.14591234,-16.46050956,geom,2752,78,Pj. 1,1,1,Plan Autopista,pje., ,pje. 1 (Plan Autopista)
Feature,ubicacionvias2.17,Point,-68.12644507,-16.46965534,geom,1958,87,"Velasco, Gastón","Velasco, Gastón",Gastón Velasco,Rosasani,pje., ,pje. Gastón Velasco (Rosasani)
Feature,ubicacionvias2.18,Point,-68.13034044,-16.47044956,geom,2177,107,C. 1,1,1,Santiago de Lacaya,c., ,c. 1 (Santiago de Lacaya)
Feature,ubicacionvias2.19,Point,-68.12669944,-16.47451426,geom,3542,113,C. 1,1,1,Alto Las Delicias,c., ,c. 1 (Alto Las Delicias)
Feature,ubicacionvias2.20,Point,-68.12668248,-16.47217245,geom,7550,125,C. 8,8,8,Alto Las Delicias,c., ,c. 8 (Alto Las Delicias)
Feature,ubicacionvias2.21,Point,-68.1160858,-16.46456306,geom,7417,129,C. D,D,D,3 de Mayo,c., ,c. D (3 de Mayo)
Feature,ubicacionvias2.22,Point,-68.12160973,-16.4616756,geom,8834,130,Los Pinos,Los Pinos,Los Pinos,Urkupiña,c., ,c. Los Pinos (Urkupiña)
Feature,ubicacionvias2.23,Point,-68.11972767,-16.46858649,geom,3814,138,Pj. 1,1,1,La Merced,pje., ,pje. 1 (La Merced)
Feature,ubicacionvias2.24,Point,-68.11544812,-16.47250448,geom,1573,140,Diez de Medina,Diez de Medina,Diez de Medina,Villa Fátima,c., ,c. Diez de Medina (Villa Fátima)
Feature,ubicacionvias2.25,Point,-68.11498958,-16.46857251,geom,3753,144,Tocopilla,Tocopilla,Tocopilla,Villa El Carmen,c.,310/2012,c. Tocopilla (Villa El Carmen)
Feature,ubicacionvias2.26,Point,-68.11702157,-16.47369162,geom,1988,154,"Guzmán Azpiazu, Mario","Guzmán Azpiazu, Mario",Mario Guzmán Azpiazu,Villa Fátima,pje., ,pje. Mario Guzmán Azpiazu (Villa Fátima)
Feature,ubicacionvias2.27,Point,-68.11651452,-16.47143873,geom,560,158,Tajma,Tajma,Tajma,La Merced,c., ,c. Tajma (La Merced)
Feature,ubicacionvias2.28,Point,-68.11620757,-16.47260138,geom,1787,160,Condarco,Condarco,Condarco,Villa Fátima,c., ,c. Condarco (Villa Fátima)
Feature,ubicacionvias2.29,Point,-68.1170765,-16.47315098,geom,699,168,Las Américas,Las Américas,Las Américas,La Merced,av., ,av. Las Américas (La Merced)
Feature,ubicacionvias2.30,Point,-68.11568495,-16.47181599,geom,7869,169,Huancané,Huancané,Huancané,Villa Fátima,c., ,c. Huancané (Villa Fátima)
Feature,ubicacionvias2.31,Point,-68.12264303,-16.47001101,geom,7435,181,C. 2,2,2,Alto Las Delicias,c., ,c. 2 (Alto Las Delicias)
Feature,ubicacionvias2.32,Point,-68.12086081,-16.46218444,geom,2625,183,Costanera,Costanera,Costanera,Urkupiña,c., ,c. Costanera (Urkupiña)
Feature,ubicacionvias2.33,Point,-68.11678344,-16.46509675,geom,1161,191,"Vásquez, S.","Vásquez, Samuel",Samuel Vásquez,Condorini,c., ,c. Samuel Vásquez (Condorini)
Feature,ubicacionvias2.34,Point,-68.1127489,-16.46434718,geom,3434,195,C. 6,6,6,Villa El Carmen,c., ,c. 6 (Villa El Carmen)
Feature,ubicacionvias2.35,Point,-68.10595412,-16.46414675,geom,3946,197,Florida,Florida,Florida,Chuquiaguillo,c., ,c. Florida (Chuquiaguillo)
