st_x,st_y,gid,nombre,distrito,uv,mz,barrio,direccion,estado,categoria,nombre_sept,nivel,point_x,point_y,geom,dependencia,estado_cuarentena,estado_c
484838.9664,8039242.6225,75,Mercadito 2 de Agosto,5,79,K,,Santa Cruz de la Sierra,,vecinal,Mercadito 2 de Agosto,,-63.1430012004,-17.7339537001,010100000030F697DD9B971D413D0AD7A7D2AA5E41,GAMSCS,f,0
487033.6328,8035350.9755,77,Mercado las Pampitas,6,141B,13,,"Av. Las Pampas, Santa Cruz de la Sierra",,vecinal,Mercado las Pampitas,,-63.1223247004,-17.7691436996,010100000020B9FC87E6B91D418D976EBE05A75E41,GAMSCS,f,0
490823.9453,8038372.3379,79,Mercado LIBERTAD,6,313,EQ,,"Calle Jorori, Santa Cruz de la Sierra",,vecinal,Mercado LIBERTAD,,-63.0865537995,-17.7418531002,010100000020B9FCC71FF51D415227A015F9A95E41,GAMSCS,f,0
487973.0615,8038079.4354,80,Mercado Panamericano,6,144A,84,,Santa Cruz de la Sierra,,vecinal,Mercado Panamericano,,-63.1134466002,-17.7444868997,010100000020DBF93E94C81D41F697DDDBAFA95E41,GAMSCS,f,0
481072.472,8021998.5842,82,"Mercado Modelo ""Cortez""",12,255,24A,,Santa Cruz de la Sierra,,vecinal,"Mercado Modelo ""Cortez""",,-63.1786824001,-17.8897895003,0101000000D0F753E3C15C1D41668863A5FB995E41,GAMSCS,f,0
482845.6328,8036039.5464,78,MUTUALISTA 8000 MT.,2,ET3,,,,,vecinal,MUTUALISTA 8000 MT.,,-63.1618285901,-17.7628911834,010100000020B9FC8776781D41B537F8E2B1A75E41,GAMSCS,f,0
489590.8209,8039087.6182,76,CENTRO DE ABASTECIMIENTO( Mercado El Dorado Norte),6,203,,,"000, Santa Cruz de la Sierra",,vecinal,CENTRO DE ABASTECIMIENTO( Mercado El Dorado Norte),,-63.0981818003,-17.7353822999,010100000070029A48DBE11D41BC9690E7ABAA5E41,GAMSCS,f,0
488709.4835,8029763.9743,81,Mercado 21 De MAYO (ARROYITO),8,157,,,"Av Arroyito, Santa Cruz de la Sierra",,vecinal,Mercado 21 De MAYO (ARROYITO),,-63.1065447004,-17.8196527997,0101000000C09F1AEF15D41D4163EE5AFE90A15E41,GAMSCS,f,0
482600.4265,8024168.3837,83,NUEVO PALMAR mercado parada 15,12,179,,,"Nuevo Palmar 23, Santa Cruz de la Sierra",,vecinal,NUEVO PALMAR mercado parada 15,,-63.1642399999,-17.8701900000,0101000000806ABCB4A1741D41728A8E181A9C5E41,GAMSCS,f,0
480098.4138,8030110.6084,25,Mercado La Morita,4,49,,B. La Morita,C/ Francisco Kempff y Armando Jordan,Mercado Municipal,Vecinal,MERCADO LA MORITA,MINORISTA,-63.1878008563,-17.8164584746,0101000000F02FBBA7894D1D418E06F0A6E7A15E41,GAMSCS,f,0
479130.9751,8031128.1045,68,Mercado Santa Rosa,4,ET13,,,,,vecinal,Mercado Santa Rosa,MINORISTA,-63.1969199362,-17.8072525880,0101000000509D80E66B3E1D41C520B006E6A25E41,GAMSCS,f,0
484031.9875,8033128.4096,69,Pro Mayor,3,Nueva Feria-Barrio Lindo,,,,,vecinal,Pro Mayor,MINORISTA,-63.1506589906,-17.7892133334,0101000000303333F3FF8A1D41EBE2361ADAA45E41,GAMSCS,f,0
478884.4174,8025819.2937,53,"Mercado ""EL PARAISO""",9,131,46,,Santa Cruz de la Sierra,,vecinal,"Mercado ""EL PARAISO""",MINORISTA,-63.1992997996,-17.8552351996,0101000000D0E76AAB913A1D4116FBCBD2B69D5E41,GAMSCS,f,0
480147.9323,8032606.1065,60,Mercado La Ramada Centro,11,9,16,,,,vecinal,Mercado La Ramada Centro,MINORISTA,-63.1873100374,-17.7939026849,0101000000F0D9ACBA4F4E1D4160E5D08657A45E41,GAMSCS,f,0
484424.3184,8029485.56,63,Mercado Modelo Plan 3000 - MERCADO SAN AURELIO,8,ET53,1,,Santa Cruz de la Sierra,,vecinal,Mercado Modelo Plan 3000 - MERCADO SAN AURELIO,MINORISTA,-63.1469843004,-17.8221431000,010100000050A60A4621911D413D0AD7634BA15E41,GAMSCS,f,0
486621.035169977,8029052.95486187,31,"Mercado Plan 3000 ""COPACABANA""",8,148,, ,Av. El Mechero,Mercado Asentamiento,Vecinal,MERCADO COPACABANA,MINORISTA,-63.1262571583,-17.8260678136,01010000003699032474B31D41FB741C3DDFA05E41,Asentamiento,f,0
481178.4687,8034310.3836,36,Mercado  Los Pozos,11,CII,, ,entre C/ 6 Agosto C/Quijarro y Campero,Mercado Usufructo,Distrital,MERCADO LOS POZOS,MINORISTA,-63.1775714383,-17.7785071392,010100000090E4F2DF695E1D4104E78C9801A65E41,Usufructo,f,0
484022.3525,8034944.382,17,Mercado Chacarilla,2,41,,B. Chacarilla, ,Mercado Usufructo,Vecinal,MERCADO CHACARILLA,MINORISTA,-63.1507361317,-17.7727990317,010100000090C2F568D98A1D4121B07218A0A65E41,Usufructo,f,0
482937.2177,8035948.0992,20,Mercado Mutualista,2,ET3,, , ,Mercado Usufructo,Distrital,MERCADO MUTUALISTA,MINORISTA,-63.1609653506,-17.7637184699,0101000000B0BFECDEE4791D41F54A59069BA75E41,Usufructo,f,0
