gid,objectid,name,snippet,haslabel,labelid,point_x,point_y,geom
1,1,Hipermaxi Suc. España,Santa Cruz de la Sierra,-1,0,-63.1956214999,-17.8418859004,0101000000C098BB56A2401D417A36AB26289F5E41
2,2,Supermercado Wonderful,Santa Cruz de la Sierra,-1,0,-63.1956466002,-17.8413688998,01010000000034117697401D41E9482E73369F5E41
3,3,Estación de Servicio Moragrande 1,"Zona La Cuchilla, Av Moscú, Quinto anillo, Santa Cruz de la Sierra",-1,0,-63.2030321996,-17.8278734997,0101000000B0C876BE56341D410E2DB281ABA05E41
4,4,Hipermaxi Las Palmas,"Doble vía La Guardia, Santa Cruz de la Sierra",-1,0,-63.2084720998,-17.8106481004,01010000008048BF7D4C2B1D412DB29DC787A25E41
5,5,Hiper Bagio,Santa Cruz de la Sierra,-1,0,-63.2266056997,-17.8278194003,0101000000A0DFBECE4E0D1D417FD93D49ACA05E41
6,6,Micromercado Macarena,"Avenida Iberica, Santa Cruz de la Sierra",-1,0,-63.2069088002,-17.8065813999,010100000010D7A330E12D1D41BEC1174EF8A25E41
7,7,Hipermercado Plaza,"Av. Grigota entre 2do. y 3er. Anillo, Av Grigotá, Santa Cruz de la Sierra",-1,0,-63.1959615003,-17.8013409001,0101000000C0FC8774FF3F1D41F31FD28F89A35E41
8,8,Supermercados Wonderful,Santa Cruz de la Sierra,-1,0,-63.1835814001,-17.8189214998,010100000060A8354D87541D41E3C798A3A3A15E41
9,9,Super Tienda QUINA,"Av Santos Dumont esquina, Santa Cruz de la Sierra",-1,0,-63.1840816001,-17.8201459001,0101000000704DF3CEB3531D41EFC9C3C281A15E41
10,10,Hipermaxi Sur,"Av. Santos Dumont entre Av. Mario R. Gutierrez y, Av Roque Aguilera, Santa Cruz de la Sierra",-1,0,-63.1840798997,-17.8134789003,01010000007009F9A0B1531D410EBE30293AA25E41
11,11,Supermercados MAX,"Av. Radial 12, Santa Cruz de la Sierra",-1,0,-63.1719194998,-17.8076050997,010100000080C729FAD1671D41083D9BEDDCA25E41
12,12,Supermercado Quina Sucursal 3,"Av.Prefecto Rivas Nro 250, Santa Cruz de la Sierra",-1,0,-63.1904367997,-17.8043764998,0101000000D076BEDF26491D412B1895C035A35E41
13,13,Fidalga,"Avenida El Trompillo 632, Santa Cruz de la Sierra",-1,0,-63.1833124997,-17.8005057999,010100000050840D4FF1541D41E63FA4FFA0A35E41
14,14,Fidalga Reyes,"Avenida 26 De Febrero, Santa Cruz de la Sierra",-1,0,-63.1943129997,-17.7896614002,0101000000D056ECEFB4421D41835149A5CCA45E41
15,15,Hipermaxi Piraí,"Segundo anillo esquina, Santa Cruz de la Sierra",-1,0,-63.1950572004,-17.7896994997,010100000050FC187379411D4139454792CBA45E41
16,16,H P Medical,"Av. Roca y Coronado, Santa Cruz de la Sierra",-1,0,-63.1997374998,-17.7852109997,0101000000C0E3141DB7391D412C65199647A55E41
17,17,Hipermaxi,"Avenida Roca y Coronado # 800, Santa Cruz de la Sierra",-1,0,-63.2118605999,-17.7848854004,0101000000D0A14536A3251D413BDF4F3D50A55E41
18,18,IC Norte,"3er anillo interno,, Avenida Busch, Santa Cruz de la Sierra",-1,0,-63.2034347997,-17.7726559002,010100000000AAF19291331D412E90A0BCA2A65E41
19,19,Fidalga Equipetrol,"Dr Fermín Peralta, Santa Cruz de la Sierra",-1,0,-63.1979808002,-17.7603093998,0101000000D0EEC943943C1D41B9FC8760F8A75E41
20,20,Tía,Santa Cruz de la Sierra,-1,0,-63.1998213003,-17.7551670999,0101000000E068006F85391D41355EBA8D86A85E41
21,21,Hipermaxi Equipetrol,Santa Cruz de la Sierra,-1,0,-63.2000407996,-17.7566582001,0101000000A0CDAA0F29391D41F2D24D4E5DA85E41
22,22,Supermercado El Cristo,Santa Cruz de la Sierra,-1,0,-63.1820666999,-17.7735315003,0101000000308716D9F5561D41355EBA198BA65E41
23,23,FIDALGA,Santa Cruz de la Sierra,-1,0,-63.1857562997,-17.7713961001,0101000000A0CDAA8FD8501D41E09C1111C6A65E41
24,24,Shopping Fidalga,"Av. Cristo Redentor entre Av. Pedro Ribera Mendez, Tercer Anillo Externo, Santa Cruz de la Sierra",-1,0,-63.1781405003,-17.7584827002,010100000000B37B32705D1D41ADFA5C6D2BA85E41
25,25,Fidalga Hamacas,"Av. Beni # 500 esquina, Santa Cruz de la Sierra",-1,0,-63.1716851997,-17.7551306997,0101000000005F980C20681D417B832F4C88A85E41
26,26,Hiper Plaza,Santa Cruz de la Sierra,-1,0,-63.1765192997,-17.7504543999,010100000000CCEE491C601D4152499D8409A95E41
27,27,Supermercado,,-1,0,-63.1741841733,-17.7458330087,0101000000B0CFD596F8631D411E166A6589A95E41
28,28,Hipermaxi,"Avenida Cuarto Anillo, Santa Cruz de la Sierra",-1,0,-63.1853561004,-17.7497121000,010100000030DD24C678511D41A857CAD21DA95E41
29,29,Hipermaxi Gourmet,"Avenida Cuarto Anillo, Santa Cruz de la Sierra",-1,0,-63.1761379001,-17.7493364001,01010000005096218EBD601D41BE9F1A7328A95E41
30,30,Hipermaxi Super Center,"Av. Cristo Redentor 6500, Santa Cruz de la Sierra",-1,0,-63.1659810999,-17.7287798998,0101000000F0D9AC7A88711D41BDE3144161AB5E41
31,31,Drinksmart,Santa Cruz de la Sierra,-1,0,-63.1661635004,-17.7152374998,010100000040CF66D535711D41D5E76ACFD7AC5E41
32,32,Supermercado Wonderful,Santa Cruz de la Sierra,-1,0,-63.1693177004,-17.7148987000,0101000000F0B050EBFB6B1D415A643B1BE1AC5E41
33,33,Micro Mercado Wonderfull,"Unnamed Road, Santa Cruz de la Sierra",-1,0,-63.1544167000,-17.6820082998,0101000000E00B93E99F841D4150FC18236FB05E41
34,34,Fresh meat,"Unnamed Road, Santa Cruz de la Sierra",-1,0,-63.1547238002,-17.6831864002,010100000000CE19111E841D41ACADD88B4EB05E41
35,35,Hipermaxi beni,Santa Cruz de la Sierra,-1,0,-63.1685784002,-17.7503854002,0101000000F095B28C436D1D415305A39E0BA95E41
36,36,Supermercados Tia,"Av Alemania, Santa Cruz de la Sierra",-1,0,-63.1654143999,-17.7546740997,0101000000E09C11E582721D413D9B551395A85E41
37,37,Hipermaxi Mutualista,"zona Mutualista, Tercer Anillo Externo, Santa Cruz de la Sierra",-1,0,-63.1587096001,-17.7657748001,0101000000009A081BA27D1D418BFD653362A75E41
38,38,Supermercado Pronto,"Av. Sta. Cruz, Santa Cruz de la Sierra",-1,0,-63.1661178997,-17.7746245998,010100000030E6AE6560711D4160764F426DA65E41
39,39,Makro Parque,"Av Cuarto Anillo y, Santa Cruz de la Sierra",-1,0,-63.1474896000,-17.7650906997,0101000000F0D9AC3A37901D41A60A465D75A75E41
40,40,Hipermaxi Embutidos Fabrica,Santa Cruz de la Sierra,-1,0,-63.1340450998,-17.7726783000,0101000000003411367EA61D410EBE30C5A3A65E41
41,41,Hipermaxi La Pampa,"4 Oeste, Santa Cruz de la Sierra",-1,0,-63.1244885004,-17.7717552001,0101000000F0F44AD951B61D41D49AE679BDA65E41
42,42,Fidalga Cotoca,Km. 8 Doble Via a Cotoca,-1,0,-63.1044874003,-17.7657307004,0101000000E06800AF70D71D414547726D64A75E41
43,43,Pampa De La Isla,Santa Cruz de la Sierra,-1,0,-63.1151462002,-17.7676244003,010100000060CC5DCBC9C51D417DAEB6E22FA75E41
44,44,Mercado,,-1,0,-63.0967340991,-17.7646022000,0101000000C064AAE047E41D41273108C083A75E41
