gid,id,propiedad,nombre,distrito,uv,mz,infraestru,pob_benefi,telefono,barrio,direccion,point_x,point_y,geom
1,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal 2 de Mayo,7,87,8,Antigua refaccionada y ampliada,50,3254721,B/ 2 De Mayo,Av. Cumavi,-63.1204527356,-17.7942667116,010100000010AE476107BD1D41250681E94EA45E41
2,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal El Pantanal,6,84,ETM-5,"Antigua, refacciónada y ampliación",50,0,B/ Pantanal,Av. Bolivia 2 cuadras pasando las rieles del tren,-63.1214683042,-17.7803998449,0101000000102DB2DD54BB1D411C7C616ECEA55E41
3,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Los Chacos,6,152,2A,Nueva Guarderia Modelo,100,3266234,B/ Los Chacos,Av. 16 de julio  Plaza Principa Los Chacosl,-63.1135371319,-17.7571553318,010100000030ED0D3E71C81D419CC4207851A85E41
4,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Villa Luz,5,69,11A,"antigua, refaccionada",50,3241490,B/ Villa Luz,Av. Beni 5 y 6 anillo entrnado por UNAGRO,-63.1654014568,-17.7362950692,010100000090900F3A81721D414F40136991AA5E41
9,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Nidito de Luz,8,101,8,"Antigua, refeaccionada",50,0,B/  15 de Septiembre,C/ 7,-63.1236816088,-17.8163214191,010100000010B5A6F9B4B71D41DFE00BDBECA15E41
6,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Pimpollito,5,193,12A,"Antigua, refaccionda",50,3266098,B/San Juan,C/ Juan Sanchez Cotan pasando 2 cuadra Club Blooming,-63.1521067213,-17.7159000752,0101000000C01E85EB7F881D41E71DA7CCC5AC5E41
8,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Heroes del Chaco,3,91,14A,"Antigua, refeaccionada y ampliada",40,32985553,B/,Av. 3 Pasos al Frente C/ Tomas Campero,-63.1433047154,-17.8017476557,010100000020287E0C32971D4194F606937FA35E41
10,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Minero,8,142,EQ,Nueva Guarderia Modelo,100,3265638,B/ Minero,Zona Plan 3000 lado del Col Josefina Balsamo,-63.1210690371,-17.8234916296,0101000000507DAE760ABC1D4114AE479526A15E41
11,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Los Angeles,8,148,28,Antigua refaccionada,50,0,B/  Municipal los Angeles,Av Transcontinental,-63.1239065583,-17.8269109163,010100000080D93DB958B71D41BEC117F6C7A05E41
13,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal El Carmen,1,57,20,Antigua refaccionada,50,0,B/ El Carmen,Av. Busch 3 anillo externo,-63.2039653533,-17.7703558920,0101000000006F8184AF321D41764F1E56E2A65E41
14,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Garay,6,311,16,"Antigua, refaccionada",20,0,B/ San Silvestre-Comunidad Ayorea,Av. Virgen de Lujan final 9 anillo,-63.0934271500,-17.7259183263,0101000000C9C9F48BB9E91D416D93E3B9B1AB5E41
15,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Monterrey,7,85,13,"Antigua, refaccionada y ampliada",0,3216569,B/ Monterrey,Av. Cumavi 7 anillo una cuadra  al norte,-63.1154593996,-17.7916799136,0101000000F0B1338C4BC51D418E3ED38A96A45E41
16,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Banzer,7,100,19,"Antigua, refaccionada y ampliada",50,0,B/ Banzer,Entre  Av. Panamericana 7 anillo y Av. 8 anillo,-63.1144542318,-17.8104202395,0101000000505BB1BFFAC61D419EEFA73A90A25E41
17,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal 31 de Marzo,10,127,6,"Antigua, refaccionada y ampliada",50,0,B/ 31 de Marzo - Fabril,Av. Radial 17 y 1/2 y 7 anillo,-63.2328131176,-17.8261042056,01010000008038D6C506031D4136CD3B86DBA05E41
18,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Antofagasta,12,118,EQ,"Antigua, refaccionada",50,3266235,B/ Antofagasta,Entre  Av. Panamericana 5 anillo y Av. 6 anillo,-63.2096393564,-17.8281108010,010100000020E2585766291D41711B0DC0A4A05E41
20,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Mitai,12,181,18,"Antigua, refaccionada y ampliada",50,0,B/ Pedro Diez,Zona Los Lotes Av. Nuevo Palmar,-63.1767131209,-17.8601999381,0101000000A34E54E7F75F1D41A2F0611B2E9D5E41
21,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal San Francisco,12,171,2-3,Nueva Guarderia Modelo,120,0,B/ San Francisco Norte,6 anillo Rdial,-63.1686287336,-17.8445764489,010100000050EA04B4536D1D41C4B12E6EDE9E5E41
23,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal San José Misionero,12,174,EQ,Antigua refaccionada,100,3700705,B/ El Triunfo,Av. Bolivia frente al Colegio Ignacio Warnes,-63.1565664263,-17.8660556464,0101000000E75315EE53811D414C531C9F8C9C5E41
25,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Montero Hoyos,15,1,EQ,Nueva Guarderia Modelo,50,0,Montero Hoyos,Cuadante 1,-62.8231097933,-17.6405421692,0101000000401CEBA2AEA91F418638D67DE9B45E41
27,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Noel Kempff,7,99,EQ,Nueva Guarderia Modelo,100,0,B/ Noel Kempff,Av. Radial 10 y 7 anillo,-63.1243553295,-17.8116842770,01010000004082E20796B61D41C7BAB8196DA25E41
28,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal La Morita,4,48,12,Antigua refaccionada,140,0,B/ La Morita,Av. Santos Dumont entre 3 y 4 anillo C/ AugustoZambrana,-63.1807274460,-17.8157170293,0101000000B00C71AC3F591D41B98D0658FCA15E41
30,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Mercado Minorista Los Pozos - Bloque Sur,5,78,EQ,Nueva,0,0,B/ Clara Cuta,Av. Alemana 8vo Anillo,-63.1488729032,-17.7258936771,010100000032B49CF5DE8D1D4162D93476B1AB5E41
33,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Mercado Minorista La Ramada- Bloque A,10,125,EQ,Nueva,0,0,B/ 30 de Agosto,Av. Moscú 6to Anillo,-63.2145603519,-17.8353149923,0101000000D3EA902D44211D41AE280458DD9F5E41
34,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Mercado Minorista La Ramada- Bloque B,10,125,EQ,Nueva,0,0,B/ 30 de Agosto,Av. Moscú 6to Anillo,-63.2151758194,-17.8383993560,0101000000C043C4E240201D4189F9F803889F5E41
29,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Mercado Minorista Los Pozos - Bloque Norte,5,78,EQ,Nueva,0,0,B/ Clara Cuta,Av. Alemana 8vo Anillo,-63.1474123450,-17.7250338250,0101000000A6DAED154A901D4166F83746C9AB5E41
12,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Gamarra,10,137,13,Nueva Guarderia Modelo,100,0,B/ Gamarra, ,-63.2282761468,-17.8338818416,010100000050158C0A8E0A1D41BADA8A8D04A05E41
26,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Tundy,14,0,EQ,Antigua refaccionada,0,0,B/ Comunidad Tundi, ,-63.0016319882,-17.8908729849,0101000000305C8F82CC811E41AAF1D2F1DF995E41
19,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Mi Pequeña Guardia,11,4, ,"Antigua, refaccionada",50,0,Ex-Terminal,Av. Cañoto Edf.Secretaria Municipal de Defenza Ciudadana,-63.1864715090,-17.7922918057,0101000000F0DBD781B24F1D41B4C8761A84A45E41
22,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal El Buen Pastor,12,254, ,Antigua refaccionada,50,0,B/ Cortez Plan 4000, ,-63.1752364462,-17.8921799509,010100000002F874FB76621D413D74969DB9995E41
24,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Villa Alegre,12,183,49,"Antigua, refaccionada y ampliada",50,0,B/ Villa Alegre, ,-63.1675958677,-17.8782371586,010100000090A982D1166F1D41386744713B9B5E41
32,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Niño Niña Feliz,12,180,36,"Antigua, refaccionada",0,0,B/Villa Mercedes, ,-63.1801319983,-17.8599584514,010100000069D2DCEE4E5A1D4111651FB3349D5E41
31,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal SENAC,9,114,EQ,"Antigua, refaccionada y ampliada",0,0,B/Senac, ,-63.1730917049,-17.8351091148,0101000000730F9D52EC651D411EA6222DE49F5E41
5,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal 7 de Septiembre,5,72,2,"Antigua , refaccionada y ampliada",50,3315653, ,Zona Norte 2 cuadras atras de la UCEBOL,-63.1738554432,-17.7289901080,010100000010BE30197D641D41B30C71405BAB5E41
7,0,Gobierno Autónomo Municipal de Santa Cruz de la Sierra,Guarderia Municipal Magisterio,2,40,EQ,Nueva Guarderia Modelo,100,0, ,Av. entre 3 y 4 anillo Av. Mutualista,-63.1556984345,-17.7620520917,010100000020DBF97E9D821D4164CC5D3BC9A75E41
