gid,nombre,distrito,uv,mz,direccion,capacidad,dependencia,servicio,telefono,categoria,horario,red,point_x,point_y
30,CENTRO DE SALUD TIERRAS NUEVAS,10,135,EQ,"Barrio Tierras Nuevas, Av. Moscú, 5 cuadras antes del Rest. Tutumazo",12,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de Diagnostico</b><br> 
Ecografía, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.
",+ 591 3 3536010,1,12 Horas,SUR,-63.2152697724,-17.8487724752
42,CENTRO DE SALUD MONTERO HOYOS,,12,EQ,Localidad de  Montero Hoyos,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de Diagnostico</b><br> 
Ecografía, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.
",+591 6 9561424,1,12 Horas,NORTE,-62.8244615888,-17.6408827866
9,CENTRO DE SALUD ZAFRANILLA,6, ,0,Comunidad Zafranilla,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de Diagnostico</b><br> 
Ecografía, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.
",,0,6 horas,,-62.9887583625,-17.6207508126
41,CENTRO DE SALUD SAN MIGUEL DE LOS JUNOS,14, ,,Comunidad San Miguel De Los Junos – Zona del Tanque de Agua Elevado,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de Diagnostico</b><br> 
Ecografía, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.
",+591 3 3226753,1,12 Horas,SUR,-63.0266142171,-17.9324911624
10,CENTRO DE SALUD PALMASOLA,12,257,EQ,Centro Penitenciario Palmasola,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de Diagnostico</b><br> 
Ecografía, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.
",+ 591 3 3562928,0,,,-63.1849190709,-17.8736808318
8,CENTRO DE SALUD EL DORADO NORTE,6,203,EQ,"B/ El Dorado Norte, llegar a la Av. Virgen de Lujan donde termina el pavimento, ir a la derecha  4 cuadras, luego entrar al lado izquierdo 3 cuadras hasta llegar a una plazuela.",4,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de Diagnostico</b><br> 
Ecografía, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.
",+591 3 3224388,1,12 Horas,NORTE,-63.0965549515,-17.7392303684
12,CENTRO DE SALUD EL RETOÑO/LOS CUSIS,6,320,EQ,B/ El Retoño / Los Cusis,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de Diagnostico</b><br> 
Ecografía, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.
",+591 3 3498786,1,12 Horas,NORTE,-63.0770238114,-17.7356423481
11,CENTRO DE SALUD LAS GRAMAS/26 DE SEPTIEMBRE,6,207,EQ,B/ Las Gramas / 26 de Septiembre,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de Diagnostico</b><br> 
Ecografía, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.
",+591 3 3224504,1,12 Horas,NORTE,-63.1048514164,-17.7209564349
14,CENTRO DE SALUD EL PORVENIR,7,83,EQ,B/ El Porvenir,1,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de Diagnostico</b><br> 
Ecografía, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.
","+591 3 3621675
",1,12 Horas,ESTE,-63.1291780084,-17.7870793792
43,CENTRO DE SALUD ROQUE AGUILERA,1,36,,C/ Santiago Vaca Guzman C/Antoni Barba,0,GAMSCS,"<b>Consulta Externa</b><br>
Cirugía,
Medicina interna, 
Pediatría, 
Ginecología – Obstetricia.

<br><b>Atención de emergencia</b><br>
Medicina general, 
Obstetricia - Parto normal, 
Pediatría.

<br><b>Servicios de Diagnostico</b><br> 
Ecografía, 
Papanicolaou.

<br><b>Servicios complementarios</b><br>
Servicio de farmacia.
","+591 3 3377366
",0,12 Horas,CENTRO,-63.1862852422,-17.7660977541
