departamento,provincia,municipio,codigo_municipio,codigo,nombre,seguro,urbano-rural,telefono,camas
Chuquisaca,Oropeza,Sucre,10101,100001,C.S. Cossmil,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100002,Arabate,TRUE,rural,72891285,0
Chuquisaca,Oropeza,Sucre,10101,100003,Caja Petrolera,TRUE,urbano,0,24
Chuquisaca,Oropeza,Sucre,10101,100004,C.S.C.I.E.S. Sucre,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100005,Inst.Psicopedagogico,TRUE,urbano,0,25
Chuquisaca,Oropeza,Sucre,10101,100006,Hosp.Gineco Obstetrico,TRUE,urbano,0,66
Chuquisaca,Oropeza,Sucre,10101,100007,Hosp.Gastroenterologico,TRUE,urbano,0,30
Chuquisaca,Oropeza,Sucre,10101,100008,C.S.Cons. Sagrada Familia,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100009,C.S.Its-Sida,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100010,Villa Rosario,TRUE,urbano,6435239,0
Chuquisaca,Oropeza,Sucre,10101,100011,Barrio Japon,TRUE,urbano,6438870,0
Chuquisaca,Oropeza,Sucre,10101,100012,C.S. Maria Auxiliadora,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100013,San Antonio Alto (Chq),TRUE,urbano,6480152,0
Chuquisaca,Oropeza,Sucre,10101,100014,San Jose (Chq),TRUE,urbano,6421104,0
Chuquisaca,Oropeza,Sucre,10101,100015,C.S. Med.Barrio San Jose,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100016,San Roque,TRUE,urbano,6441042,0
Chuquisaca,Oropeza,Sucre,10101,100017,C.S.Med.Barrio Santa Barbara,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100018,Villa Copacabana,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100019,Clinica San Cristobal,TRUE,urbano,0,15
Chuquisaca,Oropeza,Sucre,10101,100020,Clinica Del Sur,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100021,Hosp.Mons. Jesus Perez,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100022,C.S. Maria Estopes Sucre,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100023,C.S. Clinica Copacabana,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100024,C. S. Iptk Central,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100025,Cantu Molino,TRUE,rural,0,1
Chuquisaca,Oropeza,Sucre,10101,100026,Chaunaca,TRUE,rural,67142989,2
Chuquisaca,Oropeza,Sucre,10101,100027,Chuqui Chuqui,TRUE,rural,72864783,3
Chuquisaca,Oropeza,Sucre,10101,100028,C.S. Policlinico 35,TRUE,urbano,0,0
Chuquisaca,Oropeza,Sucre,10101,100029,C.S.Banca Privada,TRUE,urbano,0,0
