amenity,name,latitude,longitude,addr:street
doctors,Centro Médico,-17.5909561,-65.9349576,
doctors,Curandero Escobar,-17.589757,-65.9346329,
doctors,Puesto de Salud de Epizana Cruce,-17.6370999,-65.2289803,RN7: Epizana-Comarapa
doctors,Consultorio Medico,-17.8440308,-60.7437097,
doctors,Posta Municipal,-17.396528,-66.1670119,
doctors,Maida,-17.3913216,-66.1476226,Calle Aurelio Melean
doctors,Centro Médico Callajchullpa,-17.3534349,-66.2433597,
doctors,,-20.4602517,-66.8214673,
doctors,Centro Medico Hermano Andrés Pedrón,-17.4604943,-66.1235744,
doctors,Javier Rivero,-17.3908195,-66.148632,
doctors,Análisis Clínico FCSH,-17.7766904,-63.1907833,
doctors,Centro de Salud La Familia,-17.3966317,-66.2767672,
doctors,Centro Municipal de Salud San Antonio Bajo,-16.4988724,-68.116043,
doctors,Santa Ana de Condebamba,-17.35705,-66.1778004,
doctors,,-17.3916051,-66.1376748,Avenida Rubén Dario
doctors,Centro de Fisioterapia,-17.3636621,-66.1655388,Avenida Circunvalación Beijing
doctors,Consultorio Psicologico Tukuypaj,-17.3631279,-66.1680116,Avenida Circunvalación Beijing
doctors,Fisioterapia,-17.3959261,-66.1549154,
doctors,,-17.7831043,-63.2095615,
doctors,,-17.7845928,-63.2096522,
doctors,,-17.3873065,-66.1549266,Avenida Salamanca
doctors,Central Médica,-17.8079071,-63.2056875,
doctors,Posta de Salud,-17.3912129,-66.1182335,
doctors,Dr. Jaime Marañon,-17.3829637,-66.1529869,Calle J. Crisóstomo Carrillo
doctors,Salud & Vida,-17.4086297,-66.1509676,Avenida República
doctors,Germán Melgarejo,-17.7716201,-63.1544952,
doctors,Posta Médica Ovejuyo,-16.5355727,-68.0388276,
doctors,Médico,-17.7406508,-63.1482158,
doctors,Doctora Gaby Camacho Quezada,-17.7863608,-63.1802296,Calle Chuquisaca
doctors,OHM,-17.7876853,-63.1800924,
doctors,Doctora Carmen Elsa Calzin de Rueda,-17.7753614,-63.1810534,Calle Beni
doctors,,-17.7862666,-63.1749366,Calle Republiquetas
doctors,Dr. Jorge B. Verastegui Lijerón,-17.7946351,-63.1856229,
doctors,Consultorio Médico Santa Ana,-17.7957558,-63.2095002,
doctors,Centro Medico Rayos,-16.4918307,-68.1512729,Avenida República
doctors,Consultorio Endocrinológico Integral - Dr. J. Efraín Castro,-17.7629494,-63.1686322,Calle Asai
doctors,,-17.8004983,-63.1589847,
doctors,Consultorio Medico Palacios,-17.8120503,-63.1326796,Avenida Adolfo Román Hijo
doctors,GInecologia Consultorio,-17.8075339,-63.1369496,
doctors,Puesto de Salud Choquetanga Grande,-16.837814,-67.3184762,
doctors,Gastroservic,-17.7699034,-63.1663868,Avenida Mutualista
doctors,Kineser,-17.7585689,-63.183578,Tercer Anillo Externo
doctors,Huayllani Chico,-17.387995,-66.0581154,Camino Sacaba-Palca
doctors,Medicos Cristianos Solidarios,-17.7797879,-63.1742522,
doctors,Centro de Salud Santa Rosa,-16.5358569,-68.1674575,Santa Rosa Calle 4
doctors,Juan de Dios,-16.5135252,-68.1600859,Calle 8
doctors,Adolfo Kolping,-16.5111059,-68.1570879,Calle C Medina
