amenity,name,latitude,longitude,addr:street
bank,Cooperativa de Ahorro y Crédito Cristo Rey Cochabamba,-17.7355551,-65.190899,Totora
bank,Cooperativa Concordia Totora Ltda.,-17.7354524,-65.1908478,Totora
bank,Prodem,-17.9411865,-65.3413644,
bank,Prodem,-17.6115768,-66.0229607,
bank,,-17.5919974,-65.9344714,
bank,Banco Unión - Agencia Villa Tunari,-16.9741056,-65.4184032,Villa Tunari
bank,Cooperativa de Ahorro y Credito San Antonio Ltda,-16.9745149,-65.4181187,Villa Tunari
bank,Prodem,-16.1656957,-69.0865279,
bank,Ecofuturo,-16.165696,-69.0865009,
bank,Banco Union - Agencia Samaipata,-18.1799589,-63.8752463,Samaipata
bank,Banco de Crédito de Bolivia,-17.9699255,-67.1153912,Oruro
bank,Cooperatica La Merced,-17.3429033,-63.2558996,
bank,Banco Bisa,-17.3434371,-63.2555241,
bank,Banco Union,-17.8458593,-60.7428917,
bank,BancoSol,-16.481464,-68.1399184,
bank,Banco Bisa,-16.5101056,-68.1237618,
bank,Mutual La Primera,-16.4965161,-68.1398283,
bank,Banco Unión,-17.3723574,-66.1615971,Cochabamba
bank,Banco Nacional de Bolivia,-16.5070202,-68.1296563,
bank,Banco Nacional de Bolivia,-17.9706236,-67.1147342,
bank,Banco Mercantil Santa Cruz,-17.9689842,-67.1150522,Oruro
bank,Mercantil SantaCruz,-17.8193138,-63.1840631,
bank,Banco Fie,-16.3771677,-60.9623671,
bank,Banco Unión,-16.374146,-60.9591984,
bank,Cooperativa La Merced,-16.3779153,-60.960186,
bank,Cooperativa San Martín de Porres,-16.3753518,-60.9610888,
bank,PRODEM,-16.3757025,-60.9607747,
bank,Banco Mercantil Santa Cruz,-16.4976454,-68.1345242,La Paz
bank,Banco FIE,-16.501604,-68.1368083,
bank,Mutual La Paz,-16.5012042,-68.1326804,
bank,Banco Unión,-16.5029266,-68.1369866,
bank,Banco Economico,-16.4806797,-68.1214991,
bank,Banco de Credito,-16.4805992,-68.1214575,
bank,Banco BNB - Agencia Norte,-17.3731207,-66.1555827,Cochabamba
bank,Cooperativa Catedral Ltda.,-19.5875161,-65.7521733,Potosi
bank,Banco Union,-21.5333942,-64.7344053,
bank,Banco Ganadero,-21.5336548,-64.7336487,
bank,Banco Bisa - Agencia Tiquipaya,-17.3376645,-66.2189308,Tiquipaya
bank,Banco Mercantíl Santa Cruz,-17.3855657,-66.1581072,Cochabamba
bank,Banco BCP,-17.3856278,-66.1577678,Cochabamba
bank,,-17.3834018,-66.1092777,
bank,Banco Los Andes Procredit,-17.3906471,-66.2384977,
bank,Banco Sol,-17.3912387,-66.2381311,
bank,Banco Nacional de Bolivia (BNB),-17.3904594,-66.2429626,Colcapirhua
bank,Banco Unión,-17.3936779,-66.1686635,
bank,Banco Bisa,-17.3912484,-66.2378678,
bank,Banco Mercantil Santa Cruz,-17.3936523,-66.1690403,
bank,Banco de Credito BCP,-17.393597,-66.170999,
bank,Cooperativa de Ahorro y Crédito Sarco,-17.3713766,-66.1768164,
bank,,-17.3732176,-66.124869,
bank,Banco Fortaleza,-17.3911133,-66.2414738,
bank,Banco FIE,-17.372244,-66.1630236,Cochabamba
bank,Banco Mercantíl Santa Cruz,-17.3727083,-66.1629562,Cochabamba
bank,Banco Fie,-17.3939837,-66.2833415,
bank,Banco Los Andes Pro Credit,-16.4959507,-68.1486689,
bank,Banco Bisa,-17.3835543,-66.1593583,
bank,Banco Ganadero,-17.393487,-66.1588349,
bank,Banco Nacional de Bolivia,-17.3932919,-66.1639291,
bank,Banco Nacional de Bolivia,-17.3956136,-66.1572641,Cochabamba
bank,,-17.393271,-66.1575326,
bank,Cooperativa San Pedro,-17.3684867,-66.1634886,Cochabamba
bank,,-17.3729485,-66.1582389,Cochabamba
bank,Cooperativa de Ahorro y Crédito Abierta San Pedro,-17.392405,-66.1472161,Cochabamba
bank,Banco Bisa,-16.5448212,-68.0913691,
bank,BancoFie,-16.1657,-69.0874776,
bank,Banco Union,-14.4423642,-67.5309733,
bank,Banco Fie - Agencia Calle Comercio,-14.4398408,-67.5290584,Rurrenabaque
bank,Banco Mercantil Santa Cruz,-17.396549,-66.1565619,
bank,Banco de Crédito BCP,-17.3964576,-66.1570975,
bank,Banco Mercantil Santa Cruz,-17.3963875,-66.1569489,Cochabamba
bank,Cooperativa Catedral Ltda,-19.0478854,-65.2568333,sucre
bank,Banco Mercantil Santa Cruz,-17.3810679,-66.1517073,Cochabamba
bank,CredinForm,-17.3764063,-66.1514039,Cochabamba
bank,Banco Unión,-17.3911235,-66.2417661,
bank,Banco Nacional de Bolivia - Agencia Constitucion,-17.3848465,-66.1530222,Cochabamba
bank,Cooperativa de Ahorro y Crédito Abierta Loyola,-17.3943444,-66.1516257,
bank,Bisa,-17.7773612,-63.1420781,Santa Cruz
bank,Banco Unión,-17.3981898,-66.1534452,
bank,Banco Unión,-17.3915801,-66.1483779,
bank,Banco Sol,-17.3936203,-66.1703023,
bank,Banco Sol,-17.3848053,-66.1465925,
bank,Banco FIE,-17.3953378,-66.1570581,Cochabamba
bank,Cooperativa Quillacollo,-17.3912475,-66.2379616,
bank,Banco Sol,-17.3938839,-66.2810362,Quillacollo
bank,Banco Ganadero - Agencia Quillacollo,-17.3952299,-66.2806259,Quillacollo
bank,PRODEM,-17.3969873,-66.281271,
bank,Banco Unión,-17.3933601,-66.2763072,Quillacollo
bank,Banco Sol,-17.3962692,-66.2792733,Quillacollo
bank,Fondo Financiero Privado EcoFuturo,-17.3905779,-66.2387672,
bank,Banco FIE,-16.4798745,-68.1209871,
bank,PRODEM,-17.3691361,-66.1633932,
bank,Cooperativa de Ahorro y Crédito Societaria CACEF,-17.3900709,-66.1594976,Cochabamba
bank,Banco Económico,-17.3936561,-66.168929,
bank,Banco Los Andes Procredit,-17.3936241,-66.1701709,
bank,BancoSol,-16.519239,-68.2076639,El Alto
bank,PRODEM,-17.4103982,-66.1643376,
bank,Banco PRODEM,-20.4625707,-66.823816,Uyuni
bank,Banco Económico,-17.3728255,-66.1601217,
bank,Cooperativa El Buen Samaritano,-17.3873523,-66.1552913,Cochabamba
bank,Cooperativa Hospicio,-17.3902009,-66.1560727,
bank,Banco Los Andes ProCredit,-17.3953476,-66.1584479,
bank,La Promotora,-17.392329,-66.1566341,Cochabamba
bank,Fondo Financiero Privado FASSIL,-17.39057,-66.2390138,
bank,Prodem,-17.39057,-66.2391995,
bank,Banco Mercantil Santa Cruz - Agencia Sur,-17.4049843,-66.156504,Cochabamba
bank,Banco Sol,-17.4062159,-66.1551113,
bank,Fondo Financiero Privado FASSIL,-17.4079468,-66.1563159,
bank,Banco Unión,-17.4080637,-66.1566408,
bank,Fondo Financieron Privado FASSIL,-17.3936243,-66.1702411,
bank,Banco Sol,-17.3853518,-66.1489193,
bank,Banco Sol,-17.3736216,-66.1510018,
bank,Banco Fie,-16.4903944,-68.2070951,
bank,Cooperativa Pio X,-17.4026958,-66.1668566,
bank,Banco Unión,-21.4446381,-65.7197742,Tupiza
bank,Banco Mercantil Santa Cruz,-17.4014702,-66.1531384,
bank,,-14.080394,-66.7942333,
bank,,-15.8323738,-67.5645519,
bank,,-15.8323803,-67.5648544,
bank,Banco FIE,-15.8324025,-67.5655897,Caranavi
bank,,-15.8325388,-67.565255,
bank,Banco Prodem,-15.8326913,-67.5654148,Caranavi
bank,Banco Fortaleza,-15.8327812,-67.563779,Caranavi
bank,Banco Unión,-15.8330491,-67.563897,Caranavi
bank,,-15.8334269,-67.5675827,
bank,,-15.8339968,-67.5668774,
bank,,-15.8343653,-67.5645116,
bank,Banco Unión,-14.9968881,-65.6409791,
bank,PRODEM,-14.9964917,-65.6405043,
bank,EcoFuturo,-14.9960125,-65.6406314,
bank,Banco Nacional de Bolivia,-17.3955482,-66.1581465,Cochabamba
bank,Banco BCP,-17.3730795,-66.156328,Cochabamba
bank,Banco FIE,-16.5221281,-68.2105884,
bank,Banco FIE,-16.4841914,-68.1439577,La Paz
bank,Banco Unión,-17.9694849,-67.1133423,Oruro
bank,Cooperativa Empetrol,-17.3869293,-66.1542791,Cochabamba
bank,PRODEM,-18.202825,-65.1803186,
bank,Banco Union,-19.5798653,-65.7556452,
bank,Banco Union,-19.5880539,-65.7524736,
bank,BNB,-19.5878534,-65.7532882,
bank,Banco Los Andes,-19.5877083,-65.7531775,
bank,Prodem,-19.5876449,-65.7533128,
bank,Cooperativa San Bartolomé,-16.4100122,-67.5251747,
bank,Banco Unión - Agencia Bermejo,-22.7317337,-64.3430331,Bermejo
bank,Banco Prodem,-16.4102271,-67.5261581,
bank,Cooperativa Eléctrica,-16.4109995,-67.5247004,
bank,Banco Unión,-17.8145012,-63.1827234,
bank,Banco de la Nación Argentina,-17.782673,-63.1824475,
bank,Banco de Crédito,-16.5399868,-68.0780254,La Paz
bank,Banco Mercantil Santa Cruz,-16.5391794,-68.078236,La Paz
bank,,-17.8105812,-63.2085665,
bank,,-17.8105302,-63.208478,
bank,BNB - Banco Nacional de Bolivia,-17.7864505,-63.1811371,Santa Cruz de la Sierra
bank,FIE,-16.5018712,-68.1052182,
bank,Banco Fassil,-16.495868,-68.1163731,
bank,Banco Ecofututo,-16.4956269,-68.1162763,
bank,Banco Pyme de la Comunidad,-17.4199793,-66.1394615,
bank,Tigo Money,-17.4208876,-66.1383279,
bank,Banco Sol,-17.4201485,-66.139672,
bank,Banco Mercantil Santa Cruz - Agencia Simon Lopez,-17.3617103,-66.1820525,Cochabamba
bank,Banco EcoFuturo,-17.3548833,-66.1875838,Cochabamba
bank,Banco Nacional de Bolivia,-17.4191221,-66.148115,
bank,Banco Unión,-17.3621315,-66.1817669,Cochabamba
bank,Banco Sol - Agencia Simon Lopez,-17.3639015,-66.1798744,Cochabamba
bank,Banco Bisa,-17.3657873,-66.1743155,
bank,Banco Fassil - Agencia Cala Cala,-17.368347,-66.1641754,Cochabamba
bank,Banco Económico,-17.3511943,-66.1916852,
bank,Banco Unión,-17.4205021,-66.1383854,
bank,Banco Sol,-14.8328554,-64.9061724,Trinidad
bank,Banco Sol,-17.3589114,-66.1723545,
bank,Banco Sol,-17.4013407,-66.1832699,
bank,Banco Union,-15.4962947,-67.8811422,Guanay
bank,Banco FIE - Agencia Guanay,-15.4977795,-67.879365,
bank,Banco PRODEM,-15.4978307,-67.8793802,
