amenity,name,latitude,longitude,addr:street
clinic,Clínica San Pedro,-17.3911446,-66.1478541,Calle Aurelio Melean
clinic,CS Abra Punta,-17.6778366,-65.0892426,
clinic,PS Teraki,-17.6711013,-65.0967491,
clinic,Clínica Alemana,-16.5137223,-68.1214622,Avenida 6 de Agosto
clinic,Clínica Santa María,-16.510082,-68.1253032,Calle Pedro Salazar
clinic,C.S. Colchani,-20.3036501,-66.9333989,
clinic,Clínica Virgen de Copacabana,-17.3921057,-66.1487586,
clinic,Los Lauros,-17.3919553,-66.1632231,
clinic,San Francisco,-17.3927216,-66.1487473,Calle Sucre
clinic,Clínica J. Iriarte,-17.3913677,-66.1468146,Calle Victor Cabrera
clinic,Del Niño,-17.3914464,-66.1475452,Calle Bolivar
clinic,Centro de Salud Villa Nueva Potosí,-16.507398,-68.14385,
clinic,San Jorge,-21.5519875,-64.6972253,
clinic,Centro de Salud Obrajes,-16.5298342,-68.1026113,
clinic,Centro Salud Niño Kollo,-16.5100372,-68.1491671,
clinic,Clinica Cobija,-17.3866274,-66.1665096,Avenida Tadeo Haenke
clinic,Clínica San Jose,-16.4914902,-68.1663872,
clinic,Clínica Socorro,-16.4965903,-68.1485032,José María Achá
clinic,Policlínico de Atención Integral en Salud de Especialidades,-17.3767322,-66.1538306,Calle Potosí
clinic,Clínica Los Olivos,-17.3893248,-66.1796473,
clinic,Clínica Copacabana,-17.3778151,-66.1541933,Calle Potosí
clinic,Centro Medico La Florida,-16.5453403,-68.0916007,Avenida Arequipa
clinic,Laser,-17.3893805,-66.1491109,
clinic,Centro del Accidentado,-17.3908922,-66.1488245,Calle Pasteur
clinic,Clínica ProSalud,-17.3947509,-66.1805459,
clinic,Centro de Flebología LASER,-17.3756922,-66.1638614,Calle Teófilo Vargas
clinic,Nuestra Señora de Lourdes,-17.3881022,-66.1449525,Calle C. D'avis
clinic,Bustillos,-16.5054782,-68.1334753,Calle Heroes del Acre
clinic,Consejo de Salud Rural Andino - Centro de Salud Cruz Roja,-17.3456851,-63.2629454,Calle Bolívar
clinic,Talentum Garden Clinic,-16.5611828,-68.0962713,
clinic,Clínica Luis Morales Arnez,-17.3801742,-66.1418861,Avenida General Galindo
clinic,Clínica de Ojos,-17.386266,-66.1560722,Calle Chuquisaca
clinic,Urkupiña,-17.3980689,-66.2763305,
clinic,,-17.4014358,-66.1535063,Calle Honduras
clinic,Caja Petrolera,-11.0285451,-68.7584831,
clinic,"Instituto Nacional de Neurología, Neurocirugía y Columna Vertebral",-17.3764074,-66.1537997,Calle Potosí
clinic,CIES,-16.5037778,-68.1370976,
clinic,Clinica Boliviana Americana,-17.4011022,-66.153171,Calle San Martín
clinic,Santa Clara,-11.0314417,-68.7739566,Avenida Pando
clinic,Centro de Salud Tarope,-17.7698455,-63.0161263,
clinic,Laboratorio Clínico Sabin,-19.5792706,-65.7554832,
clinic,Las Carmelitas,-20.4604234,-66.8212855,Calle Santa Cruz
clinic,,-18.4130594,-66.5624921,
clinic,Centro de Salud y Bienestar Santa Rosa Lima,-16.4570596,-68.1674861,
clinic,Clinica Los Ángeles,-17.3786859,-66.1645383,Avenida Juan de la Rosa
clinic,PoliClínico 10 de Noviembre,-19.5840657,-65.7582558,
clinic,Instituto Oftalmológico Cochabamba,-17.3859363,-66.1522512,Calle 16 de Julio
clinic,Centro de Salud Lazareto,-17.7837352,-63.1595856,
clinic,Caja Nacional de Salud,-19.0094983,-66.7760172,
clinic,Laboratorio DIAGNOSUR,-21.5322525,-64.7377529,Calle Ramón Rojas
clinic,Clínica Urbarí,-17.7970784,-63.1974749,
clinic,Clínica INCOR,-17.7880461,-63.1951865,
clinic,Clínica Kamiya,-17.7731626,-63.1826674,
clinic,Clínica Atie,-21.534356,-64.7264955,Calle Bolívar
clinic,Centro de Salud,-18.1416398,-63.4799754,
clinic,JC Prado,-16.5554751,-68.2403523,
