amenity,name,latitude,longitude,addr:street
marketplace,Centro Comercial Popular Chiriguano,-17.7905599,-63.2056592,Avenida El Palmar
marketplace,Mercado Centro Camiri,-20.036831,-63.5195041,
marketplace,Feria de Computacion,-17.7880756,-63.1680255,
marketplace,Mercado Abasto,-17.3343057,-63.2507713,
marketplace,,-17.3756776,-66.1856747,
marketplace,Mercado Central,-17.3992707,-63.8243491,
marketplace,Mercado Hinojosa,-16.5033768,-68.1444995,
marketplace,Mercado Municipal Casta Hurtado,-18.1806825,-63.8748006,Calle Arenales
marketplace,Mercado Riberalta,-11.0002458,-66.0777538,
marketplace,Mercado Guadalquivir,-21.532859,-64.7326626,
marketplace,Comercio Hoja de Coca,-16.9959333,-65.2484755,
marketplace,,-16.5228606,-68.1022979,
marketplace,Eco Feria,-17.3880133,-66.146722,
marketplace,Feria de San Pedro,-17.3897762,-66.1436507,
marketplace,Gerónimo de Osorio,-17.3969654,-66.162565,
marketplace,El Miamicito,-17.404737,-66.1549289,
marketplace,Mercado Campesino de San Cristobal,-21.1541148,-67.1646495,
marketplace,Mercado Central,-15.8322448,-67.5673156,
marketplace,,-17.5078977,-63.1676531,
marketplace,,-17.5091562,-63.1671543,
marketplace,,-17.401955,-63.8846647,
marketplace,,-17.4031759,-63.8853808,
marketplace,,-17.4024618,-63.8846888,
marketplace,,-17.4036827,-63.8853701,
marketplace,,-17.4029353,-63.8851233,
marketplace,Mercado Villa Guadalupe,-18.2123538,-65.1863697,
marketplace,Mercado El Trompillo,-17.8003616,-63.1701662,
marketplace,Mercado Huancane,-16.3771955,-67.535885,calle Indaburo
marketplace,Flores,-17.3360384,-66.2242033,
marketplace,Mercado Sopocachi,-16.5094822,-68.1296904,
marketplace,Teofilo Miranda,-16.4972229,-68.1162776,
marketplace,Mercado Villa Armonia,-16.5087127,-68.1105556,
marketplace,7 Calles,-17.7862491,-63.1859825,
marketplace,,-15.4960817,-67.8801282,
marketplace,,-15.4985387,-67.8785756,
marketplace,,-19.797694,-65.9874233,
marketplace,Mercado Madre Nazaria,-11.0352245,-68.7761175,
marketplace,Artesanias en Cerámica,-17.5460229,-65.838721,Cobija
marketplace,Mercado Abasto,-11.0287675,-68.7624211,
marketplace,Mercado Central de Shinahota,-16.9941266,-65.2473179,
marketplace,,-16.4729947,-68.2212784,
marketplace,Amor de Cobre,-16.5313225,-68.1916717,
marketplace,MERCADO SAN JOSE,-16.5303342,-68.1552099,Calle 30 B
marketplace,Mercado Central,-18.1225471,-63.9589713,
marketplace,,-16.9949542,-65.1511006,
marketplace,Mercado Tríangulo,-17.3990058,-66.1502658,
marketplace,Mercado Municipal,-17.407017,-63.7305588,
marketplace,Centro Comercial San José,-17.8626327,-63.2660777,
marketplace,mercado,-17.7985146,-63.2071476,
marketplace,Mercado Campesanal,-19.0332027,-65.2541367,
marketplace,Mercado Central,-17.4591928,-63.6597053,
marketplace,Mercado Soris Kora de Chicani,-16.5005208,-68.0821984,
marketplace,,-17.7779993,-63.1791563,6 de Agosto
marketplace,Mercado Central San Antonio,-17.392628,-66.0587453,Camino Sacaba-Palca
marketplace,Mercado Central,-19.8016652,-63.9545758,
marketplace,Mercado San José,-19.8084919,-63.9591916,
