amenity,name,latitude,longitude,addr:street
pharmacy,Boliviana,-17.394423,-66.15726,Calle Plaza 14 de Septiembre
pharmacy,Cosmos,-17.3939862,-66.1575195,Calle Plaza 14 de Septiembre
pharmacy,,-17.7353071,-65.1908396,
pharmacy,,-17.9412654,-65.3421267,
pharmacy,,-17.5884661,-65.9353823,
pharmacy,,-17.5898815,-65.9346314,
pharmacy,Farmacia Chapare,-16.9720831,-65.4151353,
pharmacy,Farmacorp,-17.7835161,-63.1891392,
pharmacy,Farmacorp,-17.8143953,-63.1824589,
pharmacy,Santa María (Farmacorp),-17.7927779,-63.1844923,
pharmacy,Farmacorp,-17.7943391,-63.179019,
pharmacy,PROSALUD,-17.7907205,-63.2110513,
pharmacy,Litoral,-16.5056224,-68.1619857,
pharmacy,FarmaCorp IC Norte,-17.7730203,-63.2031465,
pharmacy,,-17.3422524,-63.2486116,
pharmacy,,-17.3417301,-63.2489281,
pharmacy,Farmacia San Jorge,-17.8476883,-60.7415012,
pharmacy,Farmacias Gloria,-16.5116497,-68.122393,
pharmacy,Super Farmacia Arce,-16.5102508,-68.1236572,Avenida Arce
pharmacy,Farmacia Unidas,-16.4965341,-68.1396004,
pharmacy,,-20.4646777,-66.824643,
pharmacy,,-20.4641479,-66.826009,
pharmacy,Farmacia Central,-14.8340617,-64.9045792,
pharmacy,Farmacia Zurizadai,-16.3772445,-60.9646675,
pharmacy,,-16.376045,-60.957543,
pharmacy,,-16.3776576,-60.9610602,
pharmacy,Mariely,-17.390935,-66.149189,Avenida Heroínas
pharmacy,,-17.3594893,-66.1714593,
pharmacy,,-16.5277407,-68.0965666,
pharmacy,Super Farmacia,-16.5296479,-68.1001262,Calle 17
pharmacy,,-17.3855168,-66.0982472,
pharmacy,Farmacias Bolivia,-16.5045374,-68.1314466,Calle Landaeta
pharmacy,Cruz Verde,-16.5024263,-68.1373953,
pharmacy,Gamma,-17.3731287,-66.1499948,Avenida América
pharmacy,San Elias,-17.3933542,-66.1509363,Calle 16 de Julio
pharmacy,Chávez,-17.3848789,-66.1584478,
pharmacy,FarmaCorp,-17.3858344,-66.157683,
pharmacy,La Luz I,-17.3896943,-66.1504902,Avenida Oquendo
pharmacy,Farmacorp,-17.3941556,-66.2783178,
pharmacy,Farmacia Eliana,-17.3943667,-66.2801688,
pharmacy,FarmaElías,-17.3736157,-66.1626123,Avenida Libertador Bolivar
pharmacy,,-17.3916966,-66.153323,
pharmacy,,-17.3918707,-66.154168,Avenida Heroínas
pharmacy,Interlab,-16.4955462,-68.1464956,Avenida Mariano Bautista
pharmacy,Farmacia Noe,-16.4958145,-68.1467525,Avenida Mariano Bautista
pharmacy,Farmacia Baptista,-16.4957943,-68.1479291,
pharmacy,FarmaCorp,-17.3734898,-66.1508922,Avenida América
pharmacy,FarmaCorp,-17.3883857,-66.1796687,Avenida d'Orbigny
pharmacy,Tarija,-17.3746418,-66.1426281,Avenida General Galindo
pharmacy,,-17.3830789,-66.1091598,
pharmacy,,-17.3863117,-66.1104714,
pharmacy,FarmaCorp,-17.37144,-66.1755553,Avenida América
pharmacy,Soto,-17.3719744,-66.1759756,Avenida Melchor Perez de Olguín
pharmacy,Cosmos,-17.3835308,-66.1528745,Avenida Salamanca
pharmacy,Farmacia Eliezer,-17.3904856,-66.2411964,
pharmacy,Blanco Galindo,-17.3908613,-66.2507611,
pharmacy,Neyzi,-17.3892999,-66.2527701,Calle 31 de Octubre
pharmacy,Eliezer,-17.3926168,-66.2077453,Avenida Blanco Galindo
pharmacy,Farmacias Bolivia,-17.393726,-66.1840627,
pharmacy,San Cristobal,-17.3915319,-66.2516435,Avenida Blanco Galindo
pharmacy,Lincoln,-17.3702134,-66.1717302,Avenida Abraham Lincoln
pharmacy,Farmacia Andalucía,-17.3863771,-66.1498819,
pharmacy,Farmapolis,-17.3856176,-66.1474724,Avenida Aniceto Arce
pharmacy,,-17.3767025,-66.1727944,
pharmacy,MAXIFarma,-17.3725706,-66.1579183,Avenida América
pharmacy,Margarita,-17.3732129,-66.1570624,
pharmacy,Luz,-16.5050395,-68.1291197,Zapata
pharmacy,Boticario,-17.3901136,-66.1444472,
pharmacy,FarmaCorp,-17.385748,-66.1512677,
pharmacy,Farmatodo,-17.3838391,-66.1516266,
pharmacy,Farmacias Bolivia,-17.3870084,-66.1567054,Avenida Ballivián
pharmacy,Infama,-17.4109563,-66.1653981,Avenida Guillermo Killman
pharmacy,MaxiFarma,-17.3724007,-66.160941,Avenida América
pharmacy,Farmacia Carla,-17.3721386,-66.1500481,
pharmacy,Farmavia 29 de Enero,-20.4576023,-66.8179491,Avenida Ferroviaria
pharmacy,Med Fast,-17.3774052,-66.1541714,
pharmacy,San Elías,-17.3686084,-66.1642522,
pharmacy,FarmaCorp,-17.3937403,-66.1540751,
pharmacy,Aries,-17.3966082,-66.1711215,
pharmacy,San Elías,-17.377738,-66.175856,
pharmacy,Farmacia Maranatha,-17.3840618,-66.1436206,
pharmacy,Social Farma,-17.3905858,-66.154657,
pharmacy,Dr. House,-17.3888109,-66.1451684,Calle José Pol
pharmacy,,-17.3896299,-66.1493548,
pharmacy,San Simón,-17.3915922,-66.1429893,Avenida Belzu
pharmacy,Cruz de Oro,-16.4971807,-68.1487052,General Juan Granier
pharmacy,Suma Kolla,-16.4957475,-68.1487045,
pharmacy,Farmacia Bolivia,-17.603415,-63.135718,
pharmacy,TAYAMAR,-16.5370482,-68.0478116,
pharmacy,Farmacia Candelaria,-18.1998849,-65.1823111,
pharmacy,Farmacia Aiquile,-18.2019595,-65.1799385,
pharmacy,Farmacia Israel,-17.7368279,-63.1610155,
pharmacy,Las Palmeras,-16.1883271,-67.7278186,
pharmacy,LIZ,-16.4767778,-68.1191209,Avenida de las Américas
pharmacy,farmacia natural,-16.4095986,-67.5260163,
pharmacy,FarmaCorp,-17.3913746,-66.2195514,
pharmacy,Farmacia,-17.8303422,-63.1736932,
pharmacy,Farmacia,-17.8312603,-63.1752851,
pharmacy,,-17.8310689,-63.1750548,
pharmacy,Farmacia,-17.8314294,-63.176008,
pharmacy,Farmacia Gloria Los Pinos,-16.5453086,-68.0734293,José Maria Aguirre Acha
pharmacy,Minerva,-17.3849795,-66.1534921,
pharmacy,Farmacias Hipermaxi,-17.8104253,-63.2083469,
pharmacy,Chávez,-17.8050244,-63.2009876,
pharmacy,,-16.4946435,-68.1136754,
pharmacy,Farmacia Enrines,-16.4969098,-68.1162265,
pharmacy,,-16.4979947,-68.115008,
pharmacy,Venus,-16.4956193,-68.11613,Avenida Esteban Arze
pharmacy,Farmacia Virgen del Carmen,-15.4983944,-67.8792282,
pharmacy,Armonía,-17.3526322,-66.1822732,Avenida Circunvalación Beijing
pharmacy,,-17.4200508,-66.1394582,
pharmacy,,-17.4209933,-66.1379485,
pharmacy,,-17.3557801,-66.1863209,Avenida Simón Lopez
pharmacy,,-17.3555381,-66.186621,Avenida Simón Lopez
pharmacy,Señor de Malta,-17.3524179,-66.1906499,Avenida Simón Lopez
pharmacy,Jhon,-17.3538152,-66.1888674,Avenida Simón Lopez
pharmacy,El Descuento,-17.3544814,-66.1880527,Avenida Simón Lopez
pharmacy,Tordoya,-17.3552612,-66.187014,Avenida Simón Lopez
pharmacy,Perez,-17.3581849,-66.1839705,Avenida Simón Lopez
pharmacy,,-17.3607429,-66.1825445,Avenida Simón Lopez
pharmacy,CVCD Farma,-17.3665236,-66.1665667,
pharmacy,Farmacias Bolivar,-17.3927421,-66.15899,Avenida Ayacucho
pharmacy,Boliviana,-17.3928236,-66.1589762,Avenida Ayacucho
pharmacy,,-17.4048485,-66.1669107,
pharmacy,Salud,-17.4068872,-66.1704113,Calle Luis Uriona
pharmacy,,-17.4044237,-66.1805486,
pharmacy,,-17.401778,-66.182182,Avenida Ingavi
pharmacy,,-17.3790518,-66.188213,Avenida Thunupa
pharmacy,,-17.3535868,-66.18859,Avenida Simón Lopez
pharmacy,Portales,-17.3785311,-66.152553,
pharmacy,,-17.3552673,-66.178561,Avenida Circunvalación Beijing
pharmacy,Elias,-17.3590298,-66.1729179,Avenida Circunvalación Beijing
pharmacy,San Severino I,-14.8318826,-64.9043823,Nicolás Suárez
pharmacy,,-17.3589511,-66.1722674,Avenida Circunvalación Beijing
pharmacy,,-17.3587566,-66.1726844,Avenida Circunvalación Beijing
pharmacy,,-17.3578196,-66.1747015,Avenida Circunvalación Beijing
pharmacy,,-17.3570272,-66.1759567,
pharmacy,,-17.3521969,-66.1823062,Avenida Circunvalación Beijing
pharmacy,Quiroz,-17.429288,-66.1510434,Avenida Petrolera
pharmacy,TriniFarma,-14.840253,-64.8999952,Ibare
pharmacy,Sydney,-17.401249,-66.1540736,Calle 25 de Mayo
pharmacy,Lisam,-17.4014908,-66.1527754,Calle Honduras
pharmacy,FarmaElias,-17.3925959,-66.1422598,Avenida Belzu
pharmacy,Salud y Bienestar,-17.4382533,-66.1461902,Avenida Independencia
pharmacy,Leslie,-17.3850474,-66.0981823,
pharmacy,Farmacia Chavez,-17.368125,-66.1635827,Calle Plaza Luis Felipe Guzmán Achá
pharmacy,Paolita,-11.018758,-68.7555683,
pharmacy,El Cristo,-17.3487883,-66.1763719,
pharmacy,Punata,-17.54497,-65.8363302,Plaza 18 de Mayo
pharmacy,Corazon de Jesus,-17.5455742,-65.8365702,Plaza 18 de Mayo
pharmacy,San Juan de Dios,-17.5454762,-65.8360905,Plaza 18 de Mayo
pharmacy,,-17.5441669,-65.8369508,Rafael Urquidi
pharmacy,Farmacia Urkupiña,-18.2000836,-65.1794281,
pharmacy,,-18.2025681,-65.177458,
pharmacy,Farmavida,-17.3839534,-66.1471854,Avenida Papa Paulo
pharmacy,El Dorado,-17.4010515,-66.1540428,
pharmacy,Rioja,-17.3833512,-66.1687444,Avenida Martín de la Rocha
pharmacy,,-17.3818213,-66.1659488,Avenida Felix Aranibar
pharmacy,ACRE,-17.3964564,-66.1790771,
pharmacy,Huellas de Jesus,-17.396253,-66.174435,
pharmacy,Madisson,-17.338086,-66.266039,
pharmacy,Primer Auxilio,-17.338583,-66.2658621,
pharmacy,Pharma Box,-17.3772893,-66.1568144,Avenida Santa Cruz
pharmacy,La Luz,-17.3781217,-66.1539423,
pharmacy,Rosedal,-17.3720173,-66.1723175,
pharmacy,Zafiro,-17.3725423,-66.1645121,
pharmacy,,-17.3607889,-66.1709502,
pharmacy,Genesis,-17.352095,-66.1835267,
pharmacy,Farmacia Angelica,-17.3369752,-66.2178625,Calle Gualberto Villaroel
pharmacy,Farmacia Despertad,-17.3504036,-66.1929622,Avenida Simón Lopez
pharmacy,Jesus Obrero,-17.3547067,-66.1871376,Avenida Simón Lopez
pharmacy,Uriel,-17.3563576,-66.1850278,Avenida Simón Lopez
pharmacy,San Jose,-17.3564369,-66.1854495,
pharmacy,,-17.3385806,-66.2224993,
