Departamento,Alcance,Descripcion del alcance,Latitud,Longitud,Dirección,Tipo de proveedor,Nombre ,Tipo de servicios o productos,Servicios o productos,Dias y horarios de atención,Telefonos,A domicilio,Verificado
Cochabamba,Zonal,Subalcaldía Molle,-17.389389,-66.199381,Av. Juan Pablo II esq. Pedro Cayetano ,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Molle,-17.378163,-66.188111,Av. Thunupa esq.  calle Apurimak,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Molle,-17.387385,-66.182269,Av. Dorbigni esq. Av. Villavicencio,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Molle,-17.381416,-66.198917,Av. Tadeo Haenke esq. Juan Pablo II,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Molle,-17.404163,-66.180518,Av. Ingavi esq. Cornelio  Saavedra,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Molle,-17.388118,-66.179124,Av. Melchor Perez y Av. Dorbigni,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Alejo Calatayud,-17.431635,-66.141808,OTB Nueva Jerusalen,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Alejo Calatayud,-17.444589,-66.125164,Av. Siglo XX esq. Libertad,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Alejo Calatayud,-17.464159,-66.120245,Av. París OTB Nueva Vera Cruz,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Alejo Calatayud,-17.452628,-66.102311,OTB Jarkamayu,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Alejo Calatayud,-17.456380,-66.116872,OTB Gualberto Villarroel,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Alejo Calatayud,-17.468704,-66.110463,OTB Serena Calicanto,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Valle Hermoso,-17.419745,-66.139731,Av. Suecia (Biblio Avión) - D6,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Valle Hermoso,-17.423424,-66.145061,OTB Alto Cochabamba - D8,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Valle Hermoso,-17.422232,-66.118136,"OTB Villa Aguada, OTB Villa Brasil - D7",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Valle Hermoso,-17.420293,-66.114978,OTB Rocas Blancas - D7,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Valle Hermoso,-17.431495,-66.109405,"OTB Yuraj Rumy, OTB Las Peñas - D14",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Valle Hermoso,-17.434705,-66.109413,OTB Colinas de Pasbol - D14,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.403910,-66.166728,Av. Manco Kapac y Av. 27 de agosto,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.398862,-66.164203,"Av. Huayna Kapac, plaza Reforma Agraria",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.393286,-66.161548,"Av. Heroínas, Plaza Gumán Quiton",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.387801,-66.155863,"Calle México, Plaza Colón",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.391064,-66.149985,Av. Heroínas y av. Oquendo,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.393932,-66.141834,Av. Guillermo Urquidi y Av. Belzu,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.390946,-66.138801,Av. Ruben Darío y Parque Noruego,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.381444,-66.142125,Av. Ruben Darío y Av. J. Cruz Torrez,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.380419,-66.150788,Av. Ramon Rivero y pasaje Viscarra,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.382198,-66.151796,Plaza Quintanilla,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.380647,-66.160008,"Av. Libertador Bolivar y Av. Oblitas, Plaza Cordova",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.379127,-66.165380,Av. Juan de la Rosa y Av. Félix Aranibar,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.375397,-66.167472,Parque Franz Tamayo y calle Washington,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.372220,-66.168560,Av. América y Av. Jaime Mendoza ,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.368173,-66.167926,Av. Man Césped y Jaimes Freire,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.368457,-66.163860,"Av. Libertador Bolivar, Plaza Cala Cala",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.365098,-66.162285,Av. Atahuallpa y Av. Circunvalacion ,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.366498,-66.156436,Av. Circunvalación y Av. Santa Cruz,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.367146,-66.149613,Av. Circunvalación y Av. Melchor Urquidi,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.369374,-66.144038,Av. Circunvalación y Parque Jorge Trigo Andia,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Adela Zamudio,-17.373794,-66.142957,"Av. América, Plaza Tarija",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
