Departamento,Alcance,Descripcion del alcance,Latitud,Longitud,Dirección,Tipo de proveedor,Nombre ,Tipo de servicios o productos,Servicios o productos,Dias y horarios de atención,Telefonos,A domicilio,Verificado
Cochabamba,Nacional,Nacional,NA,NA,null,Público,YPFB: entregas de gas a domicilio,Gas,Gas,null,null,Si,Si
Cochabamba,Zonal,Villa Busch,-17.392684,-66.199639,Villa Busch,Informal,Pañales de adulto mayor,Higiene personal,Pañales para adulto mayor,null,72251879 - 4282898,No,Si
Oruro,Municipal,Oruro,NA,NA,null,Microempresa,Radio Taxi de la V,Servicios Móviles,Radio Taxi,null,67205906,No,Si
Oruro,Municipal,Oruro,NA,NA,null,Microempresa,Radio Taxi la pirámide,Servicios Móviles,Radio Taxi,null,5254444,No,SI
Oruro,Municipal,Oruro,NA,NA,null,Microempresa,Radio Taxi el Faro,Servicios Móviles,Radio Taxi,null,5273399,Si,No
Oruro,Municipal,Oruro,NA,NA,null,Microempresa,Radio movil SAS Oruro,Servicios Móviles,Radio Taxi,null,5219999,Si,No
Oruro,Municipal,Oruro,NA,NA,null,Microempresa,Radio Móvil tu piloto,Servicios Móviles,Radio Taxi,null,5266166,No,Si
Oruro,Municipal,Oruro,NA,NA,null,Microempresa,Radio Movil Tours Forever,Servicios Móviles,Radio Taxi,null,8421114,No,Si
Pando,Municipal,Cobija,NA,NA,null,Microempresa,Servicio Urbano Radio Taxi,Servicios Móviles,Radio Taxi,null,8421588,No,Si
Pando,Municipal,Pando,NA,NA,null,Microempresa,Expreso departamental,Servicios Móviles,Radio Taxi,null,null,Si,No
Beni,Municipal,Trinidad,NA,NA,null,Microempresa,Radio Movil Vial Trinidad,Servicios Móviles,Radio Taxi,null,null,Si,No
Beni,Municipal,Trinidad,NA,NA,null,Microempresa,Radio Taxi German Busch,Servicios Móviles,Radio Taxi,null,null,Si,No
Cochabamba,Municipal,Cochabamba,NA,NA,Av. General Galindo,Microempresa,Radio Taxi Jardín,Servicios Móviles,Radio Taxi,null,4241111,No,Si
Cochabamba,Municipal,Cochabamba,-17.371774,-66.150484,Calle Potosí,Microempresa,Radio Taxi H,Servicios Móviles,Radio Taxi,null,4455120,Si,No
Cochabamba,Municipal,Cochabamba,-17.361546,-66.160843,Felix Lopez de la Vega,Microempresa,Radio Movil HOLIDAY KANTUTA,Servicios Móviles,Radio Taxi,null,4293777,Si,No
Cochabamba,Municipal,Cochabamba,NA,NA,Oeste,Microempresa,Cochabamba,Servicios Móviles,Radio Taxi,null,65366001,Si,No
Cochabamba,Municipal,Cochabamba,-17.376329,-66.187595,Av. Thunupa,Microempresa,Radio Movil Aranjuez,Servicios Móviles,Radio Taxi,null,4241212,Si,No
Cochabamba,Municipal,Cochabamba,-17.397834,-66.137910,"Av. 9 de abril, Cochabamba",Microempresa,Radio Taxi Ejecutivo,Servicios Móviles,Radio Taxi,null,4225050,Si,No
Cochabamba,Municipal,Cochabamba,-17.385807,-66.141854,Av. Papa Paulo,Microempresa,Radio Movil Incacollo,Servicios Móviles,Radio Taxi,null,4200355,Si,No
Cochabamba,Municipal,Cochabamba,-17.384349,-66.168059,Av. Tadeo Haenke. no. 1450,Microempresa,Verdecio,Servicios Móviles,Radio Taxi,null,4280000,No,Si
Cochabamba,Municipal,Cochabamba,-17.367135,-66.133661,null,Microempresa,PERZEO,Servicios Móviles,Radio Taxi,null,76991360,No,Si
Cochabamba,Municipal,Cochabamba,-17.365238,-66.161960,null,Microempresa,Taxi Ciudad Digital,Servicios Móviles,Radio Taxi,null,61782828,Si,PC
Cochabamba,Municipal,Cochabamba,NA,NA,Manuel Marin no. 1021,Microempresa,Movil,Servicios Móviles,Radio Taxi,null,4200520,Si,No
La Paz,Zonal,Calacoto,-16.539065,-68.075553,Av. Gral Ballivian esq. Muñoz Reyes No. 80 Zona Calacoto,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106006 - 72072300,No,Si
La Paz,Zonal,San Pedro,-16.504065,-68.133668,"Av. 20 de Octubre esq. Machicado No. 434, Zona San Pedro",Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106007 - 72072300,No,Si
La Paz,Zonal,Entre Ríos,-16.498887,-68.152085,"Av. Entre Ríos esq. Ayata No. 1349, Zona el Tejar",Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106008 - 72072300,No,Si
Oruro,Zonal,Morela,NA,NA,Av. 6 de Octubre esq. Héroes del Chaco,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106009 - 72072300,No,Si
Santa Cruz,Zonal,Cuarto Anillo,NA,NA,Carretera SC-CBBA Km 3 1/2 Zona Cuarto Anillo,Empresa,YPFB,Gas,Venta de Garrafas de GLP,null,800106010 - 72072300,No,Si
