departamento,provincia,municipio,codigo_municipio,codigo,nombre,urbano-rural,camas,latitude,longitude,subsector,tipo,nivel,telefono
Chuquisaca,Oropeza,Sucre,10101,100001,C.S. Cossmil,urbano,0,-19.054669,-65.268052,seguridad social (cajas),centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100002,Arabate,rural,0,-19.087345000000003,-65.148389,publico,puesto de salud,1,72891285
Chuquisaca,Oropeza,Sucre,10101,100003,Caja Petrolera,urbano,24,-19.037249,-65.25990300000001,seguridad social (cajas),hospital segundo nivel,2,0
Chuquisaca,Oropeza,Sucre,10101,100004,C.S.C.I.E.S. Sucre,urbano,0,-19.035306,-65.25369599999999,organismos no gubernamentales,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100005,Inst.Psicopedagogico,urbano,25,-19.046128,-65.275705,publico,instituto especializado,3,0
Chuquisaca,Oropeza,Sucre,10101,100006,Hosp.Gineco Obstetrico,urbano,66,-19.045279,-65.268233,publico,instituto especializado,3,0
Chuquisaca,Oropeza,Sucre,10101,100007,Hosp.Gastroenterologico,urbano,30,-19.045709,-65.268136,publico,instituto especializado,3,0
Chuquisaca,Oropeza,Sucre,10101,100008,C.S.Cons. Sagrada Familia,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100009,C.S.Its-Sida,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100010,Villa Rosario,urbano,0,-19.057471,-65.271051,publico,centro salud,1,6435239
Chuquisaca,Oropeza,Sucre,10101,100011,Barrio Japon,urbano,0,-19.051586,-65.233172,publico,centro salud,1,6438870
Chuquisaca,Oropeza,Sucre,10101,100012,C.S. Maria Auxiliadora,urbano,0,-19.032808,-65.254339,iglesia,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100013,San Antonio Alto (Chq),urbano,0,-19.050836,-65.244191,publico,centro salud,1,6480152
Chuquisaca,Oropeza,Sucre,10101,100014,San Jose (Chq),urbano,0,-19.054315,-65.24955,publico,centro salud,1,6421104
Chuquisaca,Oropeza,Sucre,10101,100015,C.S. Med.Barrio San Jose,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100016,San Roque,urbano,0,-19.053434,-65.263725,publico,centro salud,1,6441042
Chuquisaca,Oropeza,Sucre,10101,100017,C.S.Med.Barrio Santa Barbara,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100018,Villa Copacabana,urbano,0,-19.065462,-65.244652,publico,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100019,Clinica San Cristobal,urbano,15,-19.045609,-65.261718,seguridad social (cajas),hospital segundo nivel,2,0
Chuquisaca,Oropeza,Sucre,10101,100020,Clinica Del Sur,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100021,Hosp.Mons. Jesus Perez,urbano,0,-19.051035,-65.255573,organismos privados,hospital segundo nivel,2,0
Chuquisaca,Oropeza,Sucre,10101,100022,C.S. Maria Estopes Sucre,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100023,C.S. Clinica Copacabana,urbano,0,-19.050693,-65.265617,seguridad social (cajas),centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100024,C. S. Iptk Central,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100025,Cantu Molino,rural,1,-18.862345,-65.235389,publico,centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100026,Chaunaca,rural,2,-18.991345000000003,-65.435389,publico,puesto de salud,1,67142989
Chuquisaca,Oropeza,Sucre,10101,100027,Chuqui Chuqui,rural,3,-18.833345,-65.120389,publico,centro salud,1,72864783
Chuquisaca,Oropeza,Sucre,10101,100028,C.S. Policlinico 35,urbano,0,-19.048097,-65.264325,seguridad social (cajas),centro salud,1,0
Chuquisaca,Oropeza,Sucre,10101,100029,C.S.Banca Privada,urbano,0,0.0,0.0,,,,0
Chuquisaca,Oropeza,Sucre,10101,100030,Hosp.Santa Barbara,urbano,196,-19.044667,-65.262742,publico,hospital general,3,0
Chuquisaca,Oropeza,Sucre,10101,100031,El Chaco,rural,1,-18.889345000000002,-65.111389,publico,centro salud,1,73417543
