Departamento,Tipo,Nombre ,Direccion,Telefono,Latitud,Longitud,Fuente
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Juan Pablo II esq. Pedro Cayetano ,4 4258030,-17.389389,-66.199381,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Thunupa esq.  calle Apurimak,4 4258030,-17.378163,-66.188111,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Dorbigni esq. Av. Villavicencio,4 4258030,-17.387385,-66.182269,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Tadeo Haenke esq. Juan Pablo II,4 4258030,-17.381416,-66.198917,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Ingavi esq. Cornelio  Saavedra,4 4258030,-17.404163,-66.180518,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Melchor Perez y Av. Dorbigni,4 4258030,-17.388118,-66.179124,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,OTB Nueva Jerusalen,4 4258030,-17.431635,-66.141808,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Siglo XX esq. Libertad,4 4258030,-17.444589,-66.125164,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. París OTB Nueva Vera Cruz,4 4258030,-17.464159,-66.120245,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,OTB Jarkamayu,4 4258030,-17.452628,-66.102311,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,OTB Gualberto Villarroel,4 4258030,-17.456380,-66.116872,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,OTB Serena Calicanto,4 4258030,-17.468704,-66.110463,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Suecia (Biblio Avión) - D6,4 4258030,-17.419745,-66.139731,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,OTB Alto Cochabamba - D8,4 4258030,-17.423424,-66.145061,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,"OTB Villa Aguada, OTB Villa Brasil - D7",4 4258030,-17.422232,-66.118136,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,OTB Rocas Blancas - D7,4 4258030,-17.420293,-66.114978,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,"OTB Yuraj Rumy, OTB Las Peñas - D14",4 4258030,-17.431495,-66.109405,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,OTB Colinas de Pasbol - D14,4 4258030,-17.434705,-66.109413,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Manco Kapac y Av. 27 de agosto,4 4258030,-17.403910,-66.166728,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,"Av. Huayna Kapac, plaza Reforma Agraria",4 4258030,-17.398862,-66.164203,web
