Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
437,Beni,ServiciosFinancieros,BANCO UNION,CALLE BALLIVIAN SN,NA,NA,NA,web
438,Beni,ServiciosFinancieros,BANCO UNION,CFEDERICO ROMAN FRENTE PLAZA PRINCIPAL GERMAN,NA,NA,NA,web
439,Beni,ServiciosFinancieros,BANCO UNION,Calle Luis Suarez esq. nataniel Garcia,NA,NA,NA,web
440,Beni,ServiciosFinancieros,BANCO UNION,CALLE SUCRE ESQ. 18 DE NOVIEMBRE,NA,NA,NA,web
441,Beni,ServiciosFinancieros,BANCO UNION,INTERSECCION DE LAS C/JUAN DE DIOS MARTINEZ Y MED,NA,NA,NA,web
442,Beni,ServiciosFinancieros,CIDRE IFD,AV. NICOLAS SUAREZ N 481 CASI ESQUIna MEDARDO CHA,NA,NA,NA,web
443,Beni,ServiciosFinancieros,COOP.LA MERCED,Av.Nicolas Suarez esq placido mendez frente a la,NA,NA,NA,web
444,Beni,ServiciosFinancieros,IDEPRO,AV. MAXIMO HENICKEN S/N. RIBERALTA,NA,NA,NA,web
445,Beni,ServiciosFinancieros,PRO-MUJER,Av. Placido Mendez y Gabriel Rene Moreno,NA,NA,NA,web
446,Beni,ServiciosFinancieros,BANCO UNION,AV. COMERCIO ENTRE CALLE VACA DIEZ Y SANTA CRUZ,NA,NA,NA,web
447,Beni,ServiciosFinancieros,DIACONIA,Calle Bolivar Nro . 32,NA,NA,NA,web
448,Beni,ServiciosFinancieros,BANCO UNION,C/LA PAZ MEDIA CUADRA DEL LADO SUR DE LA PLAZA 10,NA,NA,NA,web
449,Beni,ServiciosFinancieros,CACTRI,PLAZA PRINCIPAL ACERA NORTE,NA,NA,NA,web
450,Beni,ServiciosFinancieros,DIACONIA,C/ ANTOFAGASTA ENTRE SUCRE Y TARIJA S/N,NA,NA,NA,web
451,Beni,ServiciosFinancieros,BANCO UNION,C Santisteban S frente plaza principal 31 de Julio,NA,NA,NA,web
452,Beni,ServiciosFinancieros,BANCO UNION,Av.Padre Alfonso Elorriaga entre 18deNoviembre y,NA,NA,NA,web
