Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
816,Cochabamba,Farmacia,Farmacorp,NA,4524244,NA,NA,web
817,Cochabamba,Farmacia,Chavez,NA,69430074-4522252,NA,NA,web
818,Cochabamba,Farmacia,Dosis Farma,NA,70730486,NA,NA,web
819,Cochabamba,Farmacia,Zurich,NA,65707053,NA,NA,web
3894,NA,Farmacia,Boliviana,Calle Plaza 14 de Septiembre,NA,-17.394423,-66.15726,osm
3895,NA,Farmacia,Cosmos,Calle Plaza 14 de Septiembre,NA,-17.3939862,-66.1575195,osm
3896,NA,Farmacia,NA,NA,NA,-17.7353071,-65.1908396,osm
3897,NA,Farmacia,NA,NA,NA,-17.9412654,-65.3421267,osm
3898,NA,Farmacia,NA,NA,NA,-17.5884661,-65.9353823,osm
3899,NA,Farmacia,NA,NA,NA,-17.5898815,-65.9346314,osm
3900,NA,Farmacia,Farmacia Chapare,NA,NA,-16.9720831,-65.4151353,osm
3901,NA,Farmacia,Farmacorp,NA,NA,-17.7835161,-63.1891392,osm
3902,NA,Farmacia,Farmacorp,NA,NA,-17.8143953,-63.1824589,osm
3903,NA,Farmacia,Santa María (Farmacorp),NA,NA,-17.7927779,-63.1844923,osm
3904,NA,Farmacia,Farmacorp,NA,NA,-17.7943391,-63.179019,osm
3905,NA,Farmacia,PROSALUD,NA,NA,-17.7907205,-63.2110513,osm
3906,NA,Farmacia,Litoral,NA,NA,-16.5056224,-68.1619857,osm
3907,NA,Farmacia,FarmaCorp IC Norte,NA,NA,-17.7730203,-63.2031465,osm
3908,NA,Farmacia,NA,NA,NA,-17.3422524,-63.2486116,osm
3909,NA,Farmacia,NA,NA,NA,-17.3417301,-63.2489281,osm
3910,NA,Farmacia,Farmacia San Jorge,NA,NA,-17.8476883,-60.7415012,osm
3911,NA,Farmacia,Farmacias Gloria,NA,NA,-16.5116497,-68.122393,osm
3912,NA,Farmacia,Super Farmacia Arce,Avenida Arce,NA,-16.5102508,-68.1236572,osm
3913,NA,Farmacia,Farmacia Unidas,NA,NA,-16.4965341,-68.1396004,osm
3914,NA,Farmacia,NA,NA,NA,-20.4646777,-66.824643,osm
3915,NA,Farmacia,NA,NA,NA,-20.4641479,-66.826009,osm
3916,NA,Farmacia,Farmacia Central,NA,NA,-14.8340617,-64.9045792,osm
3917,NA,Farmacia,Farmacia Zurizadai,NA,NA,-16.3772445,-60.9646675,osm
3918,NA,Farmacia,NA,NA,NA,-16.376045,-60.957543,osm
3919,NA,Farmacia,NA,NA,NA,-16.3776576,-60.9610602,osm
3920,NA,Farmacia,Mariely,Avenida Heroínas,NA,-17.390935,-66.149189,osm
3921,NA,Farmacia,NA,NA,NA,-17.3594893,-66.1714593,osm
3922,NA,Farmacia,NA,NA,NA,-16.5277407,-68.0965666,osm
3923,NA,Farmacia,Super Farmacia,Calle 17,NA,-16.5296479,-68.1001262,osm
3924,NA,Farmacia,NA,NA,NA,-17.3855168,-66.0982472,osm
3925,NA,Farmacia,Farmacias Bolivia,Calle Landaeta,NA,-16.5045374,-68.1314466,osm
3926,NA,Farmacia,Cruz Verde,NA,NA,-16.5024263,-68.1373953,osm
3927,NA,Farmacia,Gamma,Avenida América,NA,-17.3731287,-66.1499948,osm
3928,NA,Farmacia,San Elias,Calle 16 de Julio,NA,-17.3933542,-66.1509363,osm
3929,NA,Farmacia,Chávez,NA,NA,-17.3848789,-66.1584478,osm
3930,NA,Farmacia,FarmaCorp,NA,NA,-17.3858344,-66.157683,osm
3931,NA,Farmacia,La Luz I,Avenida Oquendo,NA,-17.3896943,-66.1504902,osm
3932,NA,Farmacia,Farmacorp,NA,NA,-17.3941556,-66.2783178,osm
3933,NA,Farmacia,Farmacia Eliana,NA,NA,-17.3943667,-66.2801688,osm
3934,NA,Farmacia,FarmaElías,Avenida Libertador Bolivar,NA,-17.3736157,-66.1626123,osm
3935,NA,Farmacia,NA,NA,NA,-17.3916966,-66.153323,osm
3936,NA,Farmacia,NA,Avenida Heroínas,NA,-17.3918707,-66.154168,osm
3937,NA,Farmacia,Interlab,Avenida Mariano Bautista,NA,-16.4955462,-68.1464956,osm
3938,NA,Farmacia,Farmacia Noe,Avenida Mariano Bautista,NA,-16.4958145,-68.1467525,osm
3939,NA,Farmacia,Farmacia Baptista,NA,NA,-16.4957943,-68.1479291,osm
3940,NA,Farmacia,FarmaCorp,Avenida América,NA,-17.3734898,-66.1508922,osm
3941,NA,Farmacia,FarmaCorp,Avenida d'Orbigny,NA,-17.3883857,-66.1796687,osm
3942,NA,Farmacia,Tarija,Avenida General Galindo,NA,-17.3746418,-66.1426281,osm
3943,NA,Farmacia,NA,NA,NA,-17.3830789,-66.1091598,osm
3944,NA,Farmacia,NA,NA,NA,-17.3863117,-66.1104714,osm
3945,NA,Farmacia,FarmaCorp,Avenida América,NA,-17.37144,-66.1755553,osm
3946,NA,Farmacia,Soto,Avenida Melchor Perez de Olguín,NA,-17.3719744,-66.1759756,osm
3947,NA,Farmacia,Cosmos,Avenida Salamanca,NA,-17.3835308,-66.1528745,osm
3948,NA,Farmacia,Farmacia Eliezer,NA,NA,-17.3904856,-66.2411964,osm
3949,NA,Farmacia,Blanco Galindo,NA,NA,-17.3908613,-66.2507611,osm
3950,NA,Farmacia,Neyzi,Calle 31 de Octubre,NA,-17.3892999,-66.2527701,osm
3951,NA,Farmacia,Eliezer,Avenida Blanco Galindo,NA,-17.3926168,-66.2077453,osm
3952,NA,Farmacia,Farmacias Bolivia,NA,NA,-17.393726,-66.1840627,osm
3953,NA,Farmacia,San Cristobal,Avenida Blanco Galindo,NA,-17.3915319,-66.2516435,osm
3954,NA,Farmacia,Lincoln,Avenida Abraham Lincoln,NA,-17.3702134,-66.1717302,osm
3955,NA,Farmacia,Farmacia Andalucía,NA,NA,-17.3863771,-66.1498819,osm
3956,NA,Farmacia,Farmapolis,Avenida Aniceto Arce,NA,-17.3856176,-66.1474724,osm
3957,NA,Farmacia,NA,NA,NA,-17.3767025,-66.1727944,osm
3958,NA,Farmacia,MAXIFarma,Avenida América,NA,-17.3725706,-66.1579183,osm
3959,NA,Farmacia,Margarita,NA,NA,-17.3732129,-66.1570624,osm
3960,NA,Farmacia,Luz,Zapata,NA,-16.5050395,-68.1291197,osm
3961,NA,Farmacia,Boticario,NA,NA,-17.3901136,-66.1444472,osm
3962,NA,Farmacia,FarmaCorp,NA,NA,-17.385748,-66.1512677,osm
3963,NA,Farmacia,Farmatodo,NA,NA,-17.3838391,-66.1516266,osm
3964,NA,Farmacia,Farmacias Bolivia,Avenida Ballivián,NA,-17.3870084,-66.1567054,osm
