Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
829,La Paz,ServiciosLegales,FELCV-La Paz,NA,61000523-67008570,NA,NA,web
830,La Paz,ServiciosLegales,FELCV-El Alto,NA,72042202,NA,NA,web
831,Cochabamba,ServiciosLegales,FELCV-Cochabamba,NA,60707069,NA,NA,web
832,Santa Cruz,ServiciosLegales,FELCV-Santa Cruz,NA,72048864,NA,NA,web
833,Oruro,ServiciosLegales,FELCV-Oruro,NA,62805818,NA,NA,web
834,Potosí,ServiciosLegales,FELCV-Potosi,NA,72042570,NA,NA,web
835,Chuquisaca,ServiciosLegales,FELCV-Sucre,NA,72042698,NA,NA,web
836,Tarija,ServiciosLegales,FELCV-Tarija,NA,78241690,NA,NA,web
837,Beni,ServiciosLegales,FELCV-Trinidad,NA,72042202,NA,NA,web
838,Pando,ServiciosLegales,FELCV-Cobija,NA,72042740,NA,NA,web
839,La Paz,ServiciosLegales,Servicios legales Municipales,NA,156 - 800104100,NA,NA,web
840,La Paz,ServiciosLegales,Servicios legales Municipales,NA,156 - 69952322 - 69900536,NA,NA,web
841,Cochabamba,ServiciosLegales,Servicios legales Municipales,NA,80014205 - 76425835,NA,NA,web
842,Santa Cruz,ServiciosLegales,Servicios legales Municipales,NA,156 - 70960050 - 70060050,NA,NA,web
843,Oruro,ServiciosLegales,Servicios legales Municipales,NA,68351338,NA,NA,web
844,Potosí,ServiciosLegales,Servicios legales Municipales,NA,72426236,NA,NA,web
845,Chuquisaca,ServiciosLegales,Servicios legales Municipales,NA,77114241,NA,NA,web
846,Tarija,ServiciosLegales,Servicios legales Municipales,NA,800140348,NA,NA,web
847,Beni,ServiciosLegales,Servicios legales Municipales,NA,69376262,NA,NA,web
848,Pando,ServiciosLegales,Servicios legales Municipales,NA,75104501,NA,NA,web
