Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
7150,Santa Cruz,Mercado,Mercadito 2 de Agosto,Santa Cruz de la Sierra,NA,-17.7339537001,-63.1430012004,gamsc
7151,Santa Cruz,Mercado,Mercado las Pampitas,"Av. Las Pampas, Santa Cruz de la Sierra",NA,-17.7691436996,-63.1223247004,gamsc
7152,Santa Cruz,Mercado,Mercado LIBERTAD,"Calle Jorori, Santa Cruz de la Sierra",NA,-17.7418531002,-63.0865537995,gamsc
7153,Santa Cruz,Mercado,Mercado Panamericano,Santa Cruz de la Sierra,NA,-17.7444868997,-63.1134466002,gamsc
7154,Santa Cruz,Mercado,"Mercado Modelo ""Cortez""",Santa Cruz de la Sierra,NA,-17.8897895003,-63.1786824001,gamsc
7155,Santa Cruz,Mercado,MUTUALISTA 8000 MT.,NA,NA,-17.7628911834,-63.1618285901,gamsc
7156,Santa Cruz,Mercado,CENTRO DE ABASTECIMIENTO( Mercado El Dorado Norte),"000, Santa Cruz de la Sierra",NA,-17.7353822999,-63.0981818003,gamsc
7157,Santa Cruz,Mercado,Mercado 21 De MAYO (ARROYITO),"Av Arroyito, Santa Cruz de la Sierra",NA,-17.8196527997,-63.1065447004,gamsc
7158,Santa Cruz,Mercado,NUEVO PALMAR mercado parada 15,"Nuevo Palmar 23, Santa Cruz de la Sierra",NA,-17.87019,-63.1642399999,gamsc
7159,Santa Cruz,Mercado,Mercado La Morita,C/ Francisco Kempff y Armando Jordan,NA,-17.8164584746,-63.1878008563,gamsc
7160,Santa Cruz,Mercado,Mercado Santa Rosa,NA,NA,-17.807252588,-63.1969199362,gamsc
7161,Santa Cruz,Mercado,Pro Mayor,NA,NA,-17.7892133334,-63.1506589906,gamsc
7162,Santa Cruz,Mercado,"Mercado ""EL PARAISO""",Santa Cruz de la Sierra,NA,-17.8552351996,-63.1992997996,gamsc
7163,Santa Cruz,Mercado,Mercado La Ramada Centro,NA,NA,-17.7939026849,-63.1873100374,gamsc
7164,Santa Cruz,Mercado,Mercado Modelo Plan 3000 - MERCADO SAN AURELIO,Santa Cruz de la Sierra,NA,-17.8221431,-63.1469843004,gamsc
7165,Santa Cruz,Mercado,"Mercado Plan 3000 ""COPACABAna""",Av. El Mechero,NA,-17.8260678136,-63.1262571583,gamsc
7166,Santa Cruz,Mercado,Mercado  Los Pozos,entre C/ 6 Agosto C/Quijarro y Campero,NA,-17.7785071392,-63.1775714383,gamsc
7167,Santa Cruz,Mercado,Mercado Chacarilla,NA,NA,-17.7727990317,-63.1507361317,gamsc
7168,Santa Cruz,Mercado,Mercado Mutualista,NA,NA,-17.7637184699,-63.1609653506,gamsc
7169,Santa Cruz,Mercado,Mercado Ramafa,Av. Fuerza Aerea Boliviana y Tumpa,NA,-17.8076669385,-63.1809161316,gamsc
7170,Santa Cruz,Mercado,Mercado Miraflores,Av. 3 pasos al frente y C/ 13 este,NA,-17.8002605199,-63.1304016971,gamsc
7171,Santa Cruz,Mercado,Mercado 7 Calles,entre C/ Vallegrande C/ Isabel La Catolica,NA,-17.7864042948,-63.1857869095,gamsc
7172,Santa Cruz,Mercado,Mercado La Ramada,C/Suto Esq. C/Amboro,NA,-17.7947504393,-63.1907251535,gamsc
7173,Santa Cruz,Mercado,Mercado San Luis,2 anillo Av. Roca yCoronado,NA,-17.7838437198,-63.195343363,gamsc
7174,Santa Cruz,Mercado,Mercado 4 de Noviembre,Av. Centenario  y 3 anillo,NA,-17.7784488021,-63.202899528,gamsc
7175,Santa Cruz,Mercado,Mercado El Trompillo,C/José Mercado Aguado,NA,-17.8004193998,-63.1702197631,gamsc
7176,Santa Cruz,Mercado,Mercado Coarco,entre C/12 este C/ 13 este,NA,-17.7981137224,-63.1325960689,gamsc
7177,Santa Cruz,Mercado,Mercado Belen,Radial 26 C/ Los Guapos,NA,-17.7551129188,-63.1882656918,gamsc
7178,Santa Cruz,Mercado,Mercado 12 de Octubre,C/ 8 y Antonio Vicente Ardaya,NA,-17.7548791139,-63.1796082071,gamsc
7179,Santa Cruz,Mercado,Mercado Santa Rosa,3er anillo yAv.Prefecto R.,NA,-17.8109145447,-63.1895334231,gamsc
7180,Santa Cruz,Mercado,Mercado El Progreso,NA,NA,-17.8232672755,-63.1360720137,gamsc
7181,Santa Cruz,Mercado,Mercado Guapurú,Santa Cruz de la Sierra,NA,-17.8514883001,-63.0994603001,gamsc
7182,Santa Cruz,Mercado,Mercado La Campana,"Unnamed Road, Santa Cruz de la Sierra",NA,-17.8181695004,-63.1181657001,gamsc
7183,Santa Cruz,Mercado,Mercado Los Pocitos,"Entel - Plan 3000, Santa Cruz de la Sierra",NA,-17.8414924004,-63.1105622998,gamsc
7184,Santa Cruz,Mercado,Mercado Max Fernandez,Santa Cruz de la Sierra,NA,-17.8679625004,-63.1950069002,gamsc
7185,Santa Cruz,Mercado,Mercado Municipal La Cuchilla,"Avenida Moscú, Santa Cruz de la Sierra",NA,-17.8262972996,-63.2015669003,gamsc
7186,Santa Cruz,Mercado,Mercado 25 Mayo,Santa Cruz de la Sierra,NA,-17.8367570004,-63.2391344997,gamsc
7187,Santa Cruz,Mercado,Mercado De Alto San Pedro De Comestibles y Material De Ferreteria,"Av Roque Aguilera y, Santa Cruz de la Sierra",NA,-17.8108333001,-63.1894443997,gamsc
7188,Santa Cruz,Mercado,Mercado el Fuerte,"Av El Fuerte, Santa Cruz de la Sierra",NA,-17.8472035003,-63.1478262,gamsc
