Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
5650,La Paz,Feria,Alberto Ostria,A. Jaimes Freire,NA,-68.1375886986623,-16.5157203740243,gamlp
5651,La Paz,Feria,Zoilo Flores,Calle Zoilo Flores esq alm grau,NA,-68.1392973444214,-16.5060844723826,gamlp
5652,La Paz,Feria,Luis Lara,Calle Luis Lara,NA,-68.1402080461616,-16.5019555249435,gamlp
5653,La Paz,Feria,Benancio Burgoa,Calle Rodriguez,NA,-68.1379637755369,-16.4982153780019,gamlp
5654,La Paz,Feria,Sagarnaga,General Gonzales y sagarnaga,NA,-68.139742491924,-16.4996002688158,gamlp
5655,La Paz,Feria,Eloy Salmon,Antonio Gallardo,NA,-68.1439685841496,-16.4991584243476,gamlp
5656,La Paz,Feria,Munaypata,Av. Florida,NA,-68.1604068048298,-16.4870326005698,gamlp
5657,La Paz,Feria,Miguel Aparicio,Av. Tejada Sorzano,NA,-68.1276062836771,-16.4857102624299,gamlp
5658,La Paz,Feria,31 de octubre,Av. 31 de octubre,NA,-68.1163416911957,-16.4903122595496,gamlp
5659,La Paz,Feria,Ciudad del Niño,Av. Ciudad del Niño,NA,-68.0983614508736,-16.4932776346762,gamlp
5660,La Paz,Feria,Las Nieves,Av. Las Nieves,NA,-68.0988804006263,-16.4968385508137,gamlp
5661,La Paz,Feria,8 de Calacoto,Calle 8 de Calacoto,NA,-68.0919505077402,-16.5417811227966,gamlp
5662,La Paz,Feria,Costanerita,Av. Costanerita,NA,-68.111512435325,-16.5269022168719,gamlp
5663,La Paz,Feria,21 de Calacoto,Av. 21 de Calacoto,NA,-68.0770568993203,-16.544179242047,gamlp
5664,La Paz,Feria,Max Portugal,Av. Max Portugal,NA,-68.1072960184021,-16.5203870597279,gamlp
5665,La Paz,Feria,Achumani,Calle 15 Achumani,NA,-68.0739728197938,-16.5318197131699,gamlp
5666,La Paz,Feria,Bolivar,Mercado Bolivar,NA,-68.141659029728,-16.5133257578728,gamlp
5667,La Paz,Feria,Stronguest,Mercado Stronguest,NA,-68.1395159666725,-16.5160078869406,gamlp
