Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
977,Cochabamba,CentroMedico,C.S. Alalay,NA,NA,-17.421917,-66.137409,rmk
978,Cochabamba,CentroMedico,C.S. ALTO COCHABAMBA,NA,NA,-17.424687,-66.14913,rmk
979,Cochabamba,CentroMedico,HOSPITAL MATERNOLOGICO GERMAN URQUIDI,NA,NA,-17.386659,-66.148535,rmk
980,Cochabamba,CentroMedico,HOSPITAL PEDIATRICO M.A. VILLARROEL,NA,NA,-17.386174,-66.148265,rmk
981,Cochabamba,CentroMedico,C.S. BEATO SALOMON,NA,NA,-17.360823,-66.174445,rmk
982,Cochabamba,CentroMedico,C.S. CERRO VERDE,NA,NA,-17.414987,-66.143665,rmk
983,Cochabamba,CentroMedico,C.S. CHAVEZ RANCHO,NA,NA,-17.394885,-66.190366,rmk
984,Cochabamba,CentroMedico,C.S. CHIMBA,NA,NA,-17.405736,-66.181741,rmk
985,Cochabamba,CentroMedico,INST. GASTROENTEROLOGICO BOLIVIANO-JAPONES,NA,NA,-17.38619,-66.149165,rmk
986,Cochabamba,CentroMedico,INSTITUTO PSIQUIATRICO SAN JUAN DE DIOS,NA,NA,-17.391663,-66.231215,rmk
987,Cochabamba,CentroMedico,C.S. CONDEBAMBA,NA,NA,-17.357187,-66.177832,rmk
988,Cochabamba,CentroMedico,C.S. JAIHUAYCO,NA,NA,-17.416873,-66.162925,rmk
989,Cochabamba,CentroMedico,C.S. KAnaTA,NA,NA,-17.413307,-66.15923,rmk
990,Cochabamba,CentroMedico,C.S. LA MAICA,NA,NA,-17.416621,-66.194587,rmk
991,Cochabamba,CentroMedico,C.S. LACMA,NA,NA,-17.434458,-66.156,rmk
992,Cochabamba,CentroMedico,C.S. VILLA ISRAEL PUCARA,NA,NA,-17.486039,-66.172578,rmk
993,Cochabamba,CentroMedico,C.S. PUCARITA,NA,NA,-17.451883,-66.201474,rmk
994,Cochabamba,CentroMedico,C.S. ESPAÑA,NA,NA,-17.457509,-66.156144,rmk
995,Cochabamba,CentroMedico,C.S. SARCOBAMBA,NA,NA,-17.378976,-66.188432,rmk
996,Cochabamba,CentroMedico,C.S. SEBASTIAN PAGADOR,NA,NA,-17.441744,-66.116309,rmk
997,Cochabamba,CentroMedico,C.S. TEMPORAL,NA,NA,-17.360313,-66.158141,rmk
998,Cochabamba,CentroMedico,C.S. TICTI NORTE,NA,NA,-17.34974,-66.170602,rmk
999,Cochabamba,CentroMedico,HOSPITAL VIEDMA,NA,NA,-17.385814,-66.148868,rmk
1000,Cochabamba,CentroMedico,C.S. GLORIA ALTO BUEna VISTA,NA,NA,-17.469836,-66.156082,rmk
1001,Cochabamba,CentroMedico,C.S. SENNFELD,NA,NA,-17.406438,-66.152585,rmk
1002,Cochabamba,CentroMedico,C.S. VILLA MARIA,NA,NA,-17.394,-66.28,rmk
1003,Cochabamba,CentroMedico,C.S. EL PASO,NA,NA,-17.334,-66.266,rmk
1004,Cochabamba,CentroMedico,C.S. IRONCOLLO,NA,NA,-17.368,-66.283,rmk
1005,Cochabamba,CentroMedico,C.S. KAUSAY,NA,NA,-17.372,-66.258,rmk
1006,Cochabamba,CentroMedico,C.S. DISTRITO 3,NA,NA,-17.377,-66.288,rmk
1007,Cochabamba,CentroMedico,HOSPITAL QUILLACOLLO,NA,NA,-17.394,-66.28,rmk
1008,Cochabamba,CentroMedico,C.S. CALVARIO,NA,NA,-17.394,-66.28,rmk
1009,Cochabamba,CentroMedico,C.S.C.C. MALLCO RANCHO,NA,NA,-17.419396,-66.36455,rmk
1010,Cochabamba,CentroMedico,C.S. MONTE NEGRO,NA,NA,-17.454,-66.339,rmk
1011,Cochabamba,CentroMedico,C.S. PAYACOLLO,NA,NA,-17.431179,-66.336658,rmk
1012,Cochabamba,CentroMedico,C.S.C.C. SIPE SIPE,NA,NA,-17.455169,-66.35246,rmk
1013,Cochabamba,CentroMedico,C.S. VINTO CHICO,NA,NA,-17.414686,-66.326581,rmk
1014,Cochabamba,CentroMedico,C.S. LINDE,NA,NA,-17.353188,-66.195954,rmk
1015,Cochabamba,CentroMedico,Hospital Municipal de Vinto,NA,NA,-17.397025,-66.318349,rmk
1016,Cochabamba,CentroMedico,C.S. Capacachi,NA,NA,-17.384712,-66.223042,rmk
1017,Cochabamba,CentroMedico,C.S. Kami,NA,NA,-17.367466,-66.236312,rmk
1018,Cochabamba,CentroMedico,Hospital Mexico,NA,NA,-17.400743,-66.035197,rmk
1019,Cochabamba,CentroMedico,Hospital Solomon Klein,NA,NA,-17.383045,-66.109678,rmk
1020,Cochabamba,CentroMedico,C.S. Minero San Juan de Uspa Uspa,NA,NA,-17.482883,-66.105355,rmk
1021,Cochabamba,CentroMedico,Hospital Cochabamba,NA,NA,-17.40058,-66.156062,rmk
