Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
1241,Beni,Mercado,EL MERCADO DE LAS PULGAS,NA,NA,-14834710,-64903362,geobo
1242,Beni,Mercado,MERCADO 26 DE JULIO,NA,NA,-14838198,-64915429,geobo
1243,Beni,Mercado,MERCADO 30 DE JULIO SIN UTILIZAR.,NA,NA,-14806752,-64906868,geobo
1244,Beni,Mercado,MERCADO EL TAJIBITO,NA,NA,-14837781,-64900964,geobo
1245,Beni,Mercado,MERCADO FATIMA,NA,NA,-14834495,-64894001,geobo
1246,Beni,Mercado,MERCADO LOS MENUDOS,NA,NA,-14838527,-64899134,geobo
1247,Beni,Mercado,MERCADO MIAMI,NA,NA,-14839781,-64904587,geobo
1248,Beni,Mercado,MERCADO MUNICIPAL BELLO HORIZONTE,NA,NA,-14812041,-64885889,geobo
1249,Beni,Mercado,MERCADO PAITITI,NA,NA,-14824703,-64887555,geobo
1250,Beni,Mercado,MERCADO POMPEYA,NA,NA,-14839506,-64900233,geobo
1251,Beni,Mercado,MERCADO SAN VICENTE,NA,NA,-14832279,-64909109,geobo
1252,Beni,Mercado,MERCADO SECCInaL,NA,NA,-14833227,-64902203,geobo
1253,Beni,Mercado,NUEVO MERCADO 13 DE ABRIL,NA,NA,-14834129,-64887880,geobo
1254,Beni,Mercado,MERCADO CENTRAL RURREnaBAQUE,NA,NA,-14441568,-67528529,geobo
1255,Beni,Mercado,MERCADO DE RURREnaBAQUE,NA,NA,-14430046,-67504601,geobo
1256,Beni,Mercado,MERCADO CAMPESINO PRIMERO DE MAYO,NA,NA,-14862765,-66749619,geobo
1257,Beni,Mercado,MERCADO CENTRAL LA PAZ,NA,NA,-14860600,-66746196,geobo
1258,Beni,Mercado,MERCADO SANTA MARIA MAGDALEna,NA,NA,-13260531,-64054679,geobo
1259,Beni,Mercado,MERCADO CAMPESINO,NA,NA,-14993250,-65636371,geobo
1260,Beni,Mercado,MERCADO CENTRAL,NA,NA,-14996196,-65640043,geobo
1261,Beni,Mercado,MERCADO SANTA FE,NA,NA,-14999706,-65644056,geobo
