Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
870,La Paz,EquiposBioseguridad,SEDEM,NA,70169907 - 76217775,NA,NA,web
871,Cochabamba,EquiposBioseguridad,SEDEM,NA,71554627 - 71554670,NA,NA,web
872,Tarija,EquiposBioseguridad,SEDEM,NA,72949005 - 71554631,NA,NA,web
873,Oruro,EquiposBioseguridad,SEDEM,NA,72329947 - 78603180,NA,NA,web
874,Santa Cruz,EquiposBioseguridad,SEDEM,NA,3431222 - 3530008,NA,NA,web
875,El Alto,EquiposBioseguridad,SEDEM,NA,71948831 - 78848039,NA,NA,web
876,Chuquisaca,EquiposBioseguridad,SEDEM,NA,77117444 - 68660082,NA,NA,web
877,Beni,EquiposBioseguridad,SEDEM,NA,75895532 - 73934734,NA,NA,web
878,Pando,EquiposBioseguridad,SEDEM,NA,72697370 - 72938540,NA,NA,web
879,Potosí,EquiposBioseguridad,SEDEM,NA,72365931 - 79436705,NA,NA,web
880,Beni,EquiposBioseguridad,SEDEM,NA,77841467 - 73216064,NA,NA,web
