Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
5563,La Paz,Supermercado,Ketal S.A.,Av. Busch # 1994,NA,-68.1211438542315,-16.502543070831,gamlp
5564,La Paz,Supermercado,Fidalga,Av. Saavedra # 1963,NA,-68.1224613041781,-16.5019027450792,gamlp
5583,La Paz,Supermercado,Ketal S.A.,Av. Arce # 2588 Esq. C. Pinilla,NA,-68.123409781176,-16.5104552750926,gamlp
5584,La Paz,Supermercado,Fidalga,C. Capitán Ravel # 2441,NA,-68.1241895426355,-16.5077613502093,gamlp
5585,La Paz,Supermercado,Fidalga,C. Colón # 570,NA,-68.1324861370536,-16.4966864681181,gamlp
5595,La Paz,Supermercado,Hipermaxi S.A.,C. Rosendo Gutierrez # 469,NA,-68.1278898892875,-16.5094837876116,gamlp
5596,La Paz,Supermercado,Ketal S.A.,Pza. España Esq. C. Méndez Arcos # 710,NA,-68.1290049956115,-16.5145448197005,gamlp
5597,La Paz,Supermercado,Fidalga,Av. Sánchez Lima # 2362,NA,-68.1279041266666,-16.5105096280416,gamlp
5608,La Paz,Supermercado,Ketal S.A.,C. Almirante Grau # 349,NA,-68.1359297192947,-16.5017601005288,gamlp
5610,La Paz,Supermercado,Hipermaxi S.A.,Av. 14 de Septiembre # 6020,NA,-68.1034008685844,-16.528514689434,gamlp
5611,La Paz,Supermercado,Súper 10,Av. H. Siles # 455 Esq. C. 10,NA,-68.1070594054754,-16.5265900116227,gamlp
5612,La Paz,Supermercado,Ketal S.A.,C. 16 # 460,NA,-68.1020136899118,-16.5289170716585,gamlp
5613,La Paz,Supermercado,Andy´s,C. 17,NA,-68.1007039110328,-16.5298352029942,gamlp
5619,La Paz,Supermercado,Andy´s,Av. Montenegro # 874,NA,-68.0782208482265,-16.5427909424904,gamlp
5620,La Paz,Supermercado,Ketal S.A.,C. 21,NA,-68.0780183814345,-16.5403161020565,gamlp
5621,La Paz,Supermercado,Ketal S.A.,Av. Ballivián # 7967,NA,-68.083884938709,-16.539345165045,gamlp
5623,La Paz,Supermercado,Hipermaxi S.A.,Av. José María Aguirre Achá # 85,NA,-68.070130049104,-16.5457769340856,gamlp
5643,La Paz,Supermercado,Hipermaxi S.A.,Av. Strongest # 100,NA,-68.0621072469904,-16.518882444775,gamlp
