Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
5549,La Paz,Mercado,Sánchez Lima,C. Canónigo Ayllón,NA,-68.1367900901089,-16.507953939589,gamlp
5550,La Paz,Mercado,4 de Abril,"Av. Marcelo Quiroga Santa Cruz, entre C. 14 de Junio y C. Héroes del Chaco",NA,-68.1458198783158,-16.5221323445572,gamlp
5551,La Paz,Mercado,Kilómetro 7,Av. Quiroga Santa Cruz Esq. C. 6 de Agosto,NA,-68.1432964353073,-16.5229765623467,gamlp
5552,La Paz,Mercado,Bolívar,Av. Jaime Freyre Esq. C. Alberto Ostria,NA,-68.141127837207,-16.5139061931133,gamlp
5553,La Paz,Mercado,Stronguest,Av. Víctor Agustín Ugarte,NA,-68.1398884252889,-16.5158955640857,gamlp
5554,La Paz,Mercado,Las Rosas Cotahuma,"Pza. De la Democracia, C. Machicao",NA,-68.1440000882544,-16.5155997363423,gamlp
5555,La Paz,Mercado,Raúl Salmón,Av. Mario Mercado Vaca Guzmán Esq. C. 5-Quiswaras,NA,-68.123479035366,-16.5281344945823,gamlp
5556,La Paz,Mercado,El Rosal,Av. Mario Mercado,NA,-68.1334578061416,-16.5348523199225,gamlp
5557,La Paz,Mercado,Vergel Llojeta,Av. Buenos Aires,NA,-68.1402982863219,-16.5342298768576,gamlp
5558,La Paz,Mercado,Las Lomas,Av. Buenos Aires,NA,-68.1389072495232,-16.5226110341958,gamlp
5559,La Paz,Mercado,Popular Pura Pura,C. Daniel Salamanca,NA,-68.1508474085495,-16.4877787429532,gamlp
5560,La Paz,Mercado,21 de Enero,C. 3,NA,-68.1495658328015,-16.4567270918125,gamlp
5561,La Paz,Mercado,Haití,C. Haití Esq. C. Trinidad Tobago,NA,-68.1226057611891,-16.4908757470023,gamlp
5562,La Paz,Mercado,Miraflores,C. Díaz Romero,NA,-68.121776203845,-16.5012752406305,gamlp
5563,La Paz,Supermercado,Ketal S.A.,Av. Busch # 1994,NA,-68.1211438542315,-16.502543070831,gamlp
5564,La Paz,Supermercado,Fidalga,Av. Saavedra # 1963,NA,-68.1224613041781,-16.5019027450792,gamlp
5565,La Paz,Mercado,San José de Mallasilla,Av. Altamirano,NA,-68.1006809461441,-16.5668092215886,gamlp
5566,La Paz,Mercado,Mallasa,Av. Florida,NA,-68.0869348991502,-16.5722147857378,gamlp
5567,La Paz,Mercado,La Portada,C. Justo Germán Esq. C. Yapacani,NA,-68.1669592037699,-16.489303694848,gamlp
5568,La Paz,Mercado,Santiago de Munaypata,Av. Desaguadero Esq. C. Río Calvario,NA,-68.1563297094848,-16.4899261554684,gamlp
5569,La Paz,Mercado,San José de Munaypata,C. Cristo Vencedor Esq. C. San José,NA,-68.1586190148277,-16.4891393541484,gamlp
5570,La Paz,Mercado,El Carmen,Av. Entre Ríos Esq. C. Damas de Cotagaita,NA,-68.1560942516621,-16.4972777131524,gamlp
5571,La Paz,Mercado,El Tejar,C. José María Asín Esq. Av. Kollasuyo,NA,-68.1520442261551,-16.4953254839962,gamlp
5572,La Paz,Mercado,Las Nieves,Av. Utapulpera Esq. C. Echazu,NA,-68.157402773573,-16.4971481117683,gamlp
5573,La Paz,Mercado,Villa Victoria,C. Virrey Toledo,NA,-68.1515951073366,-16.4903409247563,gamlp
5574,La Paz,Mercado,Alto Mariscal Santa Cruz,Av. Entre Ríos,NA,-68.1605212322898,-16.493118495297,gamlp
5575,La Paz,Mercado,Bajo Mariscal Santa Cruz,Av. Alcides Arguedas Esq. C. Yacuma,NA,-68.1583468449075,-16.4926372743883,gamlp
5576,La Paz,Mercado,Las Flores,Av. Bautista Esq. C. Baltazar Alquiza,NA,-68.1511006373704,-16.4953424678511,gamlp
5577,La Paz,Mercado,Vicente Ochoa,Av. Buenos Aires Esq. C. Vicente Ochoa,NA,-68.1442811362226,-16.4980260272226,gamlp
5578,La Paz,Mercado,Uruguay,Av. Max Paredes Esq. C. Graneros,NA,-68.1436717276627,-16.4972179638216,gamlp
5579,La Paz,Mercado,Calatayud,C. Calatayud Esq. Av. Baptista,NA,-68.1476074460397,-16.4954831745157,gamlp
