Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
1129,Cochabamba,Mercado,MERCADO LA FLORIDA,NA,NA,-17.44673,-66.115624,rmk
1130,Cochabamba,Mercado,MERCADO 10 DE FEBRERO,NA,NA,-17.440041,-66.116183,rmk
1131,Cochabamba,Mercado,MERCADO 10 DE FEBRERO,NA,NA,-17.361067,-66.182637,rmk
1132,Cochabamba,Mercado,MERCADO 1RO DE MARZO,NA,NA,-17.394903,-66.154826,rmk
1133,Cochabamba,Mercado,MERCADO 20 DE FEBRERO,NA,NA,-17.419201,-66.144285,rmk
1134,Cochabamba,Mercado,MERCADO 20 DE OCTUBRE,NA,NA,-17.490089,-66.177713,rmk
1135,Cochabamba,Mercado,MERCADO 25 DE MAYO,NA,NA,-17.394938,-66.155352,rmk
1136,Cochabamba,Mercado,MERCADO 25 DE MAYO -A,NA,NA,-17.394676,-66.154392,rmk
1137,Cochabamba,Mercado,MERCADO 25 DE MAYO B,NA,NA,-17.394703,-66.154863,rmk
1138,Cochabamba,Mercado,MERCADO 27 DE MAYO,NA,NA,-17.42523,-66.143201,rmk
1139,Cochabamba,Mercado,MERCADO 27 DE MAYO,NA,NA,-17.474951,-66.149199,rmk
1140,Cochabamba,Mercado,MERCADO 8 SEPTIEMBRE - VILLA MEXICO,NA,NA,-17.434506,-66.15674,rmk
1141,Cochabamba,Mercado,MERCADO BARTOLIna SISA,NA,NA,-17.4681,-66.206974,rmk
1142,Cochabamba,Mercado,MERCADO CAMPESINO,NA,NA,-17.431632,-66.125808,rmk
1143,Cochabamba,Mercado,MERCADO CAMPESINO,NA,NA,-17.434316,-66.124189,rmk
1144,Cochabamba,Mercado,MERCADO CAMPESINO,NA,NA,-17.430476,-66.126161,rmk
1145,Cochabamba,Mercado,MERCADO CAMPESINO,NA,NA,-17.433555,-66.124678,rmk
1146,Cochabamba,Mercado,MERCADO CAMPESINO DEL NORTE MAYORISTAS DEL PRODUCTOR AL CONSUMIDOR,NA,NA,-17.351226,-66.172623,rmk
