Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
5668,La Paz,MercadoMovil,Valle de la Luna,Av. Mallasa Altura Banderas,NA,-68.100383022553,-16.5624874563218,gamlp
5669,La Paz,MercadoMovil,Plaza Uyuni,Plaza Uyuni,NA,-68.1242837634443,-16.4969564468905,gamlp
5670,La Paz,MercadoMovil,Plaza Lira,"Plaza Lira, Sopocachi",NA,-68.1341839380113,-16.5135450276546,gamlp
5671,La Paz,MercadoMovil,Plaza Bolivia,Plaza Bolivia,NA,-68.1265977090096,-16.5068595974268,gamlp
5672,La Paz,MercadoMovil,Mariscal Santa Cruz,Av. Segundo Bascones,NA,-68.1630405904737,-16.4934705580345,gamlp
5673,La Paz,MercadoMovil,Kupini,"Av. Escobar Uria y Periferica, interseccion Jockoni y Callapa",NA,-68.094479694343,-16.5058081218804,gamlp
5674,La Paz,MercadoMovil,Jupapina,Av. Tricentenario c. 5 Jupapina,NA,-68.0708481520356,-16.5913455431903,gamlp
5675,La Paz,MercadoMovil,Heroes del Chaco,C. Heroes del Chaco entre 1 y 2,NA,-68.1106348168605,-16.5125497240662,gamlp
5676,La Paz,MercadoMovil,Hernando Siles,Av. Hernando Siles,NA,-68.1050290465173,-16.5570666289522,gamlp
5677,La Paz,MercadoMovil,Cosmos 85,Cosmos 85 parada del pumakatari,NA,-68.0942647022885,-16.4866926150264,gamlp
5678,La Paz,MercadoMovil,Chuquiaguillo,Av. Ramiro Castillo,NA,-68.1021418610819,-16.4594139327853,gamlp
5679,La Paz,MercadoMovil,Casegural,Wilacota,NA,-68.0412320614948,-16.532214856794,gamlp
5680,La Paz,MercadoMovil,Caja Ferroviaria,"Caja Ferroviaria, Altura Rotonda",NA,-68.1491861885303,-16.4501227650382,gamlp
5681,La Paz,MercadoMovil,Baden Pawell,Plaza Baden Pawell (calles Jaimes y Mariaca),NA,-68.1173115373719,-16.504685195243,gamlp
5682,La Paz,MercadoMovil,9 de abril,Av. 5 de agosto,NA,-68.1524360791018,-16.506103387422,gamlp
5683,La Paz,MercadoMovil,24 de junio,Cancha Zona 24 de junio,NA,-68.108398642648,-16.4801497835856,gamlp
5684,La Paz,MercadoMovil,23 de marzo,FInaL 23 MARZO (INGRESO VALLE DE LAS FLORES ZOna PAMPAHASI,NA,-68.0998906367818,-16.4990450768302,gamlp
5685,La Paz,MercadoMovil,Plaza Riosinio,Av. Armentia,NA,-68.1356356238069,-16.4915039120989,gamlp
5686,La Paz,MercadoMovil,Almirante Grau,Irpavi calle 5,NA,-68.0874107784577,-16.5242010859443,gamlp
5687,La Paz,MercadoMovil,18 de obrajes,obrajes calle 18,NA,-68.1084131698197,-16.5271391151228,gamlp
