Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
1869,NA,ServiciosFinancieros,Cooperativa de Ahorro y Crédito Cristo Rey Cochabamba,Totora,NA,-17.7355551,-65.190899,osm
1870,NA,ServiciosFinancieros,Cooperativa Concordia Totora Ltda.,Totora,NA,-17.7354524,-65.1908478,osm
1871,NA,ServiciosFinancieros,Prodem,NA,NA,-17.9411865,-65.3413644,osm
1872,NA,ServiciosFinancieros,Prodem,NA,NA,-17.6115768,-66.0229607,osm
1873,NA,ServiciosFinancieros,NA,NA,NA,-17.5919974,-65.9344714,osm
1874,NA,ServiciosFinancieros,Banco Unión - Agencia Villa Tunari,Villa Tunari,NA,-16.9741056,-65.4184032,osm
1875,NA,ServiciosFinancieros,Cooperativa de Ahorro y Credito San Antonio Ltda,Villa Tunari,NA,-16.9745149,-65.4181187,osm
1876,NA,ServiciosFinancieros,Prodem,NA,NA,-16.1656957,-69.0865279,osm
1877,NA,ServiciosFinancieros,Ecofuturo,NA,NA,-16.165696,-69.0865009,osm
1878,NA,ServiciosFinancieros,Banco Union - Agencia Samaipata,Samaipata,NA,-18.1799589,-63.8752463,osm
1879,NA,ServiciosFinancieros,Banco de Crédito de Bolivia,Oruro,NA,-17.9699255,-67.1153912,osm
1880,NA,ServiciosFinancieros,Cooperatica La Merced,NA,NA,-17.3429033,-63.2558996,osm
1881,NA,ServiciosFinancieros,Banco Bisa,NA,NA,-17.3434371,-63.2555241,osm
1882,NA,ServiciosFinancieros,Banco Union,NA,NA,-17.8458593,-60.7428917,osm
1883,NA,ServiciosFinancieros,BancoSol,NA,NA,-16.481464,-68.1399184,osm
1884,NA,ServiciosFinancieros,Banco Bisa,NA,NA,-16.5101056,-68.1237618,osm
1885,NA,ServiciosFinancieros,Mutual La Primera,NA,NA,-16.4965161,-68.1398283,osm
1886,NA,ServiciosFinancieros,Banco Unión,Cochabamba,NA,-17.3723574,-66.1615971,osm
1887,NA,ServiciosFinancieros,Banco nacional de Bolivia,NA,NA,-16.5070202,-68.1296563,osm
1888,NA,ServiciosFinancieros,Banco nacional de Bolivia,NA,NA,-17.9706236,-67.1147342,osm
1889,NA,ServiciosFinancieros,Banco Mercantil Santa Cruz,Oruro,NA,-17.9689842,-67.1150522,osm
1890,NA,ServiciosFinancieros,Mercantil SantaCruz,NA,NA,-17.8193138,-63.1840631,osm
1891,NA,ServiciosFinancieros,Banco Fie,NA,NA,-16.3771677,-60.9623671,osm
